"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	AMT NONINT ACTS GT 250K DODD FRANK A	NBR NONINT ACT GT 250K DODD FRANK AC	PB/PSA FDIC CERTIFICATE NUMBER	
827346																0	1319	67	0	0	16749	2131	1485	4	19553	0			0	0	0	0	0	0	0	0	0	632	2		
827355																0	3507	136	1034	3	58619	7074	9894	25	73055	0			0	0	0	0	0	0	0	0	0	2294	4		
827458																0	5843	716	0	0	97619	6959	56677	82	160139	0			0	0	0	0	0	0	0	0	0	4077	7		
827560	460739	0			0	0	0	0	0	0	0	0	0			0	9007	500	270	1	417514	18184	33948	70													0	0	0		
827953																0	632	53	0	0	32573	647	13360	21	46565	0			0	0	0	0	0	0	0	0	0	2213	4		
827971																0	7443	343	305	1	108298	6246	21905	30	137951	0			0	0	0	0	0	0	0	0	0	642	2		
828053																0	3190	307	0	0	55730	5885	6639	13	65559	0			0	0	0	0	0	0	0	0	0	431	1		
828110																0	14220	745	1508	5	129483	17170	37262	63	182473	0			0	0	0	0	0	0	0	0	0	4101	5		
828651															293633	0	27934	2039	1192	3	832813	71571	530939	651	1392878	0	1360783	0	0	0	0	0	0	0	0	0	0	115193	158		
828745																0	720	157	0	0	18223	752	502	1	20165	720			0	0	0	0	0	0	0	0	0	0	0		
829032																0	4267	232	305	1	87821	8940	7327	20	99721	0			0	0	0	0	0	0	0	0	0	0	0		
829041																0	11094	455	0	0	97908	13228	32408	45	141410	0			0	0	0	0	0	0	0	0	0	1390	3		
829050																0	21613	764	2379	7	236954	23538	75204	97	336150	0			0	0	0	0	0	0	0	0	0	11716	20		
829256																0	8736	519	352	1	209864	13920	90612	159	309564	0			0	0	0	0	0	0	0	0	13951	27638	46		
829452																0	8314	540	256	1	59591	3848	4279	5	72440	0			0	0	0	0	0	0	0	0	0	0	0		
830113																0	8733	476	0	0	110499	11520	14293	29	133525	0			0	0	0	0	0	0	0	0	1090	1351	3		
830168																0	1568	61	0	0	26971	2470	8341	12	36880	0			0	0	0	0	0	0	0	0	0	5208	5		
830252																0	1547	82	0	0	42702	5823	13557	19	57806	0			0	0	0	0	0	0	0	0	0	417	1		
830355																0	22312	1041	3354	9	238976	17622	139132	146	403774	0			0	0	0	0	0	0	0	0	0	13496	22		
830542																0	14525	1127	617	1	180078	18451	38362	51	233582	0			0	0	0	0	0	0	0	0	0	5707	13		
830645																0	1590	106	263	1	27509	2215	4479	7	33841	0			0	0	0	0	0	0	0	0	0	0	0		
830748																0	25852	1795	4693	8	194607	18288	26921	53	252073	0			0	0	0	0	0	0	0	0	0	2565	7		
831008																0	39339	3660	2051	7	310188	22268	62209	113	413787	0			0	0	0	0	0	0	0	0	0	5340	11		
831044																0	3870	169	983	2	68102	4476	16720	44	89675	0			0	0	0	0	0	0	0	0	0	1370	4		
831053																0	1504	67	0	0	24081	2111	1013	2	26598	0			0	0	0	0	0	0	0	0	0	0	0		
