"IDRSSD"	RCONC223	RCONC224	RCONC968	RCONC969	RCONC970	RCONC971	RCONC972	RCONC973	RCONC974	RCONC975	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG419	RCONG420	RCONG421	RCONG422	RCONG423	RCONG424	RCONG425	RCONG426	RCONG427	RCONG428	RCONG429	RCONG430	RCONG431	RCONG432	RCONG433	RCONG434	RCONG435	RCONG436	RCONG437	RCONG438	RCONG439	RCONG440	RCONG441	RCONG442	RCONG443	RCONG444	RCONG445	RCONG446	RCONG447	RCONG448	RCONG449	RCONG450	RCONG451	RCONG452	RCONG453	RCONG454	RCONG455	RCONG456	RCONG457	RCONG458	RCONG459	RCONG460	RCONG461	RCONG462	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	RCONJ477	RCONJ478	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
12245	0	0	0	0	0	0	0	0	0	0	0	187	1531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																291	0	408										
12311																																																																																										
12647	0	0	0	0	0	0	0	0	0	0	0	739	6250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	3654										
12656	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																70	0	213										
12937	0	0	0	0	0	0	0	0	0	0	0	102	10135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	532										
12946	0	0	0	0	0	0	0	0	0	0	52000	1513	15238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	22424	0	6830										
12955	0	0	0	0	0	0	0	0	0	0	3000	2075	2024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																4946	0	218										
13037	0	0	0	0	0	0	0	0	0	0	0	44	513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																5710	1000	1985										
13103	0	0	0	0	0	0	0	0	0	0	0	7598	1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	76997	0	10263										
13251	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																308	0	259										
13457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																125	4202	0										
