"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	
378044	92	38	11	0	68	25	0	0	0	0	
378110	155	33	4	0	132	14	0	0	0	0	
378259	412	156	13	0	414	171	0	0	0	0	
378549	942	445	59	0	760	322	0	0	0	0	
378558	654	0	27	0	658	31	0	0	0	0	
378642	809	0	11	0	847	49	0	0	0	0	
378651	1435	305	109	0	1456	435	0	0	0	0	
378950	2041	150	64	0	2095	268	0	0	0	0	
379050	272	48	9	0	300	85	0	0	0	0	
379153	812	543	22	0	559	312	0	0	0	0	
379359	3399	2044	525	0	5487	4657	0	0	0	0	
379470	309	0	0	0	345	0	-36	0	0	0	
379649	743	0	50	0	722	29	0	0	0	0	
379920	43648	9247	1751	0	39618	11323	4355	0	0	0	
380038	0	-1	0	0	1	0	0	0	0	0	
380346	290	35	4	0	253	2	0	0	0	0	
380458	108	126	1	0	113	132	0	0	0	0	
380533	226	16	0	0	216	6	0	0	0	0	
380654	621	18	7	0	603	7	0	0	0	0	
380841	360	21	15	0	367	43	0	0	0	0	
380944	674	72	5	0	622	25	0	0	0	0	
381026	461	250	40	0	264	93	0	0	0	0	
381259	401	60	52	0	324	35	0	0	0	0	
381334	770	150	122	0	629	131	0	0	0	0	
381343	8167	581	450	0	7984	848	0	0	0	0	
381754	98	0	5	0	100	7	0	0	0	0	
381839	687	135	23	0	630	101	0	0	0	0	
381857	346	0	1	0	407	62	0	0	0	0	
381950	1179	125	17	0	1079	42	0	0	0	0	
382050	2415	330	61	0	2126	102	0			0	
382069	916	317	36	0	864	301	0	0	0	0	
382256	335	0	37	0	352	54	0	0	0	0	
382443	713	150	41	0	704	182	0	0	0	0	
382537	1162	1053	91	0	805	787	0	0	0	0	
382649	1158	180	76	0	1081	179	0	0	0	0	
382658	665	70	54	0	604	63	0	0	0	0	
382667	11111	3008	461	0	9011	1369	0	0	0	0	
382742	566	126	23	0	540	123	0	0	0	0	
382751	502	218	66	0	564	346	0	0	0	0	
382854	670	65	107	0	756	258	0	0	0	0	
383534	1335	236	647	0	2195	1743	0	0	0	0	
384018	4104	0	231	0	4108	241	6	0	0	0	
384335	703	0	51	0	657	5	0	0	0	0	
384353	61	5	0	0	68	12	0	0	0	0	
384652	6222	2216	49	0	4887	1296	366	0	0	0	
384830	500	108	13	0	460	81	0	0	0	0	
385350	605	95	0	0	511	0	-1	0	0	0	
385547	598	0	16	0	630	48	0	0	0	0	
385631	210	55	6	0	170	21	0	0	0	0	
385976	242	123	1	0	259	141	0	0	0	0	
386049	639	182	0	0	499	42	0	0	0	0	
386142	440	60	25	0	450	95	0	0	0	0	
386357	75	8	5	0	75	13	0	0	0	0	
386432	551	128	25	0	515	117	0	0	0	0	
386450	444	500	16	0	320	392	0	0	0	0	
386731	606	182	33	0	600	209	0	0	0	0	
