RIAD4097,RIAD4235,RIAD4239,RIAD4341,RIAD4797,RIAD4843,RIAD4844,RIAD4845,RIAD4846,RIADB523,RIADB524,RIADB525,RIADC899,RIADC900,RIADC902,RIADC903,RIADC904,RIADC905,RIADC907,RIADC908,RIADC909,RIADC911,RIADC913,RIADC914,RIADGW64,RIADJA28,RIADKW02,IDRSSD,RCON9999
,,,,,,,,,,,,2712433,1809997,645720,53668,2732,2304729,2156377,0,681787,1075970,-288951,799596,,,,35301,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,35570,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,35646,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,35842,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,36054,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,36344,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,36456,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,36858,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,36933,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,37051,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,37341,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,37350,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,37378,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,37435,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,37640,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,37659,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,37743,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,37949,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,38535,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,38740,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,39327,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,39420,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,39475,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,39756,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,40033,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,40350,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,40707,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,40855,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,41245,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,41553,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,41629,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,41647,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,41759,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,41825,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,41937,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,41955,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,42037,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,42055,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,42354,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,42420,2008-12-31
