"IDRSSD"	RIAD3582	RIAD3583	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD3590	RIAD3591	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4658	RIAD4659	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD4668	RIAD4669	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIAD5413	RIAD5414	RIADB512	RIADB513	RIADB514	RIADB515	RIADB516	RIADB517	
	CHG-OFFS ON CONSTRCTN&LAND DEVLPMT	RECVRS ON CONSTRCTN&LAND DEVLPMT LNS	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFFS ON LNS SECD BY NONFARM NONR	RECVRS ON LNS SECD BY NONFARM NONRES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	CHRG-OFF LEASE FNC RCVBL US ADDR	CHRG-OFF LEASE FNC RCVBL NON US ADDR	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	RECOV ON LEASE FIN RECEIVABLE-US ADD	RCVRY LEASE FNC RCVBL NON US ADD	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHG-OFFS OF ALL OTHR LNS SECD BY 1-4	RECOVERS OF ALL OTHR LNS SECD BY 1-4	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	CHARGE-OFFS ON: OTHER INDIV LOANS	RECOVERIES ON: OTHER INDIV LOANS	
2544991	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	4	4	0	0															0	0	0	0	0	0			0	0	0	0	
2550095	0	0	0	0	0	0	0	0	0	0	0	0	55	12			0	0	40	0	0	0						0						0			0	0	0	0	0	0			0	0	40	43	
2551047	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	1	0	0	0						0						0			0	0	0	0	0	0			1	0	0	0	
2552099	0	0	0	0	0	0	0	0	0	0	0	0	25	0			0	0	91	29	0	0						0						0			0	0	0	0	16	0			0	0	46	25	
2556882	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	21	0	0	0															0	0	14	0	0	0			7	0	0	0	
2557151	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
2558176	0	0	0	0	0	0	0	0	0	0	0	0	2	0			0	2	149	3	0	7						0						0			0	0	0	0	128	0			0	0	11	0	
2558185	0	0	0	0	0	0	0	0	0	0	0	0	19	0			0	0	94	0	0	0						0						0			0	0	0	0	0	1			0	0	94	18	
2558970	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
2559520	0	0	0	0	0	0	0	0	0	0	0	0	9	0			0	0	21	0	0	0						0						0			0	0	0	0	0	0			0	0	21	9	
2560526	6	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	6	0	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
2562137	0	0	0	0	0	0	0	0	0	0	0	0	6	0			0	0	20	0	0	0						0						0			0	0	0	0	0	0			0	0	20	6	
2562164	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	12	0	0	0						0						0			0	0	0	0	0	0			0	0	12	0	
2562230	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
2562838	0	0	0	0	0	0	9	9	0	0	0	0	25	0			0	0	73	49	0	0						0						0			0	0	0	0	0	0			0	0	15	16	
2567123	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
2568120	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	2	0	0	0						0						0			0	0	0	0	0	0			0	0	2	0	
2569396	133	0	0	0	0	0	0	0	0	0	0	0	6	2			0	0	164	0	0	0						0						0			0	0	0	0	0	0			0	0	31	4	
2571081	0	0	0	0	0	0	0	0	0	0	0	0	6	0			0	0	0	0	0	0						0						0			0	0	0	0	0	6			0	0	0	0	
2572109	0	0	0	0	0	0	0	0	48	5	0	0	12	1			0	0	147	57	0	0						0						0			0	0	0	0	0	0			0	0	42	6	
2573759	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
2574327	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0						0			0	0	0	0	0	0			0	0	0	0	
2575155	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	1	0	0	0						0						0			0	0	0	0	0	0			0	0	1	1	
2575717	0	0	0	0	0	0	0	0	0	0	0	0	8	0			0	0	88	39	0	0						0						0			0	0	0	0	0	0			0	0	49	8	
2575995	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	6	0	0	0						0						0			0	0	0	0	0	0			0	0	6	0	
2576134	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	10	0	0	0						0						0			0	0	0	0	0	0			8	0	2	0	
2576143	0	0	0	0	0	0	0	0	0	0	0	0	3	3			0	0	398	0	0	0						0						0			0	0	0	0	398	0			0	0	0	0	
2576198	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	2	0	0	0						0						0			0	0	0	0	0	0			0	0	2	0	
