RCON5562,RCON5563,RCON5564,RCON5565,RCON5566,RCON5567,RCON5568,RCON5569,RCON5570,RCON5571,RCON5572,RCON5573,RCON5574,RCON5575,RCON5576,RCON5577,RCON5578,RCON5579,RCON5580,RCON5581,RCON5582,RCON5583,RCON5584,RCON5585,RCON5586,RCON5587,RCON5588,RCON5589,RCON6860,RCON6999,IDRSSD,RCON9999
22,64,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,true,true,16748,2006-06-30
25,39,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,true,true,16944,2006-06-30
26,159,0,0,0,0,0,0,0,0,0,0,0,0,16,295,0,0,0,0,0,0,0,0,0,0,0,0,true,true,16953,2006-06-30
0,0,0,0,0,0,0,0,3,98,1,209,8,4660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,17110,2006-06-30
0,0,134,5342,102,12922,126,53973,795,21269,140,15374,157,47181,0,0,22,842,17,2531,3,1167,78,1998,21,2791,4,901,false,false,17147,2006-06-30
0,0,25,1183,14,2322,6,2395,44,1184,4,460,3,1668,129,53,0,0,0,0,0,0,0,0,0,0,0,0,true,false,17259,2006-06-30
0,0,218,10232,439,63163,505,224841,2873,55742,613,56319,424,105626,0,0,24,847,39,2948,20,3032,199,4375,35,3693,23,4207,false,false,17464,2006-06-30
0,0,85,2516,33,3566,27,20536,355,5761,30,2997,28,19647,0,0,21,646,16,2673,13,3547,69,1717,16,1681,4,526,false,false,17839,2006-06-30
0,0,118,4277,77,10251,41,16396,239,3642,29,2688,10,2563,0,0,47,1594,39,5353,23,8111,273,5587,29,3240,17,4159,false,false,17950,2006-06-30
0,0,126,5218,71,9191,46,21391,538,6941,24,2530,2,575,0,0,116,3866,29,4079,11,5205,250,2826,1,101,3,641,false,false,18050,2006-06-30
0,0,4,166,16,2363,13,2894,76,2717,56,6644,64,22892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,18135,2006-06-30
145,502,5,252,12,1261,68,29608,251,6265,89,7532,124,34553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,18368,2006-06-30
