RCFDHU20,RCFDHU21,RCFDHU22,RCFDHU23,RCFDJ981,RCFDJF77,RCFDJF78,RCFDJF84,RCFDJF85,RCFDJF86,RCFDJF87,RCFDJF88,RCFDJF89,RCFDJF90,RCFDJF91,RCFDJF92,RCFDJF93,RCFDK009,RCFDK030,RCFDK033,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,82659,2013-09-30
,,,,,,,,,,,,,,,,,,,,83151,2013-09-30
,,,,,,,,,,,,,,,,,,,,83236,2013-09-30
,,,,,,,,,,,,,,,,,,,,83375,2013-09-30
,,,,0,,,,,,,,,,,,,0,0,0,83638,2013-09-30
,,,,,,,,,,,,,,,,,,,,83834,2013-09-30
,,,,,,,,,,,,,,,,,,,,83852,2013-09-30
,,,,,,,,,,,,,,,,,,,,83955,2013-09-30
,,,,,,,,,,,,,,,,,,,,84046,2013-09-30
,,,,,,,,,,,,,,,,,,,,84055,2013-09-30
,,,,,,,,,,,,,,,,,,,,84251,2013-09-30
,,,,,,,,,,,,,,,,,,,,84541,2013-09-30
,,,,,,,,,,,,,,,,,,,,84804,2013-09-30
,,,,,,,,,,,,,,,,,,,,85052,2013-09-30
,,,,,,,,,,,,,,,,,,,,85258,2013-09-30
,,,,,,,,,,,,,,,,,,,,85454,2013-09-30
,,,,,,,,,,,,,,,,,,,,85472,2013-09-30
,,,,,,,,,,,,,,,,,,,,85931,2013-09-30
,,,,,,,,,,,,,,,,,,,,86349,2013-09-30
