RCFA2170,RCFA3128,RCFA3792,RCFA5310,RCFA5311,RCFA7204,RCFA7205,RCFA7206,RCFA8274,RCFAA223,RCFAA224,RCFAB530,RCFAB596,RCFAH015,RCFAH036,RCFAH311,RCFAH313,RCFAH314,RCFAJJ30,RCFAJJ31,RCFAJJ32,RCFAKW00,RCFAKW03,RCFAKX77,RCFAKX78,RCFAKX79,RCFAKX80,RCFAKX81,RCFAKX82,RCFAKX83,RCFALB58,RCFALB59,RCFALB60,RCFALB61,RCFAP742,RCFAP793,RCFAP839,RCFAP840,RCFAP841,RCFAP842,RCFAP843,RCFAP844,RCFAP846,RCFAP847,RCFAP848,RCFAP849,RCFAP850,RCFAP852,RCFAP857,RCFAP858,RCFAP859,RCFAP860,RCFAP861,RCFAP862,RCFAP863,RCFAP864,RCFAP865,RCFAP866,RCFAP867,RCFAP868,RCFAP870,RCFAP872,RCFAP875,RCFAQ258,RCFAS540,RCFW3792,RCFW5310,RCFW5311,RCFW7205,RCFW7206,RCFWA223,RCFWH312,RCFWP793,RCFWP851,RCFWP852,RCFWP853,RCFWP854,RCFWP855,RCFWP856,RCFWP857,RCFWP858,RCFWP859,RCFWP870,RCOA2170,RCOA3128,RCOA3792,RCOA5310,RCOA5311,RCOA7204,RCOA7205,RCOA7206,RCOA8274,RCOAA223,RCOAA224,RCOAB530,RCOAB596,RCOAH311,RCOAH313,RCOAH314,RCOAJJ29,RCOAJJ30,RCOAJJ31,RCOAJJ32,RCOAKW00,RCOAKX77,RCOAKX78,RCOAKX79,RCOAKX80,RCOAKX81,RCOAKX82,RCOAKX83,RCOALB58,RCOALB59,RCOALB60,RCOALB61,RCOALE74,RCOANC99,RCOAP742,RCOAP793,RCOAP838,RCOAP839,RCOAP840,RCOAP841,RCOAP842,RCOAP843,RCOAP844,RCOAP846,RCOAP847,RCOAP848,RCOAP849,RCOAP850,RCOAP852,RCOAP857,RCOAP858,RCOAP859,RCOAP860,RCOAP861,RCOAP862,RCOAP863,RCOAP864,RCOAP865,RCOAP866,RCOAP867,RCOAP868,RCOAP870,RCOAP872,RCOAP875,RCOAQ258,RCOAS540,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30563,2588,2588,9.8674%,14.7818%,13.5301%,27975,206761,283510,-41,0,6.7818%,,,,,,,,,,,,,,,,,,,,,31037,13.5301%,1,0,28411,0,0,375,-41,0,0,0,,0,28077,102,102,27975,0,0,0,0,102,0,0,0,0,2588,0,509,0,,6039,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6337,260,260,10.2482%,20.4538%,19.6146%,6077,30982,59298,0,0,12.4538%,,,,,,,,,,,,,,,,,,,,,4800,19.6146%,1,0,6138,0,0,37,0,0,0,0,,0,6101,24,24,6077,0,0,0,0,24,0,0,0,0,260,0,61,0,,6141,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63906,6549,6549,9.2795%,12.2654%,11.0085%,57357,521026,618103,24,0,4.2654%,,,,,,,,,,,,,,,,,,,,,25000,11.0085%,1,0,58195,0,0,651,24,0,0,0,,0,57520,163,163,57357,0,0,0,0,163,0,0,0,0,6549,0,814,0,,6329,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66034,0,1035,7.0750%,22.3685%,22.0179%,64999,295210,918716,2287,0,14.3685%,,,,,,,,,,,,,,,,,,,,,1052,22.0179%,1,0,67286,0,0,0,2287,0,0,0,,0,64999,0,0,64999,0,0,0,0,0,0,0,0,0,1035,0,0,0,,7009,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20887,863,863,9.3904%,21.8559%,20.9528%,20024,95567,213239,23,0,13.8559%,,,,,,,,,,,,,,,,,,,,,2425,20.9528%,1,0,20047,0,0,0,23,0,0,0,,0,20024,0,0,20024,0,0,0,0,0,0,0,0,0,863,0,0,0,,7045,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31182,1705,1705,15.1312%,19.8273%,18.7432%,29477,157268,194810,38,0,11.8273%,,,,,,,,,,,,,,,,,,,,,0,18.7432%,1,0,33148,751,444,1950,-24,0,62,0,,0,29965,488,488,29477,0,0,0,0,488,0,0,0,0,1705,0,3633,0,,7072,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5312,243,243,11.1889%,21.9577%,20.9532%,5069,24192,45304,6,0,13.9577%,,,,,,,,,,,,,,,,,,,,,400,20.9532%,1,0,5075,0,0,0,6,0,0,0,,0,5069,0,0,5069,0,0,0,0,0,0,0,0,0,243,0,0,0,,7157,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8333,772,772,8.4544%,11.7909%,10.6986%,7561,70673,89433,199,0,3.7909%,,,,,,,,,,,,,,,,,,,,,5500,10.6986%,1,0,7760,0,0,0,199,0,0,0,,0,7561,0,0,7561,0,0,0,0,0,0,0,0,0,772,0,0,0,,7456,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9321,550,550,13.4744%,21.3868%,20.1248%,8771,43583,65094,-54,0,13.3868%,,,,,,,,,,,,,,,,,,,,,8260,20.1248%,1,0,8717,0,0,0,-54,0,0,0,,0,8771,0,0,8771,0,0,0,0,0,0,0,0,0,550,0,0,0,,7634,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32411,1244,1244,12.7226%,19.0711%,18.3391%,31167,169948,244973,8,0,11.0711%,,,,,,,,,,,,,,,,,,,,,5250,18.3391%,1,0,31175,0,0,0,8,0,0,0,,0,31167,0,0,31167,0,0,0,0,0,0,0,0,0,1244,0,0,0,,8033,2017-06-30
