"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2155	RCON2163	RCON2192	RCON2920	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	CUSTOMERS LIABILITY ON ACCEPTANCES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	ACCEPTANCES EXECUTED FOR ACCT. & OUT	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
954550											623	0			0			0	0	0	0	
954653											40	0			0			0	0	0	0	
955052											11	0			0			0	100	0	0	
955548											1261	0			0			10300	0	0	0	
955605											613	0			0			0	0	0	5293	
955623											217	0			0			305	0	0	0	
955753											0	0			0			0	0	0	0	
955940											756	0			0			12000	250	0	0	
955959											403	0			0			1600	0	0	7592	
956134											634	0			0			2000	0	0	6367	
956152											234	0			0			3098	0	0	0	
956255											1364	0			0			20473	0	0	20336	
956358											447	0			0			4000	0	0	0	
956376											799	0			0			7756	3162	0	0	
956527											0	0			0			199	2734	0	0	
956554											0	0			0			0	0	0	0	
956611											15	0			0			0	0	0	0	
956750											149	0			0			1000	0	0	0	
956938											1405	0			0			9874	6150	0	753	
956956											1896	0			0			30300	0	0	0	
957047											639	0			0			6598	49	0	0	
957056											127	0			0			2050	0	0	0	
957159											338	0			0			4888	0	0	0	
957551											83	0			0			0	0	0	0	
957757											735	0			0			129	4257	0	9480	
958053											147	0			0			800	0	0	0	
958204											4529	0			0			50282	27972	0	7922	
958231											0	0			0			0	0	0	0	
958558											0	0			0			0	0	0	0	
958727											2008	0			0			21000	4500	0	46040	
958763											0	0			0			0	0	0	0	
959256											310	0			0			2287	0	0	0	
959443											1462	0			0			32115	0	0	2503	
959630											0	0			0			0	0	0	0	
959658											1724	0			0			24000	0	0	8378	
959715											261	0			0			0	0	0	0	
959779											113	0			0			206	0	0	0	
959854											35	0			0			0	0	0	0	
960047											364	0			0			1000	0	0	1770	
960159											176	0			0			2000	0	0	979	
960430											482	0			0			0	0	0	1407	
960533											0	0			0			0	0	0	0	
960551											89	0			0			0	0	0	0	
960560											0	0			0			0	0	0	0	
960609											721	825			825			0	1298	0	0	
960748											303	0			0			3341	0	0	0	
960841											915	0			0			9400	250	0	4503	
960935											3075	0			0			47350	0	0	0	
961259											2684	0			0			45626	39992	0	0	
961343											370	0			0			0	500	0	1449	
961400											1369	0			0			17500	2199	0	0	
961446											265	0			0			4250	0	0	0	
961811											1453	0			0			25590	0	0	3313	
962256											0	0			0			0	0	0	0	
962265											511	0			0			0	0	0	0	
962313											256	0			0			0	1000	0	1368	
962854											2081	0			0			31100	0	0	0	
962966											335	0			0			0	0	0	0	
963002											1413	0			0			22277	4226	0	0	
963543											7079	0			0			141613	0	0	16076	
963730											276	0			0			1920	0	0	0	
963945											1848	0			0			20473	0	1683	0	
963954											341	0			0			2836	0	0	0	
964157											546	0			0			0	0	0	0	
964250											34	0			0			0	0	0	425	
964344											1355	0			0			19439	0	0	0	
964353											134	0			0			1000	0	0	0	
964643											449	0			0			4500	332	0	0	
964700											11604	0			0			231554	0	0	81563	
965051											156	0			0			1500	0	0	0	
965220											0	0			0			0	0	0	2700	
965800											527	0			0			1685	0	0	0	
965855											173	0			0			272	2	0	0	
966245											306	0			0			96	28	0	502	
966254											684	0			0			6815	0	0	0	
966348											1041	0			0			8634	0	0	422	
966357											439	0			0			4422	0	0	0	
966656											132	0			0			500	0	0	0	
966722											452	0			0			5922	0	0	0	
966731											619	0			0			6794	0	0	335	
966919											1286	0			0			17150	0	0	0	
966946											397	0			0			4000	0	0	0	
967046											1749	0			0			35048	0	0	0	
967411											1191	0			0			10596	0	0	0	
967877											6263	0			0			34000	59	0	0	
967943											335	0			0			565	0	0	0	
967952											313	0			0			0	0	0	0	
968155											406	0			0			3829	2902	0	0	
968249											1079	0			0			20600	0	0	6880	
968351											322	0			0			0	0	0	0	
968436											18726	0			0			222268	66039	0	147900	
968557											55	0			0			300	0	0	0	
968605	646043	1590263	0	61508	0	40617	0	97171	0	2435674	0	8143	346222	4873108	8143	0	4432459	344916	72	162062	2421924	
968744											1330	0			0			0	0	0	0	
969059											227	0			0			2000	0	0	0	
969255											655	0			0			4280	0	0	0	
969349											8958	0			0			31500	63	0	0	
969424											2600	0			0			41918	11392	0	0	
969639											669	0			0			7500	978	0	0	
969723											33163	615			615			41797	2547	0	572218	
969741											197	0			0			3800	0	0	0	
969844											400	0			0			4000	0	0	2746	
969956											338	0			0			3400	0	0	0	
970055											1989	0			0			30042	0	0	0	
970233											1623	0			0			0	497	0	0	
971379											76	0			0			0	3	0	0	
971472											301	0			0			1500	0	0	0	
971959											705	0			0			10000	0	0	862	
972143											163	0			0			3128	0	0	0	
972237											1761	160			160			5000	0	0	4547	
972406											42	0			0			0	0	0	0	
972648											1453	0			0			6372	1366	0	0	
972732											1770	0			0			4552	393	0	0	
972750											1223	0			0			16391	0	0	0	
972769											613	0			0			8000	0	0	0	
972862											0	0			0			0	0	0	0	
972956											0	0			0			0	0	0	0	
973056											287	0			0			0	0	0	0	
973140											288	0			0			3000	2	0	0	
973252											101	0			0			1330	0	0	0	
973364											3427	0			0			43333	0	0	0	
974213											643	0			0			0	0	0	0	
974259											183	0			0			0	0	0	0	
974343											0	0			0			7892	0	0	0	
974558											60	0			0			0	44	0	0	
974754											68	0			0			422	0	0	0	
974866											3964	0			0			32820	0	0	0	
975153											345	0			0			2000	0	0	0	
975256											579	0			0			5151	0	0	0	
975452											32	0			0			11	0	0	0	
975555											473	0			0			133	0	0	0	
975751											265	0			0			0	1180	0	0	
975854											866	0			0			0	0	0	995	
975911											3161	0			0			44200	0	0	0	
976057											0	0			0			0	0	0	0	
976226											1372	0			0			29000	0	0	0	
976347											121	0			0			1896	0	0	0	
976534											246	0			0			4000	0	0	0	
976552											214	0			0			550	0	0	0	
976703											2326	0			0			4554	0	0	0	
976842											0	0			0			0	0	0	0	
976954											0	0			0			0	0	0	0	
977036											135	0			0			151	0	0	0	
977045											314	0			0			5000	0	0	0	
977250											641	0			0			0	0	0	0	
977616											32	0			0			0	0	0	0	
977652											100	0			0			0	0	0	0	
977942											327	0			0			5142	0	0	0	
977951											1270	0			0			7482	467	0	0	
978051											347	0			0			0	0	0	0	
978118											2143	0			0			15421	3902	0	10437	
978154											18150	1101			1101			199950	5760	0	0	
978239											150	0			0			0	0	0	0	
978323											9	0			0			0	0	0	0	
978369											3990	0			0			18820	0	0	0	
978417											424	0			0			3039	0	0	0	
978622											579	0			0			295	0	0	0	
978659											89	0			0			0	0	0	0	
978846											1131	0			0			11786	4	0	2989	
979133											534	0			0			6200	0	0	701	
979151											302	0			0			199	0	0	0	
979357											27	0			0			0	0	0	0	
979629											673	0			0			375	50	0	0	
979759											64	0			0			0	0	0	0	
980045											131	0			0			1000	0	0	0	
980157											88	0			0			0	0	0	0	
980344											0	0			0			0	6	0	0	
980353											2187	0			0			131559	100	0	0	
980438											247	0			0			3156	0	0	0	
980531											350	0			0			0	0	0	10300	
980634											143	0			0			0	900	0	0	
980652											687	0			0			9653	0	0	0	
980661	24932	905114	1466	133388	0	348896	27726	583398	0	2024920	24662	1485	121313	9183765	1485	0	7404243	40268	0	0	116775	
980951											399	0			0			500	0	0	0	
980960											251	0			0			0	0	0	0	
981350											0	0			0			35	0	0	0	
981453											153	0			0			1365	0	0	99	
981855											503	0			0			5181	2	0	0	
982142											2268	0			0			25907	0	0	4465	
982151											763	0			0			0	0	0	4205	
982263											410	0			0			0	0	0	0	
982348											1956	0			0			17143	0	0	1876	
982553											0	0			0			0	0	0	0	
982731											650	0			0			11000	0	0	0	
982937											0	0			0			0	0	0	0	
983055											14	0			0			0	0	0	0	
983130											449	0			0			876	0	0	7691	
983158											0	0			0			0	0	0	250	
983215											144	0			0			752	0	0	682	
983448	52605	5539	1094608	1278635	0	2344379	189987	63270	5084	5103855	143686	5333		31020713	5333	2346931	26196391	3189677	69748	506	16410	
983457											1511	0			0			0	2193	0	0	
983550											417	0			0			2075	0	0	2019	
984258											1222	0			0			6094	0	0	11870	
984351											15	0			0			0	0	0	0	
984379											1199	0			0			10000	0	0	12014	
984454											306	0			0			4422	0	0	0	
984557											794	0			0			0	0	0	12392	
984650											0	0			0			0	0	0	0	
984856											506	0			0			7023	0	0	0	
985451											255	0			0			0	0	0	942	
985554											453	0			0			8544	250	0	0	
985620											3315	0			0			0	0	0	18280	
985657											88	0			0			0	0	0	0	
985844											0	0			0			23	0	0	0	
985956											2647	0			0			36841	0	0	0	
986159											253	0			0			2482	0	0	0	
986551											245	0			0			750	0	0	300	
986739											404	0			0			4000	0	0	0	
986757											387	0			0			4045	0	0	0	
986850											630	0			0			0	0	0	0	
986935											133	0			0			0	0	0	0	
987053											1571	0			0			29484	0	0	0	
987231											142	0			0			1000	0	0	0	
987259											0	0			0			0	0	0	0	
987352											511	0			0			1000	0	0	0	
987651											334	0			0			395	0	0	0	
987848											121	0			0			0	0	0	0	
988144											1005	0			0			5014	0	0	0	
988153											0	0			0			1497	0	0	0	
988229											415	0			0			739	0	0	0	
988256											6	0			0			0	0	0	0	
988452											1038	0			0			7500	0	0	8531	
988658											405	0			0			3044	340	0	200	
988845											696	0			0			2267	0	0	261	
988957											75	0			0			500	0	0	375	
989141											698	0			0			5000	0	0	0	
989347											791	0			0			10121	0	0	0	
989356											0	0			0			0	0	0	0	
989534											86	0			0			0	0	0	0	
989655											342	0			0			4849	0	0	0	
989730											0	0			0			0	0	0	0	
989758											1143	0			0			14841	0	0	0	
989851											240	0			0			2972	0	0	0	
990053											243	0			0			3500	0	0	0	
990352											1200	0			0			0	0	0	10987	
990642											303	0			0			5148	0	0	0	
991041											564	0			0			0	10	0	0	
991135											90	0			0			0	0	0	0	
991340											13600	0			0			91176	36193	0	247824	
991359											1217	0			0			12900	0	0	0	
991555											821	0			0			2000	0	0	0	
991621											1196	0			0			0	1	0	0	
991854											63	0			0			0	0	0	0	
992057											79	0			0			93	0	0	4520	
992758											70	0			0			0	0	0	0	
992851											0	0			0			0	0	0	0	
993250											602	0			0			5990	0	0	0	
993335											286	0			0			0	0	0	0	
993353											34	0			0			0	0	0	1070	
993652											92	0			0			0	0	0	0	
994435											807	0			0			10016	0	0	17355	
994565											1800	0			0			23500	0	0	0	
994716											1124	0			0			19414	2202	0	1456	
995076											502	0			0			3066	21327	0	0	
995450											6557	0			0			104000	0	0	31919	
995517											1045	0			0			4465	0	0	1952	
995571											350	0			0			5000	0	0	0	
995674											408	0			0			0	0	0	0	
995955											6	0			0			0	0	0	0	
996251											0	0			0			0	0	0	0	
996260											5403	1080			1080			65349	0	99000	50431	
996457											126	0			0			0	0	0	0	
996466											2861	0			0			39886	0	0	0	
996840											0	0			0			0	0	0	0	
997052											42	0			0			0	0	0	0	
997155											0	0			0			0	0	0	0	
997333											721	0			0			161	1000	0	0	
997472	278000	0	178000	663000	0	36000	157000	28000	0	1461000	747000	1000	0	29267000	1000	0	27357000	2753000	121000	4000	1271000	
997557											3	0			0			0	0	0	0	
997650											242	0			0			0	0	0	18143	
997771											268	0			0			4585	0	0	0	
997847											647	0			0			2200	1000	0	0	
997856											221	0			0			1500	0	0	0	
998358											85	0			0			0	0	0	0	
998554											721	0			0			5088	0	0	6440	
998648											536	0			0			6806	0	0	2459	
998657											0	0			0			0	0	0	0	
998750											25	0			0			0	0	0	0	
998844											588	0			0			7000	0	0	761	
998974											2358	0			0			9000	0	0	254	
999355											6	0			0			0	0	0	0	
999430											769	0			0			13000	3526	0	0	
999663											427	0			0			8500	0	0	0	
999935											1153	0			0			0	14	0	0	
1000052											539	0			0			2171	0	0	14457	
1000100											3848	0			0			13968	25965	0	0	
1000276											1564	0			0			2214	26388	0	0	
1000409											51547	644			644			1380640	1	0	437894	
1000511											356	0			0			0	1000	0	10379	
1000557											170	0			0			2514	0	0	0	
1000641											778	0			0			1158	0	0	0	
1000726											699	0			0			2374	0	0	0	
1000856											171	0			0			3000	0	0	0	
1000959											236	0			0			1196	0	0	0	
1001059											0	0			0			0	26	0	2000	
1001152											41775	0			0			540000	5000	0	475163	
1001273											15791	0			0			308540	13167	0	28393	
1001451											118	0			0			576	64	0	0	
1001639											5407	0			0			28886	0	0	200	
1001648											6572	0			0			25000	1000	0	220	
1001705											0	0			0			0	5949	0	0	
1001817											0	0			0			411	0	0	883	
1001853											553	0			0			5000	0	0	4077	
1002355											0	0			0			0	0	0	0	
1002373											2474	0			0			30006	4713	0	0	
1002430											1387	0			0			26451	0	0	7744	
1002458											148	0			0			2262	0	0	0	
1002618											717	0			0			492	1577	0	1024	
1002850											255	0			0			4307	10	0	0	
1002878											32686	0			0			419398	72657	0	26543	
1002953											240	0			0			0	0	0	0	
1003455											446	0			0			1750	0	0	874	
1003549											75	0			0			9	0	0	0	
1003558											750	0			0			701	0	0	0	
1003606											129565	0			0			1351300	386	0	1515000	
1003679											19523	0			0			135650	9001	0	425000	
1003839											150	0			0			553	0	0	0	
1003848											80508	0			0			1262295	0	0	584494	
1003950											0	0			0			0	0	0	0	
1004238											91	0			0			600	0	0	0	
1004256											187	0			0			2695	0	0	0	
1004265											1567	0			0			5000	0	0	0	
1004368											7705	0			0			0	1000	0	90111	
1004470											726	0			0			100	11422	0	0	
1005440											169	0			0			0	0	0	0	
1005459											0	0			0			0	0	0	0	
1005552											21	0			0			0	0	0	0	
1005655											6	0			0			0	0	0	0	
1005758											218	0			0			0	9250	0	0	
1005851											0	0			0			0	0	0	0	
1005860											487	0			0			3416	0	0	0	
1006148											1017	0			0			1048	0	0	14496	
1006157											0	0			0			0	200	0	0	
1006344											29	0			0			0	0	0	0	
1006513											663	0			0			13316	0	0	2613	
1006559											203	0			0			0	0	0	0	
1006577											560	0			0			6000	1822	0	0	
1006652											561	0			0			442	0	0	0	
1006670											1040	0			0			0	0	0	0	
1006858											99	0			0			38	0	0	0	
1006951											0	0			0			0	0	0	0	
1007015											3504	0			0			1664	0	0	54873	
1007051											730	0			0			9878	0	0	0	
1007145											63	0			0			0	0	0	0	
1007154											2541	0			0			38271	0	0	0	
1007417											1244	0			0			0	0	0	5177	
1007659											112	0			0			2250	0	0	799	
1007734											0	0			0			0	0	0	0	
1007752											89	0			0			0	92	0	0	
1007819											4716	0			0			90255	6	0	39543	
1007846											48101	0			0			531124	32342	0	487408	
1007930											0	0			0			0	0	0	0	
1007958											361	0			0			1300	0	0	0	
1008076											1746	0			0			22000	3535	0	0	
1008133											0	0			0			0	0	0	343	
1008151											51	0			0			553	0	0	0	
1008209											470	0			0			0	10000	0	0	
1008432											217	0			0			0	1	0	2129	
1008450											0	0			0			0	0	0	0	
1008553											99	0			0			0	0	0	450	
1008647											222	0			0			1788	0	0	360	
1008674											1591	0			0			11230	5547	0	0	
1008731											480	0			0			0	0	0	0	
1008955											76	0			0			0	2	0	0	
1009055											0	0			0			0	0	0	0	
1009242											349	0			0			2000	0	0	465	
1009354											2033	0			0			21231	0	139	7393	
1009420											3438	0			0			15587	500	0	3405	
1009541											1101	0			0			14773	0	0	0	
1009756											744	0			0			12100	0	0	3874	
1009804											2570	0			0			28000	20500	0	16296	
1009813											43	0			0			0	0	0	0	
1009831											346	0			0			4027	0	0	0	
1009840											202	0			0			3475	0	0	0	
1009952											100	0			0			0	0	0	0	
1010015											294	0			0			1250	0	147	0	
1010051											51	0			0			0	0	0	0	
1010471											1585	0			0			0	29566	0	210	
1010930											39672	0			0			713695	0	0	327511	
1011432											208	0			0			0	0	0	270	
1011526											16510	0			0			215000	65400	0	92257	
1011553											183	0			0			3000	0	0	0	
1011638											688	0			0			3478	0	0	0	
1011656											176	0			0			108	0	0	0	
1011740											54	0			0			0	0	0	0	
1011852											0	0			0			0	0	0	0	
1011955											54	0			0			0	122	0	980	
1012055											426	0			0			6740	0	0	0	
1012251											1455	0			0			10000	0	0	0	
1012354											42	0			0			0	0	0	0	
1012457											0	0			0			0	0	0	0	
1012671											3858	0			0			44000	48	0	0	
1012859											338	0			0			3441	0	0	1560	
1013043											1799	0			0			26500	0	0	0	
1013070											2207	0			0			19750	5700	0	0	
1013650											37	0			0			0	0	0	0	
1013735											160	0			0			0	0	0	0	
1013744											0	0			0			0	0	0	0	
1013753											250	0			0			1000	0	0	0	
