"IDRSSD"	RCFD3561	RCFD3562	RCFD7701	RCFD7702	RCON3561	RCON3562	RCON7701	RCON7702	
	NO. OF LOANS TO EXECUTIVE OFFICERS	TOT DOLLAR AMT OF LNS TO EXEC OFFCRS	RGE OF INT CHG ON LNS TO EXEC OFF-FR	RGE OF INT CHG ON LNS TO EXEC OFF-TO	NO. OF LOANS TO EXECUTIVE OFFICERS	TOT DOLLAR AMT OF LNS TO EXEC OFFCRS	RGE OF INT CHG ON LNS TO EXEC OFF-FR	RGE OF INT CHG ON LNS TO EXEC OFF-TO	
69333					3	273	0.0400	0.0563	
69351					0	0	0.0000	0.0000	
69650					0	0	0.0000	0.0000	
69678					0	0	0.0000	0.0000	
69847					0	0	0.0000	0.0000	
70049					0	0	0.0000	0.0000	
70058					1	61	0.0500	0.0500	
70076					0	0	0.0000	0.0000	
70151					0	0	0.0000	0.0000	
70218					0	0	0.0000	0.0000	
70254					0	0	0.0000	0.0000	
70414					2	56	0.0000	0.0475	
70638					0	0	0.0000	0.0000	
70955					0	0	0.0000	0.0000	
71318					0	0	0.0000	0.0000	
71457					1	87	0.0515	0.0515	
71671					0	0	0.0000	0.0000	
71859					0	0	0.0000	0.0000	
72258					1	6	0.0600	0.0600	
72351					0	0	0.0000	0.0000	
72418					0	0	0.0000	0.0000	
72454					0	0	0.0000	0.0000	
72614					0	0	0.0000	0.0000	
72678					0	0	0.0000	0.0000	
73031					0	0	0.0000	0.0000	
73116					0	0	0.0000	0.0000	
73152					4	50	0.0355	0.0650	
73554					0	0	0.0000	0.0000	
73956					3	800	0.0700	0.0802	
74056					0	0	0.0000	0.0000	
74140					1	6	0.0600	0.0600	
74159					0	0	0.0000	0.0000	
74337					0	0	0.0000	0.0000	
74403					0	0	0.0000	0.0000	
74449					0	0	0.0000	0.0000	
74458					0	0	0.0000	0.0000	
75053					0	0	0.0000	0.0000	
75259					2	2	0.1200	0.1600	
75446					0	0	0.0000	0.0000	
75455					0	0	0.0000	0.0000	
75558					1	6	0.0350	0.0350	
75576					0	0	0.0000	0.0000	
75633	1	471	0.0550	0.0550					
75651					0	0	0.0000	0.0000	
75857					0	0	0.0000	0.0000	
76050					1	128	0.0800	0.0800	
76135					0	0	0.0000	0.0000	
76153					2	9	0.0620	0.0620	
76201	0	0	0.0000	0.0000					
76443					0	0	0.0000	0.0000	
76854					0	0	0.0000	0.0000	
77150					0	0	0.0000	0.0000	
77253					0	0	0.0000	0.0000	
77347					2	122	0.0400	0.0450	
77374					0	0	0.0000	0.0000	
77422					0	0	0.0000	0.0000	
77758					0	0	0.0000	0.0000	
77851					0	0	0.0000	0.0000	
78036					0	0	0.0000	0.0000	
78054					0	0	0.0000	0.0000	
78157					0	0	0.0000	0.0000	
78241					1	3	0.1050	0.1050	
78559					0	0	0.0000	0.0000	
78643					0	0	0.0000	0.0000	
78858					0	0	0.0000	0.0000	
79042					0	0	0.0000	0.0000	
79127					0	0	0.0000	0.0000	
79145					0	0	0.0000	0.0000	
79257					0	0	0.0000	0.0000	
79855					1	40	0.0620	0.0620	
80020					0	0	0.0000	0.0000	
80150					5	60	0.0540	0.0840	
80431					0	0	0.0000	0.0000	
80552					1	30	0.0750	0.0750	
80936					0	0	0.0000	0.0000	
81054					0	0	0.0000	0.0000	
81429					1	85	0.0425	0.0425	
82033					0	0	0.0000	0.0000	
82257					0	0	0.0000	0.0000	
82350					0	0	0.0000	0.0000	
82659					0	0	0.0000	0.0000	
83151					0	0	0.0000	0.0000	
83236					0	0	0.0000	0.0000	
83311					0	0	0.0000	0.0000	
83357					0	0	0.0000	0.0000	
83450					1	1	0.1500	0.1500	
83638	5	805	0.0425	0.1400					
83834					0	0	0.0000	0.0000	
83852					0	0	0.0000	0.0000	
83955					0	0	0.0000	0.0000	
84046					1	1	0.1500	0.1500	
84055					0	0	0.0000	0.0000	
84251					0	0	0.0000	0.0000	
84345					1	14	0.0600	0.0600	
84541					0	0	0.0000	0.0000	
84804					0	0	0.0000	0.0000	
85043					0	0	0.0000	0.0000	
85052					0	0	0.0000	0.0000	
85258					0	0	0.0000	0.0000	
85454					2	20	0.0590	0.0600	
85856					3	11	0.0675	0.0675	
85931					0	0	0.0000	0.0000	
86349					0	0	0.0000	0.0000	
86358					0	0	0.0000	0.0000	
86527					0	0	0.0000	0.0000	
86554					3	28	0.0345	0.0375	
87047					0	0	0.0000	0.0000	
87159					0	0	0.0000	0.0000	
87234					1	20	0.0600	0.0600	
87476					0	0	0.0000	0.0000	
87533					0	0	0.0000	0.0000	
88240					1	2	0.1500	0.1500	
88259					0	0	0.0000	0.0000	
88352					0	0	0.0000	0.0000	
88455					0	0	0.0000	0.0000	
88530					0	0	0.0000	0.0000	
88950					0	0	0.0000	0.0000	
89032					1	1	0.0525	0.0525	
89135					0	0	0.0000	0.0000	
89162					0	0	0.0000	0.0000	
89452					0	0	0.0000	0.0000	
89751					1	1	0.0900	0.0900	
89854					0	0	0.0000	0.0000	
89957					0	0	0.0000	0.0000	
90047					1	16	0.0640	0.0640	
90234					0	0	0.0000	0.0000	
90328					2	308	0.0550	0.0725	
90337					1	250	0.0575	0.0575	
90403					0	0	0.0000	0.0000	
90467					0	0	0.0000	0.0000	
90627					0	0	0.0000	0.0000	
90645					1	10	0.0600	0.0600	
90739					1	4	0.0325	0.0325	
91129					0	0	0.0000	0.0000	
91147					2	20	0.0600	0.0800	
91156					3	9	0.0000	0.1025	
91259					0	0	0.0000	0.0000	
91615					0	0	0.0000	0.0000	
91651					1	37	0.0700	0.0700	
91754					1	13	0.0750	0.0750	
91866					0	0	0.0000	0.0000	
91950					1	3	0.0650	0.0650	
91969					0	0	0.0000	0.0000	
92050					0	0	0.0000	0.0000	
92144					0	0	0.0000	0.0000	
92162					0	0	0.0000	0.0000	
92630					0	0	0.0000	0.0000	
92706					1	220	0.0450	0.0450	
92854					0	0	0.0000	0.0000	
92902					1	13	0.0519	0.0519	
93244					0	0	0.0000	0.0000	
93329					0	0	0.0000	0.0000	
93413					0	0	0.0000	0.0000	
93543					0	0	0.0000	0.0000	
93619					0	0	0.0000	0.0000	
93628					0	0	0.0000	0.0000	
93721					0	0	0.0000	0.0000	
93758					0	0	0.0000	0.0000	
94139					3	49	0.0345	0.0750	
94447					1	10	0.0750	0.0750	
94456					2	192	0.0600	0.0700	
94522					0	0	0.0000	0.0000	
94755					0	0	0.0000	0.0000	
94858					1	11	0.0550	0.0550	
95051					0	0	0.0000	0.0000	
95659					0	0	0.0000	0.0000	
95725					0	0	0.0000	0.0000	
96254					0	0	0.0000	0.0000	
96357					1	104	0.0675	0.0675	
96553					1	30	0.0725	0.0725	
97055					1	9	0.0570	0.0570	
97279					2	19	0.0325	0.1395	
97457					0	0	0.0000	0.0000	
97804					0	0	0.0000	0.0000	
97943					0	0	0.0000	0.0000	
98351					0	0	0.0000	0.0000	
98454					0	0	0.0000	0.0000	
98463					0	0	0.0000	0.0000	
98548					0	0	0.0000	0.0000	
98557					0	0	0.0000	0.0000	
98641					0	0	0.0000	0.0000	
98717					0	0	0.0000	0.0000	
99004					0	0	0.0000	0.0000	
99059					2	6	0.0335	0.0350	
99143					7	533	0.0295	0.0700	
99255					0	0	0.0000	0.0000	
99442					0	0	0.0000	0.0000	
99536					0	0	0.0000	0.0000	
99853					0	0	0.0000	0.0000	
99974					0	0	0.0000	0.0000	
100160					0	0	0.0000	0.0000	
100236					4	53	0.0450	0.0600	
100357					0	0	0.0000	0.0000	
100553					0	0	0.0000	0.0000	
100562					1	299	0.0388	0.0388	
100843					0	0	0.0000	0.0000	
101019	0	0	0.0000	0.0000					
101037					0	0	0.0000	0.0000	
101233					0	0	0.0000	0.0000	
101327					0	0	0.0000	0.0000	
101345					0	0	0.0000	0.0000	
101439					0	0	0.0000	0.0000	
101671					0	0	0.0000	0.0000	
101738					0	0	0.0000	0.0000	
101952					0	0	0.0000	0.0000	
102155					0	0	0.0000	0.0000	
102333					0	0	0.0000	0.0000	
102342					0	0	0.0000	0.0000	
102539					1	60	0.0400	0.0400	
102557					0	0	0.0000	0.0000	
103134					8	145	0.0380	0.0500	
103255					4	451	0.0400	0.0600	
103536					0	0	0.0000	0.0000	
103554					0	0	0.0000	0.0000	
103563					2	73	0.0250	0.0400	
103602					0	0	0.0000	0.0000	
104038					0	0	0.0000	0.0000	
104056					0	0	0.0000	0.0000	
104234					0	0	0.0000	0.0000	
104430					0	0	0.0000	0.0000	
104542					0	0	0.0000	0.0000	
104663					0	0	0.0000	0.0000	
105026					0	0	0.0000	0.0000	
105044					1	217	0.0600	0.0600	
105053					0	0	0.0000	0.0000	
105071					0	0	0.0000	0.0000	
105222					9	55	0.0600	0.0750	
105530					0	0	0.0000	0.0000	
105633					0	0	0.0000	0.0000	
106359					0	0	0.0000	0.0000	
106377					1	235	0.0400	0.0400	
106452					0	0	0.0000	0.0000	
106519					2	298	0.0613	0.0650	
106546					0	0	0.0000	0.0000	
106555					0	0	0.0000	0.0000	
106658					0	0	0.0000	0.0000	
107057					2	17	0.0690	0.0690	
107150					9	155	0.0345	0.0875	
107226					0	0	0.0000	0.0000	
107244					0	0	0.0000	0.0000	
107431					1	50	0.0450	0.0450	
107459					1	3	0.0405	0.0405	
107758					0	0	0.0000	0.0000	
108157					0	0	0.0000	0.0000	
108250					0	0	0.0000	0.0000	
108269					2	12	0.0775	0.0800	
108652					0	0	0	0	
108746					0	0	0.0000	0.0000	
108951					1	9	0.0775	0.0775	
109136					6	906	0.0450	0.0600	
