RCON9224,RCON9999,RSSD9017,RSSD9130,RSSD9200,RSSD9220,IDRSSD
,2011-12-31,SEBREE DEPOSIT BANK,SEBREE,KY,42455,62044
,2011-12-31,"Rockefeller Trust Company, N.A.",New York,NY,100201903,62110
,2011-12-31,Community First Bank,Rosholt,WI,54473,62147
,2011-12-31,The Dolores State Bank,Dolores,CO,81323,63050
,2011-12-31,City National Bank,Los Angeles,CA,90071,63069
,2011-12-31,Whidbey Island Bank,Oak Harbor,WA,98277,63078
,2011-12-31,CAYUGA LAKE NATIONAL BANK,UNION SPRINGS,NY,13160,63201
,2011-12-31,Walpole Co-operative Bank,Walpole,MA,02081,63573
,2011-12-31,Citizens Bank,Lafayette,TN,37083,63733
,2011-12-31,HOMETOWN BANK,FOND DU LAC,WI,54935,63742
,2011-12-31,TOWANDA STATE BANK,TOWANDA,KS,67144,63751
,2011-12-31,Wyoming Bank & Trust,Cheyenne,WY,82009,64150
,2011-12-31,BLOOMFIELD STATE BANK,BLOOMFIELD,IN,47424,64543
,2011-12-31,Bank2,Oklahoma City,OK,73108,64552
,2011-12-31,Sterling National Bank,New York,NY,100196108,64619
,2011-12-31,Farmers & Merchants Bank,Eatonton,GA,31024,64730
,2011-12-31,Torrington Savings Bank,Torrington,CT,06790,65205
,2011-12-31,Clarke County State Bank,Osceola,IA,50213,65241
,2011-12-31,Delta National Bank and Trust Company,New York,NY,10019,65513
,2011-12-31,Pioneer Bank & Trust,Spearfish,SD,57783,65559
,2011-12-31,"Citizens Union Bank of Shelbyville, Inc.",Shelbyville,KY,400660189,65746
,2011-12-31,Emprise Bank,Wichita,KS,67201,65858
,2011-12-31,BPD  BANK,NEW YORK,NY,10004,66015
,2011-12-31,DECATUR COUNTY BANK,DECATURVILLE,TN,38329,66154
,2011-12-31,CENTRAL CO-OPERATIVE BANK,SOMERVILLE,MA,2144,66172
,2011-12-31,FIRST SOUTHERN BANK,FLORENCE,AL,36530,66275
,2011-12-31,Central Bank of Georgia,Ellaville,GA,318060045,66837
,2011-12-31,Peoples Trust and Savings Bank,Boonville,IN,476010307,67142
,2011-12-31,Kirkpatrick Bank,Edmond,OK,73013,67151
,2011-12-31,Newburyport Five Cents Savings Bank,"Newburyport,",MA,01950,67209
,2011-12-31,Young Americans Bank,Denver,CO,80206,67254
,2011-12-31,"FirstMerit Bank, N.A.",Akron,OH,44308,67311
,2011-12-31,"Peoples Bank Of Bullitt County, The",Shepherdsville,KY,40165,68345
,2011-12-31,Union National Bank & Trust Co,Sparta,WI,54656,68448
,2011-12-31,Liberty National Bank,Lawton,OK,73501,68756
,2011-12-31,Bank of Franklin,Meadville,MS,39653,68831
,2011-12-31,Union Bank & Trust Company,Evansville,WI,53536,68840
,2011-12-31,The First National Bank of Durango,Durango,CO,81301,68859
,2011-12-31,FIRST NATIONAL BANK MIDWEST,OSKALOOSA,IA,525770420,68943
,2011-12-31,The Citizens National Bank of Meridian,Meridian,MS,393015853,69333
,2011-12-31,Baker Boyer National Bank,Walla Walla,WA,99362,69678
