RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,2958,0,1473,277,0,0,0,0,328,880,0,702,0,,27548,2012-09-30
,,,,,,,,,,,,,3862,0,985,2303,0,0,0,0,172,402,0,755,0,,27614,2012-09-30
,,,,,,,,,,,,,1619,0,507,0,0,0,0,0,156,956,0,507,0,,27847,2012-09-30
,,,,,,,,,,,,,17202,0,12183,0,0,7217,0,0,63,4539,417,0,0,,28013,2012-09-30
,,,,,,,,,,,,,391,0,351,0,0,0,0,0,29,11,0,342,0,,28152,2012-09-30
,,,,,,,,,,,,,435,0,1,0,0,0,0,0,228,206,0,0,0,,28255,2012-09-30
,,,,,,,,,,,,,200,0,93,0,0,0,0,0,66,41,0,0,0,,28349,2012-09-30
,,,,,,,,,,,,,57031,0,44420,5364,0,43863,0,0,5,7220,22,0,0,,28406,2012-09-30
,,,,,,,,,,,,,249,0,135,0,36,0,0,0,1,113,0,0,0,,28572,2012-09-30
,,,,,,,,,,,,,918,0,5,588,0,0,0,0,5,320,0,0,0,,28675,2012-09-30
,,,,,,,,,,,,,1557,0,1438,0,0,0,0,0,77,42,0,1328,0,,28732,2012-09-30
,,,,,,,,,,,,,9739,28,7548,0,780,5574,0,0,221,1760,210,0,0,,29104,2012-09-30
,,,,,,,,,,,,,54,0,27,0,27,0,0,0,27,0,0,0,0,,29476,2012-09-30
,,,,,,,,,,,,,7724,0,5761,0,0,0,0,0,351,1612,0,5751,0,,29636,2012-09-30
,,,,,,,,,,,,,19679,0,19557,0,19393,121,43,0,50,72,0,0,0,,29878,2012-09-30
,,,,,,,,,,,,,203,0,8,0,0,0,0,0,35,160,0,0,0,,29953,2012-09-30
,,,,,,,,,,,,,261,0,96,130,84,0,0,0,3,32,0,12,0,,30052,2012-09-30
,,,,,,,,,,,,,8996,0,1859,5483,1092,195,503,0,1184,470,0,0,0,,30418,2012-09-30
