RCFN2200,RCFN2625,RCFN2650,RCFNA245,RCFNB553,RCFNB554,RCFNB555,IDRSSD,RCON9999
,,,,,,,102342,2014-06-30
,,,,,,,102539,2014-06-30
,,,,,,,102557,2014-06-30
,,,,,,,102874,2014-06-30
,,,,,,,103134,2014-06-30
,,,,,,,103255,2014-06-30
,,,,,,,103563,2014-06-30
,,,,,,,103602,2014-06-30
,,,,,,,104234,2014-06-30
,,,,,,,104542,2014-06-30
,,,,,,,104971,2014-06-30
,,,,,,,105026,2014-06-30
,,,,,,,105053,2014-06-30
,,,,,,,105071,2014-06-30
,,,,,,,105222,2014-06-30
,,,,,,,105473,2014-06-30
,,,,,,,105530,2014-06-30
,,,,,,,106359,2014-06-30
,,,,,,,106377,2014-06-30
,,,,,,,106452,2014-06-30
,,,,,,,106519,2014-06-30
,,,,,,,106676,2014-06-30
,,,,,,,107226,2014-06-30
,,,,,,,107244,2014-06-30
,,,,,,,107459,2014-06-30
,,,,,,,107570,2014-06-30
,,,,,,,107758,2014-06-30
,,,,,,,108072,2014-06-30
,,,,,,,108269,2014-06-30
,,,,,,,108474,2014-06-30
,,,,,,,108652,2014-06-30
,,,,,,,108746,2014-06-30
,,,,,,,108951,2014-06-30
,,,,,,,109136,2014-06-30
,,,,,,,109154,2014-06-30
,,,,,,,109453,2014-06-30
,,,,,,,109574,2014-06-30
,,,,,,,109659,2014-06-30
,,,,,,,109686,2014-06-30
,,,,,,,110413,2014-06-30
,,,,,,,110936,2014-06-30
,,,,,,,110945,2014-06-30
,,,,,,,110972,2014-06-30
,,,,,,,111157,2014-06-30
,,,,,,,111205,2014-06-30
,,,,,,,111661,2014-06-30
,,,,,,,111942,2014-06-30
,,,,,,,111979,2014-06-30
,,,,,,,112163,2014-06-30
,,,,,,,112332,2014-06-30
,,,,,,,112444,2014-06-30
,,,,,,,112510,2014-06-30
,,,,,,,112556,2014-06-30
938969,0,0,938969,917122,21847,0,112837,2014-06-30
,,,,,,,113003,2014-06-30
,,,,,,,113030,2014-06-30
,,,,,,,113441,2014-06-30
,,,,,,,113601,2014-06-30
,,,,,,,113740,2014-06-30
,,,,,,,113937,2014-06-30
,,,,,,,114149,2014-06-30
,,,,,,,114158,2014-06-30
,,,,,,,114251,2014-06-30
,,,,,,,114260,2014-06-30
,,,,,,,114457,2014-06-30
,,,,,,,114774,2014-06-30
,,,,,,,114840,2014-06-30
,,,,,,,114859,2014-06-30
,,,,,,,115100,2014-06-30
,,,,,,,115146,2014-06-30
,,,,,,,115575,2014-06-30
,,,,,,,116077,2014-06-30
,,,,,,,116358,2014-06-30
,,,,,,,116554,2014-06-30
,,,,,,,116639,2014-06-30
,,,,,,,116732,2014-06-30
,,,,,,,116741,2014-06-30
,,,,,,,116871,2014-06-30
,,,,,,,117038,2014-06-30
,,,,,,,117074,2014-06-30
,,,,,,,117458,2014-06-30
,,,,,,,117672,2014-06-30
,,,,,,,117775,2014-06-30
,,,,,,,118156,2014-06-30
,,,,,,,118660,2014-06-30
,,,,,,,118736,2014-06-30
,,,,,,,119153,2014-06-30
,,,,,,,119528,2014-06-30
,,,,,,,119779,2014-06-30
,,,,,,,119872,2014-06-30
,,,,,,,120476,2014-06-30
,,,,,,,120542,2014-06-30
,,,,,,,120609,2014-06-30
,,,,,,,120953,2014-06-30
,,,,,,,121642,2014-06-30
,,,,,,,121651,2014-06-30
,,,,,,,121679,2014-06-30
,,,,,,,121914,2014-06-30
,,,,,,,122153,2014-06-30
,,,,,,,122546,2014-06-30
,,,,,,,122573,2014-06-30
,,,,,,,122854,2014-06-30
,,,,,,,123075,2014-06-30
,,,,,,,123374,2014-06-30
,,,,,,,123646,2014-06-30
,,,,,,,124344,2014-06-30
,,,,,,,124830,2014-06-30
,,,,,,,125154,2014-06-30
,,,,,,,125471,2014-06-30
