RCON8725,RCONA126,RCONC391,RCONFT00,RCONFT01,RCONFT02,RCONFT03,RCONFT04,RCONFT05,RCONFT06,RCONFT07,RCONFT08,RCONFT09,RCONFT10,RCONFT11,RCONFT12,RCONFT13,RCONFT14,RCONFT15,RCONFT16,RCONHK18,RCONHK19,RIADC388,RIADC389,RIADC390,RIADF551,RIADF553,IDRSSD,RCON9999
910610,0,,,,,,,,,,,,,,,,,,,,,,,,,,35570,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,35646,2017-09-30
,,,false,,,false,,,false,false,,false,,true,31682,false,,,false,,,,,,,,35879,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,36456,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,36933,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,37051,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,37341,2017-09-30
9336,0,,,,,,,,,,,,,,,,,,,,,,,,,,37435,2017-09-30
16894,88303,,,,,,,,,,,,,,,,,,,,,,,,-97,0,37640,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,37659,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,37949,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,38740,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,39327,2017-09-30
364,0,,,,,,,,,,,,,,,,,,,,,,,,,,39756,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,40033,2017-09-30
551447,0,,,,,,,,,,,,,,,,,,,,,,,,23569,0,40499,2017-09-30
,,,false,,,false,,,false,false,,true,1524,false,,false,,,false,,,,,,,,40855,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,41245,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,41553,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,41629,2017-09-30
752,0,,,,,,,,,,,,,,,,,,,,,,,,,,41825,2017-09-30
,,,false,,,false,,,false,false,,false,,true,26424,false,,,false,,,,,,,,41937,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,41955,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,42037,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,42354,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,42372,2017-09-30
874497,0,,,,,,,,,,,,,,,,,,,,,,,,,,42420,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,42448,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,42457,2017-09-30
,,,false,,,false,,,false,false,,false,,true,29845,false,,,false,,,,,,,,43052,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,43351,2017-09-30
,,,false,,,false,,,false,false,,true,7478,false,,false,,,false,,,,,,,,43856,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,43959,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,44040,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,44433,2017-09-30
,,,false,,,false,,,false,false,,false,,true,66880,false,,,false,,,,,,,,44741,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,44750,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,44929,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,45038,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,45047,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,45056,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,45430,2017-09-30
,,,false,,,false,,,false,false,,true,139,true,139,false,,,false,,,,,,,,45458,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,45551,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,45560,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,45775,2017-09-30
,,,false,,,false,,,false,false,,true,40673,true,40673,false,,,false,,,,,,,,46053,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,46941,2017-09-30
66047,3200,,,,,,,,,,,,,,,,,,,,,,,,,,47247,2017-09-30
,,,false,,,false,,,false,false,,true,331,true,18491,false,,,false,,,,,,,,47256,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,47452,2017-09-30
,,,false,,,false,,,false,false,,true,26430,true,26430,false,,,false,,,,,,,,47500,2017-09-30
,,,false,,,false,,,false,false,,true,479,true,11986,false,,,false,,,,,,,,48057,2017-09-30
