"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	TEXT4087	
596848																														542	0	0	17500	542	24215	true	0	0	0	0	0	0	0	0	0	47331	10	542	0	true	0	1715	0	17500	5000	0	0	0	1715	0	0	0	0	1715	http://www.americantrust.com	
596978																														278	0	248	12300	278	31300	true	0	0	0	0	0	0	210	0	38	214	0	278	0	false	0	0	0	12300	7000	4000	8000	4000	0	0	0	0	0	0	www.marathonsavingsbank.com	
597041																														159	0	31	0	0	2250	false	0	0	0	159	0	0	31	0	0	1147	1	0	0	false	0	0	0	0	0	0	0	0	0	2250	0	0	0	2250		
597162																														0	0	0	6000	0	6000	true	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	6000	0	0	0	0	0	0	0	0	0	0	www.e-fnbnc.com	
597256																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	45	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
597313																														112	0	113	3750	0	33750	true	0	0	0	112	0	0	113	0	0	807	0	0	0	true	0	0	0	9250	2000	12500	10000	25000	0	0	0	0	0	0	www.peoplesbankpa.com	
597452																														0	10	94	0	0	0	true	0	0	10	0	94	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.americanbankandtrust.com	
597546																														0	0	0	0	0	10000	true	0	0	0	0	0	0	0	0	0	2040	1	0	0	true	0	0	0	3000	3000	0	4000	0	0	0	0	0	0	0	www.premiercommunity.com	
597555																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	19900	5	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.umb.com	
597658																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	64	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	firststatebankforsyth.com	
597751																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1510	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fnbjacksboro.com	
598002																														0	3274	0	0	0	277	true	0	0	3274	0	0	0	0	0	0	577	0	0	0	true	0	142	0	0	0	0	0	0	142	0	0	135	0	142	http://www.walpolebank.com	
598048																														1703	0	874	2000	98	2000	true	0	0	0	1605	0	0	0	0	874	3473	2	111	0	true	0	0	0	2000	0	0	0	0	0	0	0	0	0	0	http://www.snbt.com	
598132																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	187	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
598534																														1120	0	0	0	0	62250	true	0	0	0	0	0	0	0	0	0	430	0	0	1120	true	0	14250	0	0	25000	0	0	25000	14250	23000	0	0	0	34000	www.lionbank.com	
598543																														0	0	0	0	0	140	true	0	0	0	0	0	0	0	0	0	55	0	0	0	false	0	140	0	0	0	0	0	0	140	0	0	0	0	140	sibleystatebank.com	
598646																														0	0	220	0	0	3	true	0	0	0	0	0	0	0	0	220	1713	1	0	0	false	0	3	0	0	0	0	0	0	3	0	0	0	0	0	http://www.tuscolanational.com	
598954																														0	0	2191	19000	0	82472	true	0	0	0	0	1659	0	532	0	0	3889	1	0	0	false	0	2472	0	19000	26000	35000	0	0	2472	0	0	0	0	2472	www.jbt-stl.com	
599643																														66	0	201	1090	0	7090	true	0	0	0	66	0	0	82	0	119	700	0	0	0	false	0	0	0	3090	4000	0	0	0	0	0	0	0	0	0	http://www.farmersstatebk.com	
599755																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	1925	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
599764																														8627	0	0	76024	0	96170	true	0	0	0	8627	0	0	0	0	0	7540	3	0	0	true	0	0	0	76024	20107	0	0	0	0	0	39	0	0	0	www.anbtx.com	
600129																														126	0	0	0	0	2353	true	0	0	0	126	0	0	0	0	0	3450	1	0	0	false	0	0	0	0	0	0	2353	0	0	0	0	0	0	0	www.progbank.com	
600419																														520	0	149	14666	473	60935	true	0	0	0	47	0	0	0	0	149	8266	4	473	0	true	0	0	0	16166	21026	11561	12182	15000	0	0	0	0	0	0	http://www.kishbank.com	
600651																														0	0	140	0	0	11306	true	0	0	0	0	0	0	0	0	140	1437	1	0	0	true	0	0	0	0	0	400	0	0	10906	0	0	0	0	10906	www.asbpierre.com	
601032																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	62	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.fairviewstate.com	
601041																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	784	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://fsbbc.com	
601050																														13285	0	1261	122890	589	151359	true	0	0	0	12696	0	0	586	0	675	366721	8	591	0	true	1726762	10634	0	122890	8800	7470	1099	0	10634	82	384	0	0	0	www.commercebank.com	
601153																														0	0	36	4500	0	7500	false	0	0	0	0	0	0	36	0	0	1210	1	0	0	false	0	0	0	4500	3000	0	0	0	0	0	0	0	0	0		
601416																														2240	0	1551	13000	1249	42342	true	0	0	0	991	0	64	510	0	977	786	0	3805	0	true	0	0	0	13000	29046	154	142	0	0	0	0	0	0	0	www.five-starbank.com	
601434																														0	0	53	0	0	0	false	0	0	0	0	0	0	53	0	0	115	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
601443																														0	0	139	0	0	0	true	0	0	0	0	45	0	94	0	0	9904	3	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	www.bankofmauston.com	
601564																														44	102	41	0	0	0	true	0	0	102	44	0	0	41	0	0	1423	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.treatyoakbank.com	
601658																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	31	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
601733																														0	0	188	0	0	0	true	186	0	0	0	2	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://PEOPLESSOUTHERN.COM	
602048																														0	0	0	0	0	2303	true	0	0	0	0	0	0	0	0	0	8005	3	0	0	true	0	1251	0	0	0	0	1052	0	1251	0	0	0	0	0	www.thestatebank.com	
602150																														487	0	0	0	0	0	true	0	0	0	487	0	0	0	0	0	215	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.jsbbank.com	
602356																														0	0	283	0	0	0	true	0	0	0	0	0	0	283	0	0	8	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.epeoples.com	
