"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
61476											1205					9925	6000	0	0	
61533											0					0	0	0	3115	
61757											99					1300	0	0	13484	
61832											1498					22250	0	0	0	
61953											188					0	0	0	0	
62044											374					145	0	0	0	
62101											69895					1228234	0	0	1431028	
62147											1023					1500	0	0	0	
63050											0					0	0	0	0	
63069	35664	363216	343104	1061761	0	835036	484404	10221	0	3145335	46553	0	14407906	0	12949017	82426	11929	0	7409	
63078											1984					3000	856	0	0	
63201											19					0	0	0	0	
63359											0					0	0	0	0	
63573											2256					13000	100	0	0	
63733											678					515	39	0	0	
63742											258					0	0	0	0	
63751											60					231	0	0	0	
64150											209					2477	0	0	0	
64543											2233					36489	1000	0	0	
64552											262					0	0	0	0	
64619	0	39988	23604	471643	0	67915	0	1249	500	604899	5450	0	1909818	3035	1779115	51110	0	0	117477	
64730											1579					10000	0	0	0	
65205											2410					0	40	0	0	
65241											1074					14000	0	0	0	
65513	2989	28973	1471	1	0	0	0	67365	16825	117624	375	0	223910	0	178889	0	0	0	0	
65559											457					1795	0	0	0	
65746											7885					106145	0	0	12080	
65858											3641					7484	0	0	0	
66015	0	17245	0	22621	0	25527	28635	21791	0	115819	3502	0	454030	15546	402311	54000	0	0	0	
66154											841					13252	0	0	0	
66172											7894					121255	5098	0	0	
66275											421					1650	0	0	0	
66837											1677					12000	0	0	0	
66846											5929					103100	0	0	0	
67142											434					1034	0	0	0	
67151											2240					29152	0	0	0	
67209											4451					75720	21091	0	1131	
67254											0					0	0	0	0	
67311											121359					336693	19190	0	1086406	
68345											1231					0	0	0	0	
68448											72					0	125	0	0	
68756											1000					0	0	0	0	
68831											0					0	0	0	0	
68840											889					11666	0	0	922	
68859											757					1095	0	0	9300	
68943											472					1500	0	0	0	
69333											8225					117756	0	0	1225	
69351											324					0	0	0	0	
69650											0					0	0	0	0	
69678											1880					0	539	0	6546	
69847											0					0	0	0	0	
70049											567					5875	0	0	0	
70058											916					4263	0	0	0	
