"IDRSSD"	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON3510	RCON3512	RCON3514	RCON3520	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	TEXTA545	
	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	PB/PSA FDIC CERTIFICATE NUMBER	
2758613	0	0	0	0		0	0	0		0	0	0	0	0		0	271		0	0	0	0	0	0	0	34699		252	1	207056		114187	453		
2759629	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1903		0	0	32563		41993	170		
2760102	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2546		0	0	62519		109670	268		
2760232	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	12930		0	0	138381		82476	554		
2761912	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	7409		271	1	93980		168038	672		
2761930	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	6309		0	0	49873		37704	188		
2761967	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	10701		0	0	107750		44996	246		
2762638	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	5724		583	1	70971		80865	338		
2764212	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	6122		1134	2	116825		147286	408		
2764258	0	0	0	0		0	0	0		0	0	0	0	0		0	0	139232	0	0	0	0	0	0	0	206509		3645	11	973081		470584	2647		
2765602	25	0	0	0		0	0	0		15	0	0	0	0		0	0		0	0	0	0	0	0	0	3622		0	0	66667		92835	290		
2765611	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	976		0	0	60601		293525	516		
2767763	0	1044	0	0		0	0	0		0	2947	2346	0	0		0	0		0	0	0	0	0	0	0	8778		251	1	205506		219220	979		
2769383	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	928		1001	1	51740		215608	428		
2769570	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3783		267	1	60084		26082	130		
2769589	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	13335		883	3	392849		268628	1304		
2769954	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3854		0	0	43916		67543	249		
2769972	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1773	74	301	1	19781	2505	25481	64		
2771694	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	0		0	0	47751		31354	170		
2771797	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	5249		892	2	56456		108213	447		
2773867	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	4054		1144	2	86733		109279	406		
2774707	0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	0		0	0	100		400	1		
