"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
655660	817	0	14	0	849	46	0			0	0	
655839	2638	-75	199	0	2558	44	0			0	0	
655857	1145	1	18	0	1147	21	0			0	0	
656032	1152	45	3	0	1185	81	0			0	0	
656153	260	6	0	0	261	7	0			0	0	
656247	353	0	4	0	349	0	0			0	0	
656274	837	30	6	0	827	26	0			0	0	
656359	2200	40	1	0	2187	28	0			0	0	
656470	3987	0	23	0	3997	33	0			0	0	
656555	3266	1500	41	0	1738	13	0			0	0	
656649	1443	80	11	0	1355	3	0			0	0	
656658	442	5	3	0	446	12	0			0	0	
656733	42354	1100	385	0	42290	1421	0			0	0	
656742	175	-4	7	0	175	3	0	0	0	0	0	
657178	533	0	0	0	533	0	0			0	0	
657365	26703	2960	108	0	24963	1328	0			0	0	
657459	9740	100	51	0	9773	184	0			0	0	
657758	269	0	0	0	269	0	0	0	0	0	0	
657767	1143	605	0	0	759	221	0			0	0	
657954	458	0	1	0	458	1	0	0	0	0	0	
658139	821	0	21	0	904	104	0			0	0	
658157	80	0	0	0	80	0	0			0	0	
658540	4164	0	1	0	4171	8	0			0	0	
658559	2957	-49	168	0	2910	72	0			0	0	
658924	919	59	20	0	871	31	0	0	0	0	0	
659042	468	0	0	0	471	3	0			0	0	
659257	20544	0	186	0	22300	1942	0			0	0	
659341	2258	6	6	0	2250	4	0			0	0	
659453	299	0	15	0	287	3	0			0	0	
659538	1988	105	1	0	1882	0	0	0	0	0	0	
659556	525	55	4	0	477	11	0			0	0	
659622	3159	50	160	0	2993	44	0			0	0	
659640	142	10	1	0	132	1	0			0	0	
659734	653	0	3	0	650	0	0			0	0	
659855	43633	1753	531	0	42450	1101	0			0	0	
660066	136	0	3	0	139	6	0	0	0	0	0	
660253	126	0	0	0	133	7	0	0	0	0	0	
660271	753	23	4	0	729	3	0			0	0	
660570	925	15	0	0	910	0	0			0	0	
660655	15553	1330	826	0	14812	1415	0			0	0	
660927	1467	51	8	0	1449	41	0			0	0	
661157	155	0	6	0	149	0	0	0	0	0	0	
661223	1297	75	16	0	1257	51	0			0	0	
661308	8769	150	115	0	8855	69	-282			0	0	
661858	282	0	1	0	281	0	0	0	0	0	0	
662350	411	10	22	0	398	19	0	0	0	0	0	
662369	10297	1050	231	0	9330	314	0			0	0	
662453	918	65	8	0	872	27	0			0	0	
662556	201	20	3	0	208	30	0			0	0	
662640	5234	105	16	0	5134	21	0			0	0	
662659	1642	50	35	0	1622	65	0			0	0	
662949	2102	30	4	0	2068	0	0			0	0	
663058	4246	325	59	0	4048	186	0			0	0	
663245	13226	1266	309	0	13398	991	-756			0	0	
663450	485	9	0	0	476	0	0			0	0	
663638	288	-34	5	0	318	1	0	0	0	0	0	
663647	2404	150	0	0	2254	0	0			0	0	
663656	607	13	14	0	607	27	0			0	0	
663722	360	261	12	0	94	7	0			0	0	
663768	432	0	3	0	444	15	0			0	0	
663834	86571	3200	837	0	83223	689	0			260	0	
663955	400	3	0	0	397	0	0			0	0	
664206	11351	63	123	0	11173	8	0			0	0	
664336	2451	105	3	0	2371	28	0			0	0	
664457	295	0	6	0	292	3	0			0	0	
664653	607	-59	208	0	469	11	0	0	0	0	0	
664756	17312	120	63	0	17203	74	0			0	0	
664831	369	15	0	0	362	8	0			0	0	
665052	0	0	0	0	0	0	0			0	0	
665146	1747	0	21	0	1754	28	0			0	0	
665258	207	10	3	0	284	90	0			0	0	
665865	475	0	6	0	479	10	0			0	0	
665931	21632	300	235	0	21378	281	0			0	0	
666031	7916	-200	0	0	8116	0	0			0	0	
666059	256	25	45	0	226	40	0			0	0	
666273	343	5	20	0	392	74	0			0	0	
666358	674	0	0	0	674	0	0			0	0	
666554	3923	60	6	0	3859	2	0			0	0	
666657	15060	0	55	0	15862	857	0			0	0	
666750	464	250	0	0	216	2	0			0	0	
666844	879	15	9	0	898	43	0			0	0	
667029	744	24	48	0	677	5	0			0	0	
667252	31	0	1	0	30	0	0	0	0	0	0	
667346	540	0	0	0	540	0	0	0	0	0	0	
667458	467	4138	0	0	250	3921	0			0	0	
667524	1358	15	20	0	1350	27	0			0	0	
667551	336	17	28	0	338	47	0			0	0	
667757	5160	198	56	0	5129	223	0			0	0	
667832	892	30	22	0	867	27	0			0	0	
667850	59	0	0	0	61	2	0			0	0	
667869	3297	0	14	0	3283	0	0			0	0	
668053	288	0	1	0	288	1	0	0	0	0	0	
668147	933	0	5	0	929	1	0			0	0	
668352	91	0	0	0	91	0	0			0	0	
668745	1191	0	1	0	1195	5	0			0	0	
668848	1613	50	26	0	1760	223	0			0	0	
669340	1501	15	104	0	1384	2	0			0	0	
669359	554	60	2	0	495	3	0			0	0	
669443	3010	10	39	0	3197	236	0			0	69	
669555	2222	27	6	0	2195	6	0			0	0	
669751	2398	90	3	0	2305	0	0			0	0	
670159	144	0	1	0	143	0	0	0	0	0	0	
670421	397	13	1	0	410	27	0	0	0	0	0	
670430	977	30	7	0	940	0	0			0	0	
670467	3436	300	56	0	3255	175	0			0	0	
670551	232	0	2	0	231	1	0			0	0	
670560	0	0	0	0	0	0	0			0	0	
670654	120	0	0	0	120	0	0	0	0	0	0	
670748	373	25	2	0	371	25	0			0	0	
670850	58	0	0	0	58	0	0			0	0	
671053	180	4	0	0	176	0	0	0	0	0	0	
671147	1669	0	11	0	1670	12	0			0	0	
671334	4893	146	13	0	4795	61	0			0	0	
671464	13918	257	29	0	13871	239	0			0	0	
671558	5077	101	70	0	5001	95	0			0	0	
671576	24538	2603	105	0	18844	937	3923	0	0	0	0	
671857	193	0	0	0	193	0	0			0	0	
672041	76	0	0	0	76	0	0			0	0	
672238	126	6	17	0	131	28	0	0	0	0	0	
672247	974	20	1	0	1070	117	0			0	0	
672359	254	0	0	0	256	2	0			0	0	
672537	1584	75	13	0	1519	23	0			0	0	
673132	4351	150	89	0	4133	21	0			0	0	
673178	497	0	2	0	495	0	0			0	0	
673244	655	0	0	0	655	0	0			0	0	
673431	2153	30	4	0	2131	12	0			0	0	
673440	12753	296	78	0	12654	275	0			0	0	
673851	578	15	0	0	563	0	0			0	0	
673909	3385	69	0	0	3316	0	0			0	0	
673963	1325	0	6	0	1327	8	0			0	0	
674344	367	9	0	0	358	0	0			0	0	
674513	5282	0	23	0	5351	92	0			0	0	
674849	1425	30	1	0	1400	6	0			0	0	
675042	890	9	10	0	871	0	0			0	0	
675051	206	0	0	0	206	0	0			0	0	
675079	624	0	0	0	624	0	0			0	0	
675239	1089	101	23	0	1032	67	0			0	0	
675248	618	7	8	0	603	0	0			0	0	
675332	1038012	33403	31838	0	1026834	54063	0			0	0	
675341	372	0	22	0	350	0	0			0	0	
675659	832	60	18	0	754	0	0			0	0	
675855	126	2	4	0	123	3	0			0	0	
675949	2685	150	26	0	2593	84	0			0	0	
676049	1126	45	22	0	1080	21	0			0	0	
676151	1580	8	27	0	1558	13	0	0	0	0	0	
676160	12098	207	45	0	11938	92	0			0	0	
676245	798	0	1	0	797	0	0			0	0	
676656	51220	1974	593	0	50036	1383	0			0	0	
676955	402	43	18	0	366	25	0	0	0	0	0	
677354	363	0	1	0	414	52	0			0	0	
677448	552	0	1	0	552	1	0	0	0	0	0	
677644	3481	60	13	0	3420	12	0	0	0	0	0	
677756	574	0	31	0	662	119	0			0	0	
678043	584	21	5	0	559	1	0			0	0	
678052	351	9	2	0	341	1	0			0	0	
678070	982	-12	0	0	994	0	0			0	0	
678258	164	0	0	0	164	0	0			0	0	
678454	630	55	15	0	627	67	0			0	0	
678557	446	0	2	0	444	0	0			0	0	
678717	7140	200	10	0	7403	474	1			0	0	
678744	882	0	37	0	845	0	0	0	0	0	0	
678931	418	25	16	0	397	20	0			0	0	
679246	609	0	0	0	611	2	0			0	0	
679451	328	0	0	0	328	0	0	0	0	0	0	
679648	446	0	0	0	459	13	0			0	0	
679826	5370	250	24	0	5143	47	0			0	0	
680055	1062	100	1	0	964	3	0			0	0	
680130	3282	30	37	0	3327	112	0			0	0	
680149	723	0	2	0	724	3	0			0	0	
680354	3289	45	9	0	3247	12	0	0	0	0	0	
680457	600	0	0	0	600	0	0			0	0	
680617	4872	-42	7	0	5071	164	0			0	0	
680747	460	18	2	0	440	0	0	0	0	0	0	
680813	5870	110	170	0	5860	270	0			0	0	
680952	55	0	0	0	56	1	0			0	0	
681043	782	27	4	0	762	11	0			0	0	
681249	209	6	0	0	203	0	0			0	0	
682143	2194	60	18	0	2119	3	0			0	0	
682545	456	4	0	0	453	1	0			0	0	
682563	80269	3794	1772	0	78434	4117	386			0	0	
682611	19750	2100	787	0	18047	1184	0			0	0	
682648	413	25	22	0	516	150	0			0	0	
683449	1635	30	4	0	1606	5	0			0	0	
683814	1500	51	32	0	1500	83	0			0	0	
684325	1572	30	8	0	1534	0	0			0	0	
