"IDRSSD"	RCFD0211	RCFD0213	RCFD0416	RCFD1286	RCFD1287	RCFD1289	RCFD1290	RCFD1291	RCFD1293	RCFD1294	RCFD1295	RCFD1297	RCFD1298	RCFD1698	RCFD1699	RCFD1701	RCFD1702	RCFD1703	RCFD1705	RCFD1706	RCFD1707	RCFD1709	RCFD1710	RCFD1711	RCFD1713	RCFD1714	RCFD1715	RCFD1716	RCFD1717	RCFD1718	RCFD1719	RCFD1731	RCFD1732	RCFD1733	RCFD1734	RCFD1735	RCFD1736	RCFD1737	RCFD1738	RCFD1739	RCFD1741	RCFD1742	RCFD1743	RCFD1744	RCFD1746	RCFD1754	RCFD1771	RCFD1772	RCFD1773	RCFD1778	RCFD8496	RCFD8497	RCFD8498	RCFD8499	RCFD8782	RCFD8783	RCFDA248	RCFDA510	RCFDA511	RCFDA549	RCFDA550	RCFDA551	RCFDA552	RCFDA553	RCFDA554	RCFDA555	RCFDA556	RCFDA557	RCFDA558	RCFDA559	RCFDA560	RCFDA561	RCFDA562	RCFDB838	RCFDB839	RCFDB840	RCFDB841	RCFDB842	RCFDB843	RCFDB844	RCFDB845	RCFDB846	RCFDB847	RCFDB848	RCFDB849	RCFDB850	RCFDB851	RCFDB852	RCFDB853	RCFDB854	RCFDB855	RCFDB856	RCFDB857	RCFDB858	RCFDB859	RCFDB860	RCFDB861	RCON0211	RCON0213	RCON0416	RCON1286	RCON1287	RCON1289	RCON1290	RCON1291	RCON1293	RCON1294	RCON1295	RCON1297	RCON1298	RCON1698	RCON1699	RCON1701	RCON1702	RCON1703	RCON1705	RCON1706	RCON1707	RCON1709	RCON1710	RCON1711	RCON1713	RCON1714	RCON1715	RCON1716	RCON1717	RCON1718	RCON1719	RCON1731	RCON1732	RCON1733	RCON1734	RCON1735	RCON1736	RCON1737	RCON1738	RCON1739	RCON1741	RCON1742	RCON1743	RCON1744	RCON1746	RCON1754	RCON1771	RCON1772	RCON1773	RCON1778	RCON8496	RCON8497	RCON8498	RCON8499	RCON8782	RCON8783	RCONA248	RCONA510	RCONA511	RCONA549	RCONA550	RCONA551	RCONA552	RCONA553	RCONA554	RCONA555	RCONA556	RCONA557	RCONA558	RCONA559	RCONA560	RCONA561	RCONA562	RCONB838	RCONB839	RCONB840	RCONB841	RCONB842	RCONB843	RCONB844	RCONB845	RCONB846	RCONB847	RCONB848	RCONB849	RCONB850	RCONB851	RCONB852	RCONB853	RCONB854	RCONB855	RCONB856	RCONB857	RCONB858	RCONB859	RCONB860	RCONB861	
2678449																																																																																																		100	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2679709																																																																																																		0	0	11192	0	0	0	0	0	0	21627	21702	0	0	0	0	121	124	590	597	314	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	397	420	0	0	0	0	0	0	24393	24504	1119	1145	0	1779	1785	684	704	4350	4253	249	0	0	0	250	148	161	23427	523	155	875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2679839																																																																																																		0	0	14460	2007	2008	0	0	0	0	1511	1541	13187	13272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	258	4345	4428	0	0	0	0	10781	10980	27264	27444	0	9015	9181	7398	7409	0	0	8939	327	327	1087	7525	15972	8687	4627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2682709																																																																																																		0	0	9000	0	0	0	0	0	0	10000	10020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	10020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2683014																																																																																																		0	0	178183	2048	2067	285	285	133	133	16992	16785	6000	6029	1715	1751	0	0	101193	100411	91039	90354	0	0	0	0	10908	10769	14225	14177	0	0	0	0	3759	3781	8083	8007	8000	7848	10000	9995	0	0	0	0	142852	141630	131528	130762	0	0	0	0	0	1999	1948	2000	0	0	12413	0	2068	11015	16005	2000	95554	2758	0	0	88397	6553	20630	16221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2683555																																																																																																		0	0	4656	0	0	0	0	0	0	0	0	4502	4497	0	0	750	752	0	0	20	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10967	10981	0	0	0	5695	5711	2495	2460	0	0	0	0	0	0	854	4997	4357	0	752	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2684132																																																																																																		0	0	0	0	0	0	0	0	0	0	0	83049	82722	0	0	0	0	0	0	10111	10220	0	0	0	0	0	0	3939	3929	0	0	0	0	0	0	0	0	0	0	6301	6571	0	0	0	0	0	0	103400	103442	0	0	0	0	0	0	0	54	0	0	0	0	27106	32018	30169	0	0	54	209	668	4196	5093	0	3929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2684552																																																																																																		0	0	0	0	0	0	0	0	0	1489	1506	0	0	0	0	0	0	474	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1963	1982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1489	0	0	0	0	0	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2684945																																																																																																		0	0	1779	0	0	0	0	0	0	0	0	5527	5583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3287	3282	0	0	0	0	0	0	8814	8865	0	0	0	0	0	0	0	1793	0	0	1816	1540	2036	1496	1975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2685241																																																																																																		0	0	1021	10091	10161	0	0	0	0	0	0	18940	19157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1639	1680	29962	30249	0	1639	1680	0	0	0	0	11516	931	931	1056	10460	19127	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2685504																																																																																																		0	0	20902	0	0	0	0	0	0	0	0	9996	9970	0	0	864	900	0	0	9654	9536	0	0	0	0	0	0	10529	10482	0	0	0	0	0	0	282	282	0	0	5097	4966	0	0	0	0	0	0	50587	50105	0	0	0	11165	10931	4993	4964	1534	3000	3038	1184	525	54	3442	16436	4226	0	0	0	0	3511	6925	9502	1262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
