"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	
930965																															0	27461	0	39565	337157	0	2886	2886	0	0	460421	0	460422	18451	481	0	0	887964	0	0	0	0	22349	1016	0	1010	338116	0	1016	0	0	0	0	373769	70373	228795	83163	104856	16267	0	0	0	0	0	0	0	0	525	0	0	
931038																															0	1456	12997	244	13413		32		8229	488			6083	0	4472	0	2	70770	0	111			0	20196	994	15606	15615	897	1119	6237	8759	2409	606	10754	8433	12938	17131	1058	42								0	2541		0	
931047																															0	844	7226	0	25129		82		5468	0			8162	0	9753	0	0	78126	0	0			0	20086	1376	16472	26353	516	1249	3448	3306	11339	109	8020	16649	10803	11651	7770	1519								0	0		0	
931159																															0	0	4503	0	1622		0		7893	0			1464	13	1134	0	229	18724	0	0			0	1739	127	637	4259	98	217	117	435	692	180	5989	3109	3565	2497	1825	0								0	0		0	
931270																															0	0	0	1445	1266		0		0	0			2	1646	174	0	0	42668	0	0			0	38076	59	6688	189	174	2002	3083	1546	8491	22780	1922	757	929	726	59	199								0	0		0	
931319																															0	0	0	0	0	207075	207075	0	0	0	143766	0	143766	0	0	0	0	350841	0	0	0	0	0	0	0	0	350841	0	0	0	0	0	0	350841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
931355																															0	256	23	0	1152		243		616	0			6756	0	6996	0	0	27938	0	0			0	11543	347	0	12924	1909	2457	2745	4234	167	22	4980	3713	4132	3416	75	0								0	6		0	
931458																															0	0	221	0	242		4		845	0			838	0	507	0	0	5378	23	0			0	2694	50	1713	1710	48	559	750	617	115	605	320	1106	541	740	0	0								0	0		0	
931636	35305	104	0	0	3760	128	663	0	0	39864	96	0	0	0	3646	13271	4999	6799	6420	2074	0	0	0	0	0	0	0	0	0	0	0	1706	0	10613	16865	0	104	104	0		3760	128	3888	0	663	0	0	39864	96	0				6121	0	606		542	430	0	87	5060	0							0			0	0			0	0			
931654																															0	2108	848	0	23134		398		0	0			21318	0	16509	0	889	82342	0	167			0	15716	1159	3192	42236	736	3627	3812	3309	4035	27	21145	17070	20225	7889	240	0								0	96		0	
931766																															0	149749	489	29538	208480	46	7161	7115	0	0	166892	73522	240414	22181	5289	0	0	704166	2346	0	0	0	51480	24271	11241	21491	312786	20518	1108	737	1181	642	0	461877	57406	49896	94890	13828	718	0	0	0	0	0	0	0	0	7699	3711	0	
931944																															0	100	5210	1286	2522		0		8197	0			1922	182	2619	0	30	28153	0	0			0	5947	88	89	4925	79	183	803	3268	1382	29	6402	2916	2373	5132	4580	587								6	44		0	
932062																															0	10346	213	35	16426		13		18	0			4625	0	2133	0	413	47167	0	0			0	11720	1225	2927	14994	2419	1138	2217	4180	1676	0	9650	5269	6697	10087	3106	478								0	0		0	
932277																															0	285693	1504	146907	290233	0	1005	1005	0	0	43147	0	43147	85386	97390	0	4850	1631617	0	0	0	0	0	614370	58916	135833	108249	23089	32441	34925	73468	177136	266190	375181	82065	98809	282102	115259	57971	0	0	0	0	0	0	0	0	2216	0	0	
932633																															0	1517	6993	319	1575		0		5155	0			3064	0	5234	0	0	27447	0	0			0	3418	172	0	8635	30	317	887	2063	121	0	4318	4120	6886	6919	1282	0								0	0		0	
932642																															0	506	1096	29	1590		6		1070	64			2918	0	4598	0	0	21335	0	0			0	9181	341	1718	9405	293	3241	4976	431	144	50	3134	2737	4644	1307	332	0								0	0		0	
932745																															0	20308	0	759	52212		0		0	0			8031	9750	3786	0	0	134980	0	0			141	27070	11548	6278	58478	4409	6018	13398	957	1189	798	39073	19405	31748	16269	114	217								0	1516			
932978																															0	228515	0	59089	321398	0	0	0	0	0	383972	0	383972	33130	178574	0	0	1527427	1021	35799	35799	0	0	190688	97283	51490	85780	10145	27468	40724	28353	51697	31316	693869	50610	133899	97285	190318	155531	0	0	0	0	0	0	0	0	0	0	0	
933023																															0	13901	8742	0	30397		61		2606	0			12203	7404	6172	0	45	157624	464	0			95	73772	1933	39501	31359	1644	6863	21146	25598	15641	2854	30865	10071	18796	15500	8922	0								0	852		0	
933041																															0	1344	43316	0	9177		238		35231	0			5882	111	3414	0	703	115059	0	66			0	13460	2117	877	36489	553	1324	2587	5332	3664	0	38992	5743	14290	26816	15185	200								0	0		0	
933135																															0	660	2774	0	3890		0		3479	0			4822	0	5290	0	221	23383	7	0			0	2204	25	0	7830	0	135	535	1283	251	0	3630	4077	5410	6564	1366	0								0	25		0	
933256																															0	17090	11745	11208	90153	3669	7205	3536	28880	0	104440	0	104440	4281	15108	0	81	354597	0	0	0	0	0	37094	21354	10741	77593	6744	4234	3558	10510	11687	362	119862	34307	51009	85468	26231	359	0	0	0	0	0	0	0	2719	3239	0	0	
933340																															130	0	2841	0	1524		1		2807	0			1472	0	3563	0	739	36932	0	0			0	22523	1233	7389	4782	138	328	4951	1060	5447	10581	4903	748	3638	3673	1399	44								99	0		0	
933377																															0	7880	184	167	9742		0		0	0			2061	19555	2100	0	0	174198	0	0			0	126888	5606	19816	9985	963	2643	7550	13930	47290	54451	24870	5733	2258	10185	4252	12								0	15		0	
933621																															0	20616	0	3436	278661	0	1524	1524	0	0	24820	0	24820	27570	15784	0	195	569806	0	0	0	0	0	183437	12096	19345	109234	11364	23410	35545	101332	8366	3326	45867	45343	89777	161243	44097	0	0	0	0	0	0	0	0	0	1667	0	0	
933863																															9993	59503	279	9481	93660	120	943	823	0	0	100475	0	100475	6770	3724	0	0	291872	494	0	0	0	0	7086	0	0	92221	3887	415	596	234	1954	0	174013	25387	2343	5731	68983	4892	9993	0	9993	0	0	0	0	0	452	0	0	
933957																															0	239148	39385	41973	472162	2717	5352	2635	49113	0	251132	0	251132	253244	43967	0	22912	1691556	366	719	719	0	10525	223791	43660	84162	481365	56292	23619	17151	27011	93759	3834	690432	96413	171197	165069	59234	274026	0	0	0	0	0	0	0	0	5364	0	0	
933966																															0	177426	99819	25031	870295	0	2944	2944	233938	0	178772	0	178772	19676	28475	0	631	1762300	7392	66362	66362	0	6192	62607	3716	16511	561926	11649	1985	2749	1819	2906	41499	701160	191601	141892	158946	484011	28927	0	0	0	0	0	0	0	0	0	0	0	
933975																															0	57309	4888	3311	164108	0	187	187	891	0	43333	0	43333	15523	4946	0	9872	325187	1478	0	0	0	0	18234	3199	5350	118753	6911	544	585	766	2819	6533	220192	14173	32780	28073	9066	0	0	0	0	0	0	0	0	0	864	0	0	
934075																															0	11	13027	0	1765		10		11148	1406			905	0	1231	0	14	33696	0	0			0	4904	345	3605	9071	472	780	1817	891	469	475	12824	5109	5205	3173	1250	731								336	0		0	
934114																															0	7305	4598	3179	46977		19		2449	0			12607	5294	8993	0	1100	128756	0	0			0	35112	550	7692	39488	368	3931	13043	5658	11192	325	24593	11162	23854	16725	10215	4161								566	7		0	
934253																															0	89236	3838	13904	192327	0	15440	15440	2513	0	190432	2229	192661	0	76637	0	2679	691425	0	0	0	0	0	90946	10601	50900	214093	10676	20199	9856	14881	33559	1156	249670	82779	96122	94667	68252	7853	0	0	0	0	0	0	0	0	643	0	0	
934329	1223127	303868	1000	0	1617899	188905	540147	8264	5498	4456417	0	394668	120739	28421	1634999	2797750	616859	185798	84357	252105	196860	12	27493	0	0	15607	0	9190	0	0	27763	665772	0	26138	147240	60927	303868	242941	1000		1602214	12161	1614375	79042	540147	8264	5498	4205403	0	472171				275415	29520	267116		270188	1141	822	2151	349	183							27505			0	258			0	9190			
934646																															0	0	591	0	26		0		2804	0			525	0	246	0	86	4535	0	0			0	257	0	0	3101	0	0	21	40	196	0	1750	1351	573	412	192	0								0	0		0	
934954																															0	2569	11080	26	13645		134		8191	0			6744	1796	9455	0	968	82414	1	0			36	23700	3299	19560	29738	4067	10760	4542	1756	1810	619	29910	10245	7492	6378	3907	378								255	553		0	
935111																															0	2824	546	28	17295		1996		0	0			15035	1748	3324	0	2325	115654	0	0			0	57574	12831	8014	8271	1980	6510	364	729	19373	28463	7318	5649	8737	14282	20537	1245								126	2		0	
935250																															0	37850	0	3652	100875	0	3256	3256	0	125	42927	0	42927	14626	49690	0	0	290915	0	0	0	0	0	37943	96	26460	51971	13130	5006	13248	1264	4935	193	149657	20761	52482	27948	1394	9	0	0	0	0	0	0	0	0	0	0	0	
935308																															0	55	124	165361	18021	0	1166	1166	0	0	14021	0	14021	3	740	0	0	300900	0	0	0	0	0	100274	231	30034	11954	8326	16922	4050	2200	1828	66344	59267	57227	73466	3822	2740	986	0	0	0	0	0	0	0	884	20	0	0	
