"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
1820979																																						0	180	0	0	3029	0	90	0	100	3399	0	532	532	0	0	0	0	0	2867	1150	3399	0	0	472	0	1150	0	0	0	1	1231	0	0	0	95	0	0	0	0	2867	
1821976																																						1883	15426	2172	1295	5540	0	6617	9620	27612	603409	538872	15041	553913	0	8697	0	0	0	49496	5748	603409	0	0	34936	0	8720	2419	29807	509065	2	1231	0	482352	473655	92	57170	0	0	0	49496	
1826382																																						39	442	0	0	1010	0	34	359	4880	56908	43469	382	49101	0	3034	0	5250	0	7807	59	56908	0	0	5159	0	2571	0	150	43319	1	1231	0	51078	48044	18	2100	0	0	0	7807	
1830035	1469817	1565502	5313751	7751280	309761	15685	479040	206	12489623	135720314	3169926	102436706	40796	12328415	8258289	40968929	1950000	33242812	940600	135720314	0	0	-10592236	0	43573744	0	2	0	110395775	98067360	-679296	0	0	33283608	5115130	328883	4786247										123516942	3564721		90233334				34663515					0	0					3564721	0		1231					0	0	47668000	0		
1836701																																						10506	2937	0	0	3368	0	2895	686	3525	171543	145038	477	159219	0	1848	0	10000	2124	12324	1446	171543	0	0	3585	0	7269	1328	16252	128786	1	1231	0	146446	144598	24	1700	0	0	1580	12324	
1842065																																						77763	80656	3446	0	1258748	0	22872	15367	188017	8796815	6669020	133337	7991654	93	101636	51112	745972	120000	805068	1769	8796815	0	0	154028	0	618491	776	986751	5682269	1	1231	0	7155598	7053962	30780	44096	0	323325	0	805161	
1852569																																						3317	11172	1005	0	12486	0	2382	0	1632	162306	143264	1483	144747	0	1029	0	0	0	17559	8578	162306	0	0	8923	0	4	0	23834	119430	1	1231	0	119881	118852	54	11460	0	0	0	17559	
1857377																																						0	917	0	0	9424	0	782	143	1393	42043	34888	282	36211	0	490	2282	0	0	5832	250	42043	0	0	345	0	5169	0	5064	29824	2	1231	0	24400	23910	68	3192	0	0	1041	5832	
1861927																																						62279	7677	75	1237	46592	0	22053	7366	19496	740310	607742	9128	675903	0	9279	0	54173	0	64407	4283	740310	0	0	51757	0	8242	12591	66569	541173	2	1231	0	567323	558044	125	2900	0	0	4860	64407	
1862719																																						37167	17662	97	0	148580	804	27947	5410	12538	881699	705215	6707	809096	0	8778	5733	48078	0	72603	2346	881699	0	0	10169	29586	29048	0	131072	574143	1	1231	0	634539	625761	1454	0	0	0	49096	72603	
1863097																																						22026	8292	0	37863	60676	0	8659	200	12041	376437	301118	1897	344976	0	5887	0	19756	0	31461	1022	376437	0	0	20126	0	9749	2061	20132	280986	1	1231	0	230506	224619	564	0	0	0	22205	31461	
