"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG167	RCONG168	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	AMT NONINT ACTS GE 250K	NBR NONINT ACT GE 250K	PB/PSA FDIC CERTIFICATE NUMBER	
2356091								0	7865		1225	3	89968		58742	171	157800	0			2144	5		
2358769								0	12024		0	0	421684		262816	849	696524	0			33112	52		
2360904								0	4343		0	0	92616		43215	156	140174	0			1474	4		
2361901								0	1328		0	0	42345		77692	274	121365	0			6485	10		
2362074								0	17653		0	0	117871		80844	480	216368	0			10082	36		
2362458							12426000	0	0		0	0	1337000		12455000	288	13792000	0	12595000	0	1199000	194		
2370994								0	12339		569	2	170942		72248	326	256098	0			5073	11		
2371508								0	3538		0	0	31536		16714	117	51788	0			251	1		
2371816								0	5551		302	1	89363		255881	796	351097	0			5096	9	NO	
2372774							242117	0	35002		840	3	666070		265945	1215	967857	0	955315	0	34013	36		
2374901								0	2260		255	1	101567		89668	418	193750	0	191659	0	6352	16		
2376464								0	19853		1102	4	182524		147598	739	351077	0	305689	0	12452	17		
2380470								0	2424		0	0	46024		27818	158	76266	0			3960	8		
2382308								0	0		0	0	87089		44094	218	131183	0						
2385514								0	12972		860	3	177311		200778	683	391921	0			14884	27		
2388784								0	14921		2129	6	109284		91803	465	218137	0			0	0		
2389857								0	1229		0	0	97303		12317	68	110849	0			0	0		
2390929								0	5377		508	2	142937		275948	785	424770	0	429750	0	15190	33		
2391252								0	14910		253	1	340096		245177	1278	600436	0			14605	21		
2391494								0	5931		406	1	92618		104851	328	203806	0			4409	10		
2391588								0	1273		0	0	27264		12283	78	40820	0			337	1		
