"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
297453	20090331	FIRSTBANK OF LITTLETON	26295	LITTLETON	CO	80126	
297547	20090331	ROWLEY SAVINGS BANK	9102	ROWLEY	IA	523290100	
297631	20090331	The First State Bank of Arcadia	21163	Arcadia	FL	34265	
297761	20090331	Monterey County Bank	22460	Monterey	CA	93942	
298049	20090331	IOWA STATE BANK	10497	SAC CITY	IA	505830486	
298218	20090331	Watertown Savings Bank	15990	Watertown	NY	13601	
298245	20090331	CITY NATIONAL BANK	3814	METROPOLIS	IL	62960	
299046	20090331	Boone County National Bank	4536	Columbia	MO	652059983	
299251	20090331	First State Bank of Ashby	08196	Ashby	MN	56309	
299644	20090331	Bank Iowa	5801	Denison	IA	51442	
299653	20090331	Atwater State Bank	1396	Atwater	MN	562090755	
299868	20090331	Community Commerce Bank	26363	Claremont	CA	91711	
300009	20090331	Passumpsic Savings Bank	14134	St. Johnsbury	VT	5819	
300036	20090331	HomeStar Bank	16375	Manteno	IL	60950	
300063	20090331	OMNI BANK N.A.	23086	ALHAMBRA	CA	91801	
300157	20090331	Valley Exchange Bank	9947	Lennox	SD	57039	
300250	20090331	COMMUNITY BANK, N.A.	12238	SUMMERSVILLE	MO	65571	
300353	20090331	Shamrock Bank, N.A.	4236	COALGATE	OK	745380267	
300456	20090331	PIQUA STATE BANK	18089	PIQUA	KS	66761	
300531	20090331	The Coastal Bank of Georgia	16911	Brunswick	GA	31520	
300933	20090331	PLANTERSFIRST	9064	CORDELE	GA	310100879	
300942	20090331	Pioneer Bank	19540	Sergeant Bluff	IA	51054	
300960	20090331	Bank of Idaho	26403	Idaho Falls	ID	83403	
301640	20090331	Brown County State Bank	11721	Mount Sterling	IL	62353	
301800	20090331	Ulster Savings Bank	15970	Kingston	NY	12401	
302030	20090331	Bank of Belle Glade	18930	Belle Glade	FL	33430	
302133	20090331	camp grove state bank	10471	camp grove	IL	61424	
302450	20090331	First National Bank	15616	Idabel	OK	74745	
302553	20090331	THE PLAINS STATE BANK	18118	PLAINS	KS	67869	
302656	20090331	MINNWEST BANK, M.V.	16958	REDWOOD FALLS	MN	56283	
302665	20090331	Citizens National Bank	23450	Wills Point	TX	75169	
303550	20090331	KleinBank	1414	Big Lake	MN	55309	
303653	20090331	FIRST STATE BANK OF BURNET	11557	BURNET	TX	78611	
303701	20090331	Wells River Savings Bank	14136	Wells River	VT	050810645	
303747	20090331	The First Bank and Trust Company of Murphysboro	3818	Murphysboro	IL	629660219	
303952	20090331	Farmers Bank of Northern Missouri N.A.	4539	Unionville	MO	63565	
304155	20090331	BURTON STATE BANK	13669	BURTON	TX	77835	
304173	20090331	Marquette Savings Bank	30544	Erie	PA	165011486	
304520	20090331	The Chesapeake Bank & Trust Co.	26847	Chestertown	MD	21620	
304762	20090331	The Security State Bank	18677	Winters	TX	79567	
304913	20090331	Deutsche Bank Trust Company Delaware	26392	Wilmington	DE	19805	
305059	20090331	THE FIRST STATE BANK	11175	Abernathy	TX	793110150	
305152	20090331	First National Bank in Pratt	4760	Pratt	KS	67124	
305237	20090331	THE GEO. D. WARTHEN BANK	2154	SANDERSVILLE	GA	31082	
305433	20090331	ESCAMBIA COUNTY BANK	1746	FLOMATON	AL	36441	
305442	20090331	THE NEW WASHINGTON STATE BANK	13305	NEW WASHINGTON	IN	471620010	
305648	20090331	The City National Bank of Shenandoah	14051	Shenandoah	IA	516010279	
305750	20090331	Fort Hood National Bank	19640	Killeen	TX	76540	
306056	20090331	The First National Bank of Fleming	3018	Fleming	CO	80728	
306140	20090331	Security State Bank	15738	Waverly	IA	50677	
306159	20090331	American National Bank of Minnesota	26499	Brainerd	MN	56401	
306337	20090331	Casey State Bank	3614	Casey	IL	62420	
306739	20090331	The State Bank of Blue Mound	5718	Blue Mound	IL	62513	
306908	20090331	The First National Bank Of Jeffersonville	7123	Jeffersonville	NY	12748	
307062	20090331	The Farmers National Bank of Buhl	2850	Buhl	ID	83316	
307334	20090331	Southern Bank	16288	Sardis	GA	30830	
307361	20090331	AMERICAN BANK, NATIONAL ASSOCIATION	23886	WACO	TX	76702	
307679	20090331	Bank of the Pacific	23041	Aberdeen	WA	98520	
307745	20090331	First National Bank	4503	Sioux Center	IA	51250	
307932	20090331	First National Bank of Catlin	3615	Catlin	IL	61817	
307950	20090331	Heritage State Bank	12617	Nevada	MO	64772	
308256	20090331	CenBank	8848	Buffalo Lake	MN	55314	
308340	20090331	Bath State Bank	8035	Bath	IN	47010	
308443	20090331	The Bank of Fayetteville	26975	Fayetteville	AR	72701	
308649	20090331	Lafayette Bank and Trust Company, N.A.	16512	Lafayette	IN	479021130	
308836	20090331	Bank of Bourbonnais	21635	Bourbonnais	IL	609142513	
