"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
836843								25378	12108	0	0	0	7710	948	0	948	4612	
836852								9738	1849	0	0	0	877	2470	0	2470	4542	
837000								26357	548	0	0	0	7484	14658	0	14658	3667	
837037								19186										
837046								840										
837149								1601										
837158								9714										
837260	1144496	150375	8	259	0	29419	964435	1144496	121819	267			28556	29419			964435	
837354								11049										
837448								1309										
837541								6786										
837550								5172										
837653								942										
837840								3215										
837952								1392										
838155								1964										
838632	73107	714	0	2	0	700	71691	73107	34	2			680	700			71691	
839068								30299	54	0	0	0	3504	20755	0	20755	5986	
839246								3583										
839255								22253	3125	0	0	0	6487	5444	0	5444	7197	
839817								1399										
840019								4282	1	0	0	0	2339	1942	0	1942	0	
840251								7714										
840354								3913										
840363								92339	6741	0	0	0	4051	2095	0	2095	79452	
840578								3063										
840747								20177										
841052								1854										
841436								25709										
841472								12421										
841539								29565										
841753								24564										
841838								4467										
841865								10557										
842031								8629										
842116								5711										
842358								3401										
842376								9084	13	0	0	0	667	8025	0	8025	379	
842460								148671	0	78	0	78	18237	15149	0	15149	115207	
842853								4118										
843159								1719										
843542								6620										
843935								999	43	0	0	0	573	383	383	0	0	
843953								5259										
844053								31559	465	0	0	0	3388	12492	0	12492	15214	
844138								2679										
844343								69134	519	0	0	0	13378	24771	0	24771	30466	
844455								2518										
844567								12584	693	0	0	0	5433	5557	0	5557	901	
845247								30250	18	0	0	0	4886	9446	0	9446	15900	
845443								4733										
845452								2609										
846132								1994										
846356								40706	16	0	0	0	4217	7863	0	7863	28610	
846619								16928	2761	0	0	0	4301	9010	0	9010	856	
846945								10319										
847157								14333	2111	0	0	0	2208	10014	0	10014	0	
847540								722										
848248								4168	3	0	0	0	781	2113	0	2113	1271	
848453								1198										
848752								2021										
849348								2945										
849357								12315										
849432								6207										
849450								31217										
849647								864										
849665								51394										
849777								35558	0	0	0	0	806	34752	0	34752	0	
849834								54880	1589	0	0	0	1566	553	0	553	51172	
850036								78214	21157	2967	0	2967	13527	4136	0	4136	36427	
850054								5247										
850456								1625										
850616								8227										
851060								4172										
851239								16586	0	3108	0	3108	5035	8443	0	8443	0	
851631								25578										
852133								3741										
852218	57130000	13977000	971000	27896000	76000	1311000	12899000	28678000	8240000	894000			5706000	939000			12899000	
852254								3279										
852263								36277	4960	0	0	0	2457	1229	0	1229	27631	
852320	2144524	1131635	8173	9112	45734	836701	113169	2132409	454631	9112			677004	878493			113169	
852357								1403										
852544								67099	7	0	0	0	13000	37681	0	37681	16411	
852704								18507										
852713								12031	4039	0	0	0	2934	1056	0	1056	4002	
852973								14217										
853112								30788	3104	0	0	0	2379	447	0	447	24858	
853158								3235										
853251								9890										
853372								68933	0	0	0	0	1741	14939	0	14939	52253	
853644								14378	3	0	0	0	617	3687	0	3687	10071	
853747								10515										
853804								22955	467	0	0	0	1860	3968	0	3968	16660	
853934								9097										
853952								252023	35076	0	0	0	4739	46018	0	46018	166190	
853970								12943										
854052								3967										
854173								5126										
854258								1025										
854351								11748										
854418								5836										
854454								49119	3017	0	0	0	1395	42726	0	42726	1981	
854520								6571	1382	0	0	0	3160	544	0	544	1485	
854548								3888										
