"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
13037																																							453	3435	1225	0	36986	0	4641	595	3072	164209	132987	636	133623	0	2273	12908	0	0	30586	900	164209	0	0	12056	0	0	17314	0	25181	107806			0	101868	99595	316	1299	0	0	0	30586	
13103																																							251	13373	4424	930	199200	0	14441	154	32009	1155501	836105	13995	995488	733	9158	4183	134463	0	159280	500	1155501	0	0	124073	0	0	34019	391	33212	802893			0	894892	885734	688	411	0	0	10925	160013	
13251																																							1282	2058	0	0	6235	0	85	169	832	36106	32030	129	32159	0	542	0	0	0	3948	25	36107	0	0	2084	0	0	1725	0	3697	28332			0	20977	20435	114	5010	0	0	0	3948	
13457																																							850	437	0	0	3671	0	16	0	1664	19259	13596	31	13627	0	113	0	0	0	5632	50	19259	0	0	5504	0	0	50	0	1996	11600			0	11329	11216	28	1405	0	0	0	5632	
14052																																							2722	551	0	0	8465	0	2147	525	1986	66416	58599	288	59887	0	764	0	1000	0	6529	1000	66416	0	0	3814	0	0	1500	0	7519	51080			0	49387	48623	215	1397	0	0	0	6529	
14155																																							0	2124	0	0	6261	0	6216	1268	3982	114393	87549	803	101352	0	1680	0	10800	0	13041	176	114393	0	0	12556	0	0	160	0	25086	62463			0	96222	94542	149	0	0	2200	0	13041	
14454																																							2604	1554	0	2108	7317	0	425	0	350	27056	23071	128	24199	0	485	696	1000	0	2857	75	27056	0	0	-1569	0	0	5117	0	2772	20299			0	12487	12002	-766	0	0	0	0	2857	
14650																																							2369	1548	0	3149	31	0	272	0	1600	25476	22469	343	22812	0	225	95	0	0	2664	200	25476	0	0	2163	0	0	300	0	6024	16445			0	15968	15743	1	669	0	0	0	2664	
14753																																							0	2743	0	7430	11622	0	138	0	654	35411	31470	493	31963	0	516	0	0	0	3448	300	35411	0	0	750	0	977	1277	0	6666	24804			0	12238	11722	144	1102	0	0	0	3448	
14865																																							144	4271	664	0	26998	0	6075	971	7451	230758	198017	1123	209140	0	3875	0	10000	0	21618	730	230758	0	0	9956	0	0	10137	0	33907	164110			0	183599	179724	795	4460	0	0	0	21618	
14977																																							10425	405	0	73	6634	0	432	0	858	44078	36463	207	36864	0	328	0	194	0	7214	0	44078	0	0	7152	0	0	0	0	3021	33442			0	25579	25251	62	0	0	0	0	7214	
15536																																							125779	44782	646	0	235831	0	76578	202892	277507	4680881	3716626	34361	4311987	0	76588	35350	561000	0	368894	10593	4680881	0	0	95406	0	0	271830	5963	221728	3494898			0	3752141	3675553	-8935	0	0	0	0	368894	
16337																																							1002	8833	0	0	77222	0	19963	10430	24702	474643	407211	3505	442034	0	11450	0	29000	0	32609	350	474643	0	0	22305	0	0	8500	0	46998	360213			0	339327	327877	1454	4614	0	0	2318	32609	
16458																																							22186	1452	0	19970	50011	0	10026	0	2495	248360	214716	1355	216325	0	1909	0	254	0	32035	941	248360	0	0	27786	0	0	2059	345	14319	200397			0	143317	141408	1249	467	0	0	0	32035	
16551																																							436	5319	0	219	16478	0	2915	2370	6871	163505	122693	301	145844	682	2219	2469	22850	0	16979	175	163505	0	0	9893	0	0	6576	130	15193	107500			0	127284	125065	335	1233	0	0	0	17661	
16748																																							2011	1676	324	6285	12266	0	717	26	2067	53658	44458	518	47976	0	445	0	3000	0	5682	400	53658	0	0	2409	0	0	2600	642	8791	35668			0	27099	26654	273	990	0	0	0	5682	
16944																																							0	5862	0	0	12584	0	121	110	288	34193	29715	299	30014	0	199	0	0	0	4179	1000	34193	0	0	1523	0	0	1500	0	3874	25841			0	15427	15228	156	0	0	0	0	4179	
