"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF588	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF600	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCON1288	RCON1420	RCON1460	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF588	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF600	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RIADG377	
2655495																																																										0	69264	1531	6370	6370	0	7821	0	31088	0	31088	22638	32333	0	0	366815	0	0	1519	65516	328	55686	100014	2961	13762	20232	19962	5970	0	109023	29318	41279	102499	13967	0	0	0	0	0	0	0	0	0	1129	0		0	0	768	26899	57949	43181	0	0	0			242	1881																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2657855																																																										0	782	893		40		0	13			4671	0	3309	0	265	60834	0	0	0	27174	1053	0	14738	1108	2339	3060	4159	16494	0	8594	4423	8361	9668	2035	579								0	0			0	0	3177	0	19470	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2661861																																																										0	152	2100		191		508	0			16788	1374	828	0	0	78501	158	0	254	11819	1639	1353	15657	509	1042	1527	1646	1419	5417	16675	10771	8003	6201	10183	14197								0	684			0	0	2507	9493	19994	10582			0			177	0																									0	0	0	0	0	0	0	0	0	0	0	0		11849		
2666400																																																										0	0	0	5998	13741	7743	0	0	38327	0	38327	17371	527404	0	0	660357	0	0	0	11162	444	0	82397	1932	2022	1519	4942	600	0	30148	54407	80967	278277	192975	10730	0	0	0	0	0	0	0	0	6	0		0	0	20310	1340	11132	19120	0	0	0			0	215																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2667920																																																										0	0	0		0		0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0			0	0	0	0	0	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2667939																																																										0	12134	240		0		11897	0			6419	261	1704	0	0	59956	0	2978	0	8593	22	0	19680	0	0	0	246	645	7650	8046	11654	5259	15205	4422	3809								0	0			0	0	1410	3234	10096	968			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2667957																																																										0	13163	3994		529		13678	1765			56605	658	2422	0	0	221901	0	0	1070	17126	2102	0	70916	965	2059	9144	1139	2277	1419	58167	33553	51061	30638	27522	3834								0	83			0	0	1578	26043	28450	55470			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2668598																																																										0	1188	2141		11		0	0			47505	23010	3086	0	0	182872	0	0	0	61772	4720	32154	25613	3047	6073	11068	15002	6189	19540	35863	8650	24949	28645	19251	851								737	264			0	0	1017	9847	13261	14313			0			28	508																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2671093																																																										0	0	3586		14		0	0			7329	6331	628	0	0	79206	0	0	0	3319	1215	2112	13233	0	1850	357	1112	0	0	10289	9550	16509	18926	15789	988								0	83			0	0	969	2835	27886	25011			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		46735		
2671105																																																										0	12	2690		40		2712	0			7945	3214	302	0	0	79970	0	0	0	4172	74	1098	15384	1458	408	1534	0	772	0	12913	6320	14491	14944	26966	0								0	1200			0	0	1832	3773	26920	25084			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
