"IDRSSD"	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	
925439	15284	0	0	0	0	0	9169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	538	0	0	0	17	0	0	39	4518	0	0	0	0	0	0	0	0	0	0	0	2927	6242	0	0	0	0	0	304	0	0	0	0	-71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4670	605	2927	6546	0	121	1464	6546	8131	0	50	50	1748	0	0	
925653	29404	0	0	0	0	0	15555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2408	0	0	0	0	0	0	0	-61	2953	700	0	90	0	0	0	0	0	0	0	0	3284	12271	0	0	0	0	0	2013	0	0	0	0	-778	0	0	0	0	0	65	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	32	0	0	0	5361	4350	3284	14471	0	870	1642	14471	16983	0	3650	3650	2192	0	0	
925710	3007521	0	0	0	0	0	1959703	0	0	0	0	0	0	0	0	0	0	0	135947	0	0	0	0	0	0	26994	50319	0	0	0	35306	0	0	-9832	65585	691217	4015	2366	0	0	0	2073	0	0	1280	11	73733	1884679	0	0	0	0	0	270991	135947	8319	9229	1483	103804	33203	0	0	0	33203	322	0	0	0	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88068	0	0	0	88068	0	2549	3356	102178	813081	84660	2124651	0	162616	42330	2124651	2329597	0	24450	24450	222883	0	0	
925840	1477954	0	0	0	0	0	992780	0	0	0	25877	25877	0	0	0	25877	0	0	39153	0	0	0	0	0	0	10906	229623	0	0	0	275	0	0	-1472	3237	238773	43302	35114	0	0	0	4369	0	0	0	2356	86621	903803	0	0	0	0	0	120195	39153	4107	24285	0	24383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	18250	497733	134408	1017444	0	99547	67204	1017444	1184195	0	2421	2421	123608	0	0	
925859	25710	0	0	0	0	0	20101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1284	50	0	0	99	2932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2013	5202	12886	0	0	0	0	0	784	0	0	27	0	-188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	195	0	0	0	1383	5022	5202	13838	0	1004	2601	13838	17443	0	0	0	1991	0	0	
926155	74856	0	0	0	0	0	52267	0	0	0	174	174	0	0	0	174	0	0	612	0	0	0	0	0	0	998	6269	0	0	0	96	131	0	-72	0	9055	0	0	0	0	0	0	0	0	0	7034	14281	30952	0	0	0	0	0	3833	612	0	326	0	-282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	45	0	0	0	998	27730	14412	34066	0	5546	7206	34066	46818	0	4950	4950	6233	0	0	
926203	571080	0	0	0	0	0	288714	0	0	0	731	731	0	0	0	731	0	0	286	0	0	0	0	0	0	1932	8308	0	0	17798	119237	1247	0	-1372	0	113503	0	1481	0	0	0	0	0	0	0	0	69727	218987	0	0	0	0	0	24855	0	105	2919	292	-4513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19835	246362	71266	242738	0	49272	35633	242738	327643	0	2395	2395	35571	0	0	
926342	18871	0	0	0	0	0	6371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4921	350	0	0	0	2733	535	0	-2	0	250	0	0	0	0	0	0	0	0	0	0	1859	4512	0	0	0	0	0	150	0	0	0	5	-166	0	0	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4921	6224	2399	4666	0	1245	1200	4666	7111	0	2891	2891	4871	0	0	
926360	138701	0	0	0	0	0	88600	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	1657	10182	0	0	0	258	0	0	10	2299	10580	7125	0	0	0	0	0	0	0	0	0	5707	82893	0	0	0	0	0	6104	186	0	0	0	-981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2938	0	0	0	2938	0	0	0	3956	42215	12832	91749	0	8443	6416	91749	106608	0	21195	21195	12720	0	0	
926632	150462	0	0	0	0	0	94584	0	0	0	281	281	0	0	0	281	0	0	0	0	0	0	0	0	0	1308	3620	0	0	0	1059	0	0	-16	4002	27246	1396	0	0	0	0	568	0	0	255	0	27810	66519	0	0	0	0	0	6023	0	52	686	0	-1418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	145	0	0	0	145	10188	0	0	3210	6978	0	0	0	5617	42168	32984	79208	0	8434	16492	79208	104134	0	9557	9557	10810	0	0	
