"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
625355																																							3473	1940	0	4654	34392	0	2056	346	0	2269	139144	122297	0	462	124819	0	1492	0	0	0	14325	200	139144	0	0	13223	0	1000	120	17610	104687		0	91386	89894	-98	0	0	2060	0	
625449																																							0	1438	2003	0	49321	0	1509	0	0	2047	94121	56002	0	1325	79745	0	405	2788	22418	0	14376	200	94121	0	0	755	0	13832	0	6417	49585		0	31606	31201	-411	3814	0	0	0	
625654																																							213	19902	0	0	111300	0	9197	0	0	15237	457839	361810	0	6285	425897	334	4858	500	20000	0	31608	718	457839	9992	0	28677	0	2682	0	52530	309279		0	292196	287338	-469	0	4160	2405	35397	
625757																																							652	6170	0	0	33591	0	2744	0	0	1211	156531	136455	0	575	144295	0	884	0	0	0	12236	405	156531	0	0	5596	0	6295	0	18141	118313		0	111136	110252	-60	1911	0	0	7265	
625850																																							285	4641	0	0	26433	0	2137	280	0	4894	263175	190637	0	437	234174	0	1597	0	43100	0	29001	600	263175	0	0	28118	0	350	0	32291	158346		0	217962	216365	-67	8140	0	0	0	
625953																																							349	4734	0	11170	32951	7	1936	334	0	5400	105699	89234	0	1466	92430	0	561	0	1730	0	13269	198	105699	0	0	8160	0	5214	0	21146	68088		0	43604	43043	-303	5775	0	0	0	
626101																																							589	9714	66	0	132128	0	10917	0	0	10207	564263	406776	0	4908	499810	0	3742	1787	80055	0	64453	0	564263	0	0	53697	0	10000	457	17540	389236		0	396690	392948	756	5450	0	0	8071	
626352																																							156	2504	0	0	35627	0	2506	38	0	1275	98296	79838	0	340	88286	0	538	3652	7358	0	10010	50	98296	0	0	1946	0	8090	0	7999	71839		0	52978	52440	-76	98	0	750	0	
626941																																							0	3532	204	33863	6132	0	2758	249	0	1197	133311	116845	0	546	117869	0	852	0	478	0	15442	701	133311	0	0	11938	0	2829	0	8926	107919		0	81578	80726	-26	4650	0	0	0	
627108																																							0	5182	0	76626	38011	0	5150	0	0	9373	350543	255297	0	12398	267695	0	1084	0	0	0	82848	0	350543	0	0	0	0	66747	0	6042	249255		0	178736	177652	16101	38549	0	0	0	
627135																																							989	18798	880	5519	124097	0	1055	472	0	19367	670673	481166	0	4569	604948	0	6406	7356	117350	0	65725	5543	670673	0	0	8995	0	52217	0	102657	378509		0	494896	488490	-1030	3650	0	0	1863	
627256																																							0	2205	0	1870	8221	0	179	0	0	354	32059	28478	0	110	28588	0	195	0	0	0	3471	370	32059	0	0	2351	0	830	0	6115	22363		0	14325	14130	-80	5100	0	0	0	
627377																																							526	662	0	6696	5572	0	131	0	0	800	35760	20532	0	316	28848	0	100	0	8000	0	6912	0	35760	0	0	6742	0	0	0	30	20502		0	21473	21373	170	0	0	0	0	
627407																																							33	12586	536	0	56272	0	6002	0	0	15037	394446	299341	0	1584	351428	0	2858	0	50503	0	43018	0	394446	0	0	41531	0	0	0	30308	269033		0	305697	302839	1487	1141	0	0	0	
627425																																							44	5104	3627	0	20744	0	1035	493	0	4250	129553	103541	0	1019	119510	0	824	0	12000	0	10043	425	129553	0	0	8971	0	942	3394	20151	83390		0	90850	90026	-295	836	0	0	2950	
627658																																							1966	29649	5195	0	156465	346	22185	37	0	13202	870799	774843	0	3030	779873	0	10527	0	2000	0	90926	4000	870799	0	0	52047	0	36000	0	167047	607796		0	623151	612624	-1121	29130	0	0	0	
627854																																							56	2136	0	16915	28352	0	784	292	0	1896	177137	132678	0	865	148497	0	1927	0	8437	0	28640	300	177137	0	0	28285	0	300	191	15956	116722		0	128442	126515	-245	0	0	6517	0	
627863																																							101	88002	5754	0	1442989	0	1325	0	1850	37239	3223487	2809396	1850	21915	2898197	0	6048	153375	0	0	325290	1	3223487	0	0	44559	0	288512	0	1189619	1619777		0	910103	904055	-7782	588797	0	0	65036	
628039																																							0	2413	3076	0	10502	0	1571	163	0	990	86268	73090	0	319	73409	0	1006	2474	0	0	12859	100	86268	0	0	2516	0	10338	0	15885	57205		0	63485	62479	-95	2600	0	0	0	
628123																																							26	10382	0	1318	91249	0	3875	50	0	9659	318324	272092	0	1147	287189	0	2271	0	13950	0	31135	5688	318324	0	0	19569	0	5759	0	82272	189820		0	200612	198341	119	3424	0	0	0	
628178																																							1087	13603	37	0	45763	0	7878	3013	0	9059	362212	318202	0	1760	332348	0	3307	0	10016	0	29864	100	362212	0	0	19077	0	10982	0	47126	271076		0	282537	279230	-295	2542	0	0	2370	
628356																																							115	3698	0	38534	2642	0	2986	0	0	1713	151787	125862	0	618	138338	0	1386	0	8000	0	13449	300	151787	0	0	7161	0	6014	0	11022	114840		0	103485	102099	-26	0	0	3858	0	
628552																																							50	3195	0	0	25630	0	2475	0	0	1970	89906	75606	0	668	80949	0	866	0	3000	0	8957	500	89906	0	0	5390	0	3000	0	18281	57325		0	51502	50636	67	5950	0	0	1675	
628730																																							0	4847	122	0	3956	0	2465	0	0	2645	133085	116301	0	2560	118861	0	1030	0	0	0	14224	1501	133085	0	0	10613	0	2044	0	42185	74116		0	93820	92790	66	26260	0	0	0	
629148																																							842	2178	0	633	25614	0	1187	667	0	5174	103212	83262	0	1041	93953	0	1372	599	9650	0	9259	100	103212	0	0	6833	0	2569	0	12123	71139		0	67480	66108	-243	210	0	0	0	
629353																																							170	8426	0	52924	69807	690	3524	136	0	2250	227376	196859	0	563	197422	0	790	0	0	0	29954	2000	227376	0	0	26131	0	2000	0	36310	160549		0	81839	81049	-177	8400	0	0	0	
629522																																							2674	4020	0	4581	8689	0	4189	0	0	3456	118300	102482	0	949	108431	0	1083	0	5000	0	9869	100	118300	0	0	6058	0	3767	0	21973	80509		0	84548	83465	-56	7226	0	0	0	
629746																																							2042	2148	0	6726	8996	0	1139	75	0	1687	69601	55934	0	428	59755	0	726	0	3393	0	9846	653	69601	0	0	7365	0	1888	0	6087	49847		0	47091	46365	-60	423	0	0	0	
629849																																							0	1575	0	0	10963	0	1415	0	0	509	34722	30170	0	76	32362	0	184	0	1000	0	2360	240	34722	0	0	1398	0	820	0	4178	25992		0	19340	19156	-98	1104	0	0	1116	
630041																																							100	1097	0	601	0	0	849	225	0	205	16192	14062	0	135	14197	0	256	0	0	0	1995	50	16192	0	0	1370	0	575	0	2120	11942		0	12606	12350	0	765	0	0	0	
630340																																							0	1215	0	2455	3521	0	600	0	0	323	32008	26882	0	146	27028	0	235	0	0	0	4980	200	32008	0	0	4608	0	200	0	5934	20948		0	23879	23644	-28	250	0	0	0	
630555																																							6550	9658	0	997	9154	0	15493	3317	0	15672	460338	377224	0	5592	421523	0	3538	0	20833	15000	38815	14000	460338	0	0	3769	0	21100	0	70052	307172		0	344035	340497	-54	59000	0	0	2874	
630658																																							17918	6827	0	13853	98416	0	5544	0	0	2634	213255	176190	0	2033	178223	0	751	3263	0	0	35032	479	213255	0	0	22356	0	12444	0	48335	127855		0	61541	60790	-247	4010	0	0	0	
630948																																							46	10170	2980	0	24982	0	5735	531	0	5224	286205	231596	0	2300	256638	0	2720	0	8905	0	29567	1822	286205	0	0	8774	0	19178	874	50245	181350		0	232995	230275	-207	5388	0	0	13837	
631039																																							25	2857	0	0	11592	0	3067	225	0	2900	95087	86294	0	724	87018	0	1674	0	0	0	8069	599	95087	0	0	1511	0	5791	0	15410	70884		0	74966	73292	168	1129	0	0	0	
631150																																							385	2897	0	0	18561	0	1843	0	0	4433	107460	93147	0	1298	96445	0	931	0	2000	0	11015	240	107460	0	0	10824	0	300	0	23225	69922		0	73897	72966	-349	6375	0	0	0	
631244																																							146	3054	0	1768	25528	0	4195	34	0	4027	121431	108778	0	598	111376	0	1226	0	1634	0	10055	300	121431	0	0	3952	0	5945	0	10296	98482		0	81980	80754	-142	1925	0	0	366	
631422																																							0	34823	0	4120	184880	0	18892	14	0	13371	764535	652945	0	5234	695341	0	5790	0	3248	0	69194	1935	764535	0	0	66307	0	1935	0	147422	505523		0	479225	473435	-983	35000	0	0	33914	
632139																																							600	1049	0	2761	197	0	152	49	0	147	10197	8512	0	60	8572	0	59	0	0	0	1625	25	10197	0	0	1525	0	75	0	1182	7330		0	5301	5242	0	0	0	0	0	
632410																																							0	20968	0	962	144044	0	6088	190	0	6406	441401	402815	0	1654	404725	0	2389	0	256	0	36676	702	441401	0	0	31891	0	4518	335	71177	331638		0	232781	230392	-435	32016	0	0	0	
632607																																							6102	7589	503	0	145898	0	5961	0	0	19984	506668	376863	0	3498	456163	0	1828	557	72811	0	50505	10	506668	0	0	2215	0	49423	264	11515	365348		0	321638	319810	-1143	0	0	0	2991	
632858																																							44	3413	0	196379	174110	0	4096	0	0	11029	439269	160451	0	597	410388	0	482	0	165075	0	28881	800	439269	0	0	19043	0	11809	0	19544	140907		0	49790	49308	-2771	890	0	84265	0	
633154																																							15532	10819	0	29543	61842	0	9962	722	0	6204	442509	389402	0	1751	402171	0	4248	7619	774	0	40337	3000	442508	0	0	8970	0	29417	0	109363	280039		0	288424	284176	-1050	16090	0	0	10244	
633341																																							204	982	0	0	3884	0	829	329	0	1055	23147	18397	0	166	21359	0	289	0	2796	0	1788	50	23147	0	0	-331	0	2101	0	2914	15483		0	15502	15213	-32	651	0	0	0	
