"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCFDJ448	RCFDJ449	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	RCONJ448	RCONJ449	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
16551																	CONF	0	2546	664	6770	94	752	0	0	0	0	0	818	1990	0	0	0	CONF				
16748																	CONF	0	295	0	2274	0	277	0	0	0	0	0	320	1382	0	0	0	CONF				
16944																	CONF	0	0	0	392	10	158	0	0	0	0	0	234	0	0	0	0	CONF				
16953																	CONF	0	0	0	416	17	114	0	0	0	0	0	302	0	0	0	0	CONF				
17110																	CONF	0	219	0	2869	0	2555	1147	0	0	0	0	95	0	0	0	0	CONF	INVESTMENT ADVISORY/TRUSTEE FEES RECEIVABLE			
17147																	CONF	0	35520	36107	222890	13084	37551	14294	0	0	0	0	18880	94832	0	0	0	CONF	Taxes Refundable			
17259																	CONF	10	367	0	2570	127	303	0	0	0	0	0	424	1476	0	0	0	CONF				
17464																	CONF	0	10472	0	60139	7088	11509	0	0	0	0	0	4689	33469	0	0	0	CONF				
17950																	CONF	0	1007	63	4824	161	1013	0	0	0	0	0	2359	382	0	0	0	CONF				
18050																	CONF	0	715	0	3669	0	1409	0	0	0	0	0	1545	0	0	0	0	CONF				
18135																	CONF	0	1501	0	8209	0	1322	0	0	0	0	0	1150	4236	0	0	0	CONF				
18377																	CONF	0	147	14	438	22	168	0	0	0	0	0	109	0	0	0	0	CONF				
18827																	CONF	0	1096	0	5463	1330	2734	0	0	0	0	0	1633	0	0	0	0	CONF				
18836																	CONF	0	930	1002	6890	0	1411	0	0	0	0	0	750	2797	0	0	0	CONF				
18854																	CONF	14	564	0	1771	111	698	0	0	0	0	0	509	0	0	0	0	CONF				
18957																	CONF	0	257	0	474	30	30	0	0	0	0	0	187	0	0	0	0	CONF				
19356																	CONF	0	161	0	1291	48	396	0	0	0	0	0	382	352	0	0	0	CONF				
19730																	CONF	0	18195	21751	108057	0	18526	0	0	0	0	0	7655	41930	0	0	0	CONF				
19936																	CONF	0	860	930	6588	0	1591	433	0	0	0	0	1259	1948	0	0	0	CONF	Overpayment of income taxes			
19972																	CONF	0	214	199	2961	0	230	0	0	0	0	0	154	2164	0	0	0	CONF				
20053																	CONF	0	503	687	1581	100	100	0	0	0	0	0	291	0	0	0	0	CONF				
