"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG167	RCONG168	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	AMT NONINT ACTS GE 250K	NBR NONINT ACT GE 250K	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	
647245																0	10531	396	0	0	89255	7754	18211	36	117996	0			4190	10	0	0	0	0	0	0	0	0	0		
647414																0	3914	365	0	0	61690	7827	26042	28	91647	0			2190	3	0	0	0	0	0	0	0	0	0		
647432																0	29203	1071	1400	5	431135	30792	101306	147	563044	0			19717	24	0	0	0	0	0	0	0	0	0		
647759																0	3153	138	0	0	52992	6115	7534	15	63679	0			1529	3	0	0	0	0	0	0	0	0	0		
647955																0	1937	89	983	3	31525	2374	5264	16	39709	0			0	0	0	0	0	0	0	0	0	0	0		
648055																0	9703	472	255	1	261525	25156	36092	62	307575	0			17643	21	0	0	0	0	0	0	0	0	0		
648130																0	13416	342	1282	4	297771	11178	193418	306	505887	0			25155	82	0	0	0	0	0	0	0	0	0		
648242																0	27845	1051	1134	4	423187	36291	314358	241	766524	0					0	0	0	0	0	0	0	0	0		
648251																0	6224	343	0	0	111829	10238	31235	40	149288	0			7131	13	0	0	0	0	0	0	0	0	0		
648345																0	2777	508	0	0	37011	7482	2616	4	42404	0			0	0	0	0	0	0	0	0	0	0	0		
648550																0	2337	138	0	0	45791	5202	11275	13	59403	0			1831	5	0	0	0	0	0	0	0	0	0		
648952																0	2149	130	0	0	63801	5387	27285	53	93235	0			11915	11	0	0	0	0	0	0	0	0	0		
649342																0	7696	389	0	0	73752	7270	48136	44	129584	0			4641	7	0	0	0	0	0	0	0	0	602		
649351																0	1210	102	0	0	16847	1955	4173	8	22230	0	22230	0	0	0	0	0	0	0	0	0	0	0	0		
649632																0	797	95	436	1	14418	1374	2880	3	18531	0			0	0	0	0	0	0	0	0	0	0	0		
649650																0	3588	197	0	0	109959	8363	36130	31	149677	0			6901	10	0	0	0	0	0	0	0	0	0		
649874																0	6242	316	254	1	54434	5588	4987	11	65917	0			1636	2	0	0	0	0	0	0	0	0	0		
650674																0	41120	1989	789	3	588004	32564	63041	134	692954	0			21316	30	0	0	0	0	0	0	0	0	0		
650955																0	0	0	0	0	12074	1967	268	1	12342	0					0	0	0	0	0	0	0	0	0		
651103															923885	0	25461	1806	845	3	579924	21811	785766	665	1391996	0	1429374	0	374730	320	0	29000	0	0	0	0	0	0	37179		
651121																0	15706	803	1708	4	151568	19427	50005	66	218987	0			8325	12	0	0	0	0	0	0	0	0	0		
651149																0	2561	213	305	1	40859	3513	8832	18	52557	0			2398	6	0	0	0	0	0	0	0	0	2673		
651158																0	4835	400	689	2	62148	6027	6623	14	74295	0			1168	2	0	0	0	0	0	0	0	0	0		
