"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
261070	0	0	73	2985	37	5510	35	14982	426	10360	62	8349	57	17318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
261146	130	119	0	0	0	0	0	0	0	0	0	0	0	0	160	108	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
261258	0	0	21	1340	11	1218	9	2410	56	1188	12	1534	9	1336	0	0	0	0	1	249	0	0	0	0	0	0	0	0	false	false	
261360	0	0	99	3733	50	6121	13	4560	335	5357	42	3862	11	2071	0	0	97	3456	24	3241	3	897	544	6212	15	973	8	2366	false	false	
261557			8	357	4	518	1	253	19	270	0	0	0	0	3	0													true	false	
261632	0	0	32	1043	9	1360	8	2508	227	3267	10	1257	1	262	0	0	0	0	1	134	0	0	0	0	0	0	0	0	false	false	
261904	0	0	76	2877	29	4411	13	4903	103	1909	6	382	1	822	0	0	10	264	5	573	1	163	9	117	0	0	0	0	false	false	
261940	0	0	87	3551	47	6148	58	21916	350	6157	31	3062	16	6940	0	0	154	5478	82	11617	54	16504	513	8707	32	3423	6	1344	false	false	
262059	0	0	69	3160	61	7456	47	17989	157	2429	26	2786	9	1963	0	0	5	64	4	636	1	428	0	0	0	0	0	0	false	false	
262068	0	0	53	2936	141	20056	246	12140	564	16969	208	18702	145	54705	0	0	6	362	17	2359	20	6366	83	2426	10	891	8	1514	false	false	
262237	0	0	58	3400	34	4842	16	6356	95	1044	5	574	4	1788	0	0	9	452	3	202	3	465	4	19	0	0	0	0	false	false	
262273	0	0	82	2928	29	3594	16	5495	4	113	1	196	0	0	0	0	1	5	7	993	3	716	0	0	0	0	0	0	false	false	
262358	77	263	0	0	0	0	0	0	0	0	0	0	0	0	6	84	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
262451	0	0	59	2695	30	4198	31	15354	94	1953	29	2547	40	12062	0	0	8	342	14	1725	3	1089	30	1130	21	1973	7	1625	false	false	
262741	107	384	0	0	0	0	0	0	0	0	0	0	0	0	207	299	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
262844	0	0	254	9655	73	11375	29	10553	336	6989	18	2923	13	3943	0	0	324	13374	99	14917	34	11534	981	16487	58	8944	19	6946	false	false	
262956	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	true	
262965	0	0	3	119	8	627	23	7142	167	3583	33	4177	15	3840	0	0	0	0	1	75	1	392	0	0	0	0	0	0	false	false	
263243	0	0	193	7151	81	10655	57	22692	241	4941	18	2000	14	1587	45	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
263551	0	0	22	943	5	590	9	2156	32	497	3	299	5	2181	0	0	0	0	0	0	0	0	3	79	0	0	0	0	false	false	
263627	0	0	128	4511	71	10373	26	15864	79	1271	1	249	0	0	0	0	32	1173	8	1050	3	1005	6	78	0	0	3	1221	false	false	
263953	0	0	81	2596	16	2386	14	6619	227	4987	16	2513	6	2235	32	88	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
264156	0	17	0	0	0	0	0	0	0	0	0	0	0	0	4	40	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
264455	421	217	0	0	0	0	0	0	0	0	0	0	0	0	77	298	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
264558	0	0	64	2393	29	3652	8	2765	8953	22413	129	4651	50	5713	0	0	29	1116	17	2114	5	1580	100	1881	16	1459	5	1429	false	false	
264941			113	4669	86	10808	52	20007	209	3728	36	3130	16	3169															false	false	
265041	0	0	36	579	1	181	0	0	175	3222	11	1501	2	741	0	0	5	156	4	337	0	0	58	111	20	2016	8	2192	false	false	
265340	97	224	0	0	0	0	0	0	0	0	0	0	0	0	115	613	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
265407	0	0	80	4335	166	23955	106	38842	947	16913	50	5163	28	7140	0	0	0	0	1	211	0	0	0	0	1	111	0	0	false	false	
