"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1350	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2800	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1350	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2800	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	
296447																																							0	815	0	5861	5542	3527	0	1021	0	0	349	34833	31020	0	0	119	31139	0	302	0	0	0	3694	100	34833	0	0	3477	0	100	0	4254	26766	8	0	18020	17718	17	
296456																																							511	4340	0	6507	1370	17415	0	1869	174	0	1089	85093	76167	0	0	945	77112	0	1631	1215	0	0	7981	188	85093	0	0	6118	0	1434	0	16566	59601	4	0	52234	50603	241	
296559																																							0	4276	9	6225	0	78579	207	1846	300	0	3766	176249	143770	1424	0	1841	147313	0	1438	0	278	0	28936	1500	176249	0	0	24090	0	2000	0	16895	126875	5	0	82479	81041	1346	
296755																																							862	1338	0	700	0	4253	0	1699	0	0	671	33807	27310	0	0	337	31147	0	269	0	3500	0	2660	500	33807	0	0	743	0	1400	0	3445	23865	1	0	24553	24284	17	
296858																																							0	991	0	2650	0	8947	0	262	225	0	394	23651	19673	0	0	212	19885	0	161	0	0	0	3766	150	23651	0	0	3431	0	150	0	5840	13833	4	0	10343	10182	35	
297042																																							73	1805	0	0	0	19546	361	2651	111	0	2514	93605	68455	2552	0	728	85550	0	862	791	13815	0	8055	300	93605	0	0	877	0	6705	0	7642	60813	1	0	66615	65753	173	
297051																																							0	1495	0	3419	0	14425	0	1225	28	0	1126	54748	49282	0	0	728	50010	0	438	32	0	0	4738	193	54748	0	0	2924	0	1447	0	3041	46241	4	0	33436	32998	174	
297257																																							0	1453	43	6975	0	4768	0	1472	41	0	263	27253	23434	0	0	104	23538	0	174	782	0	0	3715	250	27253	0	0	-141	0	3483	0	5115	18319	1	0	11630	11456	123	
297453																																							0	9047	0	12329	44672	73342	0	7160	1729	0	2753	209225	194369	0	0	1690	197576	0	537	0	1517	0	11649	1250	209225	0	0	6942	0	2496	0	48172	146197	2	0	58730	58193	961	
297547																																							388	389	0	1375	309	1270	0	378	0	0	162	12861	10989	0	0	125	11114	0	100	0	0	0	1747	90	12861	0	0	738	0	910	0	1626	9363	1	0	8690	8590	9	
