"IDRSSD"	RCFD1248	RCFD1249	RCFD1250	RCFD1251	RCFD1252	RCFD1253	RCFD1254	RCFD1255	RCFD1256	RCFD1257	RCFD1258	RCFD1259	RCFD1271	RCFD1272	RCFD1583	RCFD1594	RCFD1597	RCFD1658	RCFD1659	RCFD1661	RCFD1791	RCFD3505	RCFD3506	RCFD3507	RCFD3529	RCFD3530	RCFD5377	RCFD5378	RCFD5379	RCFD5380	RCFD5381	RCFD5382	RCFD5389	RCFD5390	RCFD5391	RCFD5459	RCFD5460	RCFD5461	RCFD5612	RCFD5613	RCFD5614	RCFD5615	RCFD5616	RCFD5617	RCFD6558	RCFD6559	RCFD6560	RCFDB575	RCFDB576	RCFDB577	RCFDB578	RCFDB579	RCFDB580	RCFNB572	RCFNB573	RCFNB574	RCON1226	RCON1227	RCON1228	RCON1248	RCON1249	RCON1250	RCON1254	RCON1255	RCON1256	RCON1271	RCON1272	RCON1583	RCON1594	RCON1597	RCON1606	RCON1607	RCON1608	RCON1658	RCON1659	RCON1661	RCON1791	RCON2759	RCON2769	RCON3492	RCON3493	RCON3494	RCON3495	RCON3499	RCON3500	RCON3501	RCON3502	RCON3503	RCON3504	RCON3505	RCON3506	RCON3507	RCON3529	RCON3530	RCON5380	RCON5381	RCON5382	RCON5389	RCON5390	RCON5391	RCON5398	RCON5399	RCON5400	RCON5401	RCON5402	RCON5403	RCON5459	RCON5460	RCON5461	RCON5612	RCON5613	RCON5614	RCON5615	RCON5616	RCON5617	RCON6558	RCON6559	RCON6560	RCONB575	RCONB576	RCONB577	RCONB578	RCONB579	RCONB580	RCONB834	RCONB835	RCONB836	
1470655																																																									0	0	0									0	0	0	0	0	526	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	113	0	0	0	0	
1471577																																																									0	0	0												3	0	692	0	0	0		0	0	0	0	0	0	0	0	0	61	0	55	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	11	0	0	0	0	0	0	12	0	0	0	0	0	
1473496																																																									0	0	0									0	0	0	1475	0	220	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	323	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	
1474279																																																									0	0	0									0	0	0	77	0	118	0	0	0		0	0	0	0	0	0	0	0	0	55	0	8	0	0	0						0	0	0	0	0	0	443	0	94	0	0	0	0	0	87	0	0	70	0	0	0	0	0	0	120	0	98	0	0	0	
1474288																																																									0	0	0									0	0	0	1000	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	33	0	564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	124	0	0	0	
1474309																																																									0	0	0									0	0	0	295	37	75	0	0	0		0	0	0	0	0	0	101	0	0	10	3	10	0	0	0						0	0	0	0	0	0	700	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	83	69	0	0	0	
1478222																																																									0	0	0									0	0	0	299	24	176	0	0	0		0	0	39	0	0	0	0	113	0	105	0	0	0	0	0						0	0	0	0	0	0	1284	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	
1478231																																																									0	0	0									0	0	0	212	0	0	0	0	0		105	0	0	0	0	0	0	0	0	211	0	0	0	0	0						0	0	0	25	0	0	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	
1478307																																																									0	0	0									0	0	0	0	0	145	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	94	12	7	0	0	0	
1479470																																																									0	0	0												469	0	41	0	0	147		0	0	0	0	0	0	0	0	197	113	0	184	0	0	0						0	0	0	0	0	0	1285	0	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	10	0	0	0	
