"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4635	RIAD4815	RIADB522	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	LOSSES CHARGED TO RESERVE	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	
44741	1714	87	14	97	0	1710	
44750	643	15	0	19	0	647	
44929	322	30	6	11	0	297	
45038	594	24	2	10	0	578	
45047	481	36	13	11	0	443	
45056	474	164	2	39	0	347	
45270	995	250	9	4	0	740	
45430	445	30	2	19	0	432	
45458	132	0	0	0	0	132	
45551	2996	0	118	217	0	3095	
45560	2777	83	37	8	0	2665	
45609	5833	300	38	59	0	5554	
45627	28049	750	219	950	-417	28447	
45775	224	0	0	3	0	227	
46053	811	90	6	15	0	730	
46905	6225	225	26	192	0	6166	
46941	792	45	29	32	0	750	
47153	128	3	0	65	0	190	
47247	1779	39	15	50	0	1775	
47256	199	9	0	64	0	254	
47377	5395	520	90	136	0	4921	
47425	1778	60	2	95	482	1329	
47452	473	0	2	0	0	471	
47500	1771	0	2	5	0	1774	
47658	89	0	3	36	0	122	
48057	265	35	1	1	0	230	
48150	103	2	0	0	0	101	
48208	2414	60	14	34	0	2374	
48374	2459	0	2	152	0	2609	
48440	328	0	0	1	0	329	
48552	398	20	1	4	0	381	
48673	67	1	0	0	0	66	
48730	919	49	19	91	0	942	
49054	245	28	0	0	0	217	
49148	407	12	11	31	0	415	
49241	1387	90	36	79	0	1340	
49344	1062	0	16	7	0	1053	
49362	56170	775	929	4704	0	59170	
49540	696	0	7	9	0	698	
49643	191	0	0	0	0	191	
49652	678	140	2	30	0	566	
49821	7571	150	225	199	0	7395	
49858	168	0	22	11	0	157	
49951	425	0	9	9	0	425	
50144	333	21	9	8	0	311	
50461	3167	0	185	35	0	3017	
50546	159	11	0	5	0	153	
50854	301	5	13	5	0	288	
50957	320	33	0	7	117	177	
51253	1056	125	31	86	0	986	
51347	330	21	4	26	0	331	
51356	536	45	3	19	0	507	
51459	791	59	2	43	0	773	
51730	177	40	15	40	0	162	
51842	1059	25	1	0	0	1033	
51972	1341	30	1	1	0	1311	
52410	259	13	10	0	0	236	
52456	128	10	0	17	0	135	
52719	0	0	0	0	0	0	
52755	3007	52	24	54	0	2985	
