RCFD1578,RCFD1752,RCFD2148,RCFD2160,RCFD2166,RCFD2168,RCFD3549,RCFD3550,RCFD3551,RCFDA519,RCFDA520,RCFDB556,RCFDC009,RCFDC010,RCFDFT33,RCFDFT34,RCFDFT35,RCFDHT80,RCFDK201,RCFDK202,RCFDK270,RCON1578,RCON1752,RCON2148,RCON2160,RCON2166,RCON2168,RCON3549,RCON3550,RCON3551,RCONB556,RCONC010,RCONFT33,RCONFT34,RCONFT35,RCONHT80,RCONK201,RCONK202,RCONK270,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,0,448,0,4363,137,151,0,0,0,594,0,,,,,3170,0,0,21658,2015-12-31
,,,,,,,,,,,,,,,,,,,,,70,924,0,7749,309,1625,1176,0,0,958,0,,,,,4242,0,0,22048,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,139,55,1426,0,1023,801,0,0,209,0,,,,,0,0,0,22543,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,389,0,1632,106,110,0,0,0,1133,0,,,,,0,0,0,22552,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,298,33,3950,125,136,0,0,0,510,0,,,,,2973,0,0,22730,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,183,6926,8399,366,424,0,0,0,815,0,,,,,0,51,0,22936,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,256,0,479,0,35,0,0,0,188,0,,,,,0,0,0,23045,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,405,0,1239,83,109,21,5,0,725,0,,,,,0,0,0,23456,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,24788,26308,132135,7831,18455,5122,0,0,9270,0,,,,,42030,0,11284,23504,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,273,0,5381,188,212,0,0,0,974,0,,,,,1566,0,2356,23643,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,804,0,3743,204,565,222,0,0,369,0,,,,,2005,0,0,23755,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,2039,4961,34327,653,3085,1450,251,0,3272,0,,,,,17719,0,3251,24006,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,433,200,871,57,70,10,0,0,168,0,,,,,0,0,0,24378,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1875,0,2734,115,207,53,0,0,652,0,,,,,0,0,0,24453,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,5,0,425,0,0,0,0,0,420,0,,,,,0,0,0,24659,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,2974,2247,8912,553,553,0,0,0,3138,0,,,,,0,0,0,24668,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,38,0,261,0,17,0,0,0,80,0,,,,,126,0,0,24855,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,2727,0,13759,393,784,0,0,0,1053,0,,,,,9195,0,0,24949,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,3152,0,6094,466,517,51,0,0,2425,0,,,,,0,0,0,25357,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,0,0,308,119,142,0,0,0,166,0,,,,,0,0,0,25647,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,2573,4594,12856,1207,1787,0,0,0,1020,0,,,,,0,0,2882,26176,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,2951,0,18238,603,677,0,0,0,1807,0,,,,,12803,0,0,26242,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,0,15,184,0,10,10,0,0,159,0,,,,,0,0,0,26457,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1590,2562,5954,502,763,0,0,0,1039,0,,,,,0,0,0,26765,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,3865,0,5717,749,749,0,0,0,1103,0,,,,,0,0,0,27070,2015-12-31
,,,,,,,,,,,,,,,,,,,,,7,2294,63,19762,841,5897,21,2351,1437,1607,0,,,,,9901,0,0,27548,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1531,0,11023,253,791,449,0,0,1347,0,,,,,7354,0,0,27614,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1656,0,13363,441,695,0,0,0,2291,0,,,,,4629,0,4092,27847,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,25859,28636,202929,0,7388,4363,0,0,8264,0,,,,,79321,0,53461,28013,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,554,0,3762,0,235,208,0,0,646,1,,,,,2327,0,0,28152,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,649,767,8229,212,428,0,0,0,1095,0,,,,,5290,0,0,28255,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,741,0,1261,145,251,0,0,0,269,0,,,,,0,0,0,28349,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,15608,8149,62679,1035,1954,0,0,0,5342,0,,,,,31626,0,0,28406,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,400,0,852,64,103,32,0,0,349,0,,,,,0,0,0,28675,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,227,690,2810,162,166,0,0,0,265,0,,,,,1462,0,0,28732,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,190,0,2539,102,197,0,0,0,607,0,,,,,1545,0,0,29476,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1703,8857,39172,1064,1550,0,0,0,3928,0,,,,,16681,828,5625,29636,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,2178,33079,43421,2443,2523,80,0,0,5254,0,,,,,387,0,0,29878,2015-12-31
,,,,,,,,,,,,,,,,,,,,,10,112,0,271,59,100,29,0,0,59,0,,,,,0,0,0,30052,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,3158,1018,11785,2270,4906,0,0,0,2703,0,,,,,0,0,0,30502,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,372,127,911,64,85,0,0,0,327,0,,,,,0,0,0,30650,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,0,644069,1923319,525323,619669,0,0,0,659581,0,,,,,0,0,0,30810,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,6833,5080,43822,0,3076,1550,0,0,3145,0,,,,,16462,0,9226,30874,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,341,23,2375,206,293,0,0,0,756,0,,,,,962,0,0,31134,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,2268,0,15275,721,951,0,0,0,1904,0,,,,,8384,0,1768,31255,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,232,0,3492,42,118,0,76,0,652,0,,,,,0,0,2490,31657,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,836,1315,9101,232,1848,1560,0,0,873,0,,,,,4229,0,0,31826,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1346,2229,14462,353,702,0,0,0,1555,0,,,,,8630,0,0,31835,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,82,0,803,235,235,0,0,0,486,0,,,,,0,0,0,32234,2015-12-31
,,,,,,,,,,,,,,,,,,,,,38,24,68,455,86,124,0,0,0,239,0,,,,,0,0,0,32766,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1350,709,11344,329,1140,440,0,0,957,0,,,,,7188,0,0,32971,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,2650,127,13099,0,3252,2482,0,0,2849,0,,,,,2110,0,2111,33147,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1142,545,8090,0,4795,4068,0,0,1608,0,,,,,0,0,0,33259,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,0,0,3248,130,130,0,0,0,1301,0,,,,,1817,0,0,33268,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,463,46,680,40,71,30,0,0,100,0,,,,,0,0,0,33370,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,122,0,335,21,21,0,0,0,192,0,,,,,0,0,0,33839,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1496,0,8149,846,1329,0,0,0,5324,0,,,,,0,0,0,33857,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,2731,742,13238,238,864,222,0,0,1306,0,,,,,7595,0,0,34425,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,431,0,3838,544,643,0,0,0,913,5,,,,,1851,0,0,34434,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,57,0,4042,284,971,0,0,0,584,0,,,,,1413,0,1017,34452,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,16428,60269,145631,4551,16672,4554,0,0,8683,0,,,,,37366,0,6213,34537,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,3633,919,13829,275,338,0,0,0,2438,0,,,,,6501,0,0,34555,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1041,1217,11437,85,1299,0,0,0,1093,0,,,,,6535,252,0,34742,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,0,15,566,0,110,36,0,0,90,0,,,,,351,0,0,34836,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1452,0,4869,176,571,165,146,0,955,0,,,,,1249,0,642,35057,2015-12-31
