"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	
98641	3714	24	2952	21620	0	38648	0	0	8119	7379	15498	0	122861	0	3838	39597		44415	35136	4434	39655	35977	7921	7379	21391	18684	4168	172	19830	16148	3238	381	35672	118148	0	875	871	
98717	15666	14	0	17746	0	18543	0	0	0	9155	9155	0	128517	11555	0	26588		68783	17480	4044	59828	20891	0	5427	14343	45485	7550	1406	11089	9802	4093	1603	18529	97962	0	19000	0	
99004	30013	0	3236	35205	0	38441	0	0	0	0	0	0	85390	0	30251	40738		8128	6511	1215	6250	40429	0	0	2163	4087	1325	553	34046	6383	0	309	35205	55139	0	0	2117	
99059	4091	161	6	57959	0	66806	0	0	0	0	0	0	147943	0	146	36845		20604	86402	3310	19948	36049	0	0	6367	13581	656	0	10386	25663	381	415	66639	147797	0	0	426	
99143	9162	1	10720	33302	0	62790	0	0	4714	0	4714	0	95280	0	15508	36311		43772	6035	8035	31340	32706	0	0	7041	24387	5031	7313	10333	22373	2364	1242	52044	79772	25	0	2645	
99255	1977	0	386	4768	0	13484	0	0	0	0	0	0	13859	0	635	4437		7445	0	834	5900	4035	0	0	1180	4720	1188	357	951	3084	102	300	13098	13224	0	0	128	
99442	3352	25	10832	14658	0	42952	0	0	0	0	0	0	98674	0	21872	54894		30997	9431	4491	29827	37349	0	0	10159	19668	606	564	10705	26644	16634	911	32095	76802	0	0	513	
99536	16094	3	3291	34138	0	107025	0	0	0	0	0	0	205705	0	3453	73471		99830	16310	26058	89641	65495	0	0	33162	56479	9177	1012	27756	37739	7222	754	103731	202252	0	0	7000	
99853	4364	29	3989	11979	0	21547	0	0	0	0	0	0	26872	0	476	5622		14189	2697	2791	12555	4551	0	0	4444	8111	1634	0	1175	3376	891	180	17529	26396	0	0	864	
99974	12224	0	255	14980	0	21010	0	0	11945	200	12145	0	87484	0	5239	20690		44896	9675	5945	33602	18253	8315	200	11934	21668	9671	1623	7158	11095	1735	702	20755	80857	0	1388	1224	
100236	4640	13	3241	30287	0	41791	0	0	0	0	0	0	104966	0	4231	33604		45654	21068	8217	36124	30253	0	0	11534	25477	7802	841	9253	21000	3246	105	38537	100558	0	177	1329	
100357	23549	46	2071	46474	0	68018	0	0	0	0	0	0	359967	0	53056	76460		89368	170590	19635	76405	67542	0	0	21753	54683	10413	2519	29555	37987	7001	1917	65901	306911	0	0	4193	
100553	4184	0	627	4072	0	7280	0	0	0	0	0	0	23737	0	1184	7923		9916	1714	2444	6082	3229	0	0	1916	4166	2685	1149	650	2580	3836	857	5871	22115	782	438	0	
100562	110849	0	15318	348296	0	366784	0	0	1600	0	1600	0	1145229	0	83223	283829		281433	469118	11232	254210	266757	1600	0	125174	129036	19811	7412	174804	91953	13019	4053	349592	1061808	1874	198	1487	
100843	35870	0	1480	27248	0	70765	0	0	7494	0	7494	0	220373	0	20244	46408		118005	20090	15957	95403	35767	7494	0	22631	72772	20735	1867	9813	25954	9794	847	69285	189931	0	10198	1728	
