RIAD0497,RIAD4042,RIAD4136,RIAD4141,RIAD4146,RIAD4461,RIAD4462,RIAD4463,RIAD4464,RIAD4467,RIAD4468,RIAD4486,RIAD4487,RIAD4488,RIAD4489,RIAD4491,RIAD4498,RIAD4499,RIAD4521,RIAD4522,RIAD4769,RIAD8403,RIADB526,RIADB527,RIADC013,RIADC014,RIADC015,RIADC016,RIADC017,RIADC018,RIADF555,RIADF556,RIADF557,RIADF558,RIADF559,RIADFT29,RIADFT30,RIADFT31,RIADFT32,RIADJJ26,RIADJJ27,RIADJJ28,RIADT047,RIADY923,RIADY924,IDRSSD,RCON9999
2,3,20,1,,0,0,0,4,0,0,,,,,,0,0,0,0,false,4,0,0,0,0,2,4,5,4,5,6,0,4,6,0,0,0,0,,,,0,2,0,12656,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,12937,2017-06-30
292,,0,0,,615,119,,106,300,,,,,,,0,0,0,0,false,137,0,0,,123,,184,162,120,774,275,132,276,980,0,0,0,0,,,,,178,,12946,2017-06-30
532,,286,,,,,,255,326,403,,,,,,0,0,0,0,false,,0,0,,,,124,1479,264,122,,781,370,,0,0,0,0,,,,,,,13103,2017-06-30
6,,12,2,,,,,,,,,,,,,0,0,0,0,false,7,0,0,,,,5,23,13,,9,,,,0,0,0,0,,,,,7,,13251,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,13457,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,14052,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,185,0,264,0,0,173,0,0,0,0,0,,,,0,0,0,14155,2017-06-30
,,8,1,,13,,,,,,,,,,,0,0,0,0,false,8,0,0,3,26,,,32,20,40,17,,32,6,0,0,0,0,,,,,,,14650,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,14753,2017-06-30
119,,,,,108,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,497,,527,144,,,,0,0,0,0,,,,,,,14865,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,14977,2017-06-30
93,21,12,39,,,,,,50,48,,,,,,0,0,0,0,false,84,0,0,,67,22,43,286,66,310,35,40,245,57,0,0,0,0,,,,,19,12,16551,2017-06-30
0,0,20,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,26,0,0,107,0,60,47,0,47,0,0,0,0,0,,,,0,0,0,16748,2017-06-30
406,0,0,0,,0,0,0,1121,429,370,,,,,,0,0,0,0,true,0,0,0,0,0,0,0,926,209,0,0,0,0,0,0,0,0,0,,,,0,0,0,17110,2017-06-30
1343,0,0,0,,892,0,0,2428,1128,0,,,,,,0,0,0,0,false,902,0,0,0,3695,0,841,4174,0,7498,736,0,2213,763,0,0,0,0,,,,0,0,0,17147,2017-06-30
6,5,19,35,,1,,11,,,,,,,,,0,0,0,0,false,14,0,0,1,38,3,73,,21,,,,,,0,0,0,0,,,,,,,17259,2017-06-30
0,0,8,79,,184,68,0,1050,0,0,,,,,,18000,0,-25289,0,true,125,0,0,0,87,20,89,0,45,800,5,307,387,81,0,0,0,0,,,,0,0,0,17464,2017-06-30
103,,,,,,109,,,,,,,,,,0,0,0,0,false,,0,0,,,,,301,,,,,,,0,0,0,0,,,,,,,17950,2017-06-30
5,,64,,,29,2,,51,47,4,,,,,,0,0,0,0,false,31,0,0,7,,11,19,166,23,65,36,,6,31,0,0,0,0,,,,2,-12,21,17978,2017-06-30
0,0,144,0,,0,0,0,188,147,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,111,0,0,956,0,0,357,365,0,0,0,0,,,,0,0,0,18050,2017-06-30
0,0,0,0,,0,0,0,278,0,0,,,,,,0,0,0,0,false,0,0,0,0,81,0,0,211,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,18135,2017-06-30
676,0,168,0,,344,278,150,457,0,0,,,,,,0,0,0,0,false,178,0,0,0,299,0,0,1058,0,809,235,186,494,255,0,0,0,0,,,,0,0,0,18827,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,384,0,145,0,0,0,0,0,0,0,0,,,,0,0,0,18836,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,18854,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,19356,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,252,167,,,,,250,,0,0,0,0,,,,,,,19936,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,19972,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,,,,200,,,,0,0,0,0,,,,,,,20053,2017-06-30
104,419,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,103,,,545,,204,,,,,0,0,0,0,,,,,320,,20633,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,20857,2017-06-30
,1,9,11,,,,,,,,,,,,,0,0,0,0,false,,0,0,,5,2,,20,1,,,,,2,0,0,0,0,,,,,,,21256,2017-06-30
