RIAD3582,RIAD3583,RIAD3584,RIAD3585,RIAD3588,RIAD3589,RIAD3590,RIAD3591,RIAD4266,RIAD4267,RIAD4608,RIAD4617,RIAD4618,RIAD4627,RIAD4628,RIAD4635,RIAD4638,RIAD4643,RIAD4644,RIAD4645,RIAD4646,RIAD4652,RIAD4653,RIAD4654,RIAD4655,RIAD4658,RIAD4659,RIAD4662,RIAD4663,RIAD4664,RIAD4665,RIAD4668,RIAD4669,RIAD5409,RIAD5410,RIAD5411,RIAD5412,RIADB512,RIADB513,RIADB514,RIADB515,RIADB516,RIADB517,RIADC217,RIADC218,RIADC234,RIADC235,RIADC388,RIADC880,RIADC891,RIADC892,RIADC893,RIADC894,RIADC895,RIADC896,RIADC897,RIADC898,RIADF185,RIADF187,RIADF188,RIADK129,RIADK133,RIADK205,RIADK206,IDRSSD,RCON9999
,,0,0,0,0,,,0,0,0,,,0,0,419,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,219,104,0,0,4,20,,,0,0,84,0,92,0,0,0,,,,,,,,18836,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,17,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,17,7,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,18854,2010-06-30
,,1,0,0,0,,,0,0,6,,,0,1,52,7,0,1,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,32,1,0,0,11,0,,,0,0,0,0,0,0,0,0,,,,,,,,18957,2010-06-30
,,0,0,0,0,,,0,0,13,,,0,0,3,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,3,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,19356,2010-06-30
,,0,0,4,2,,,0,0,1,,0,0,71,15124,417,0,134,,0,0,,0,0,,,0,,0,0,,,0,0,1848,56,,,0,0,4,39,0,2,26,51,,,3992,0,5737,0,2141,3,770,6,0,0,,,,,,19730,2010-06-30
,,529,0,0,0,,,0,0,0,,,0,5,1287,18,0,8,,,,,,,,,,,,,,,0,0,0,0,,,0,0,15,4,3,0,250,0,,,0,0,260,0,0,0,207,0,,,,,,,,19936,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,19972,2010-06-30
,,0,0,0,0,,,0,0,28,,,0,1,370,119,0,3,,,,,,0,,,,,,0,,,0,0,39,4,,,1,0,3,10,0,0,31,0,,,0,20,90,0,84,0,0,0,,,,,,,,20053,2010-06-30
,,0,0,379,0,,,0,0,98,,,0,0,2342,58,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,7,2,16,200,351,,,490,49,429,0,275,8,160,0,,,,,,,,20370,2010-06-30
,,0,0,0,0,,,0,0,1,,,0,0,26,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,26,14,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,20512,2010-06-30
,,0,0,0,0,,,0,0,55,,,0,0,10,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,2,3,5,0,8,0,,,0,0,0,0,0,0,0,0,,,,,,,,20633,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,5,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,5,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,20857,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,2417,6,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,10,4,597,0,,,1802,0,0,0,12,0,0,0,,,,,,,,20866,2010-06-30
