"IDRSSD"	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	RIADF184	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	NONINT INC FOR QTR FROM SALE 1-4 MTG	
287650										
287856										
287922										
287959										
288152										
288358										
288376										
288853	17150	33	0	0	16148	29	6809	23	180	
289056										
289225										
289449										
289515	0	0	0	0	0	0	0	0	0	
289702										
289739										
289757										
290052	10170	0	0	0	10989	0	800	0	172	
290230										
290249										
290838										
290922										
291059										
291152										
291273										
291330	0	0	0	0	0	0	0	0	0	
291611	0	0	0	0	0	0	0	0	0	
291732										
292234										
292467										
292524										
292850										
292908										
293026										
293053										
293352										
293437										
293651										
293736										
293754										
294023										
294153										
294256	0	0	13508	243	15348	299	1644	25	252	
294564	39463	1060	3519	0	47408	1167	9024	0	-29	
294751										
294779										
294827										
295011										
295057										
295356										
295552	102485	457	14200	112	114664	41	71390	363	848	
295637										
295646										
295758										
296438										
296456										
296559										
296755										
296858										
297042	0	0	0	0	0	0	0	0	0	
297051	0	0	0	0	0	0	0	0	0	
297257										
297453										
297547										
297631										
297761										
298049										
298218										
298245										
299046	17134	0	0	0	16644	0	3669	0	286	
299251										
299644										
299653										
299868										
300009										
300036	20362	0	0	0	20362	0	0	0	516	
300063										
300157										
300250										
300353										
300456										
300531										
300933										
300942										
300960	29006	633	0	0	29581	1121	8250	48	318	
301640										
301800	32863	0	0	0	34436	0	1642	0	810	
302030										
302133										
302450										
302553										
302656										
302665										
303550	14761	404	0	0	16143	492	1063	72	273	
303653										
303701										
303747										
303952										
304155										
304173										
304520										
304762										
304913										
305059										
305152										
305237										
305433										
305442										
305648										
305750										
306056										
306140										
306159										
306337										
306739										
306908										
307062										
307334										
307361										
307679	28178	798	0	0	29284	820	17848	78	421	
307745										
307932										
307950										
308247										
308256										
308340										
308443										
308649										
308836										
309150										
309570	213698	6931	23323	0	274938	11895	54155	240	1429	
309655										
309758										
309851										
310437										
310727	86359	0	0	0	102504	0	19572	0	1018	
310754										
310875										
310950										
310978	52060	0	0	0	50326	0	10462	0	745	
311050										
311144										
311256										
311265										
311452										
311603										
311649										
311658										
311845	249800	162	0	0	248400	121	21400	41	14728	
311939										
312244										
312356										
312431										
312730	0	0	0	0	0	0	0	0	0	
313009										
313157										
313223										
313241										
313401										
313531										
313577										
314033										
314257										
314444										
315339	0	0	10241	29	9583	29	2025	0	219	
315357										
315629	7940	0	0	0	5636	0	15918	0	0	
315656										
315674										
315852										
316354										
316840	44174	0	0	0	55817	0	4430	0	903	
316859										
316916	0	0	0	0	0	0	0	0	0	
316934										
317100										
317258										
317342	16646	0	0	0	18283	57	3096	0	359	
317650										
318639										
318835										
319047										
319458										
319542										
319551										
320034										
320052										
320070										
320119	0	0	0	0	0	0	0	0	0	
320155										
320856										
321152										
321255										
321330										
321536	0	0	21794	0	26300	0	1788	0	557	
321947										
322056	11607	0	0	0	11011	0	1534	0	211	
322449										
322476										
322551										
322757										
322850										
323035										
323204										
323651										
323718										
324153										
324229										
324256										
324274										
324340										
324649										
324854										
324863										
324975										
325141										
325459										
325534										
325824										
326054										
326344										
326858	2304	0	0	0	1722	0	1133	0	36	
326979										
327015										
327220										
327305										
327435										
327453										
327556										
327855										
327949	9542	61	0	0	10312	61	333	0	132	
328058										
328151										
328357										
328423										
328450										
328553										
328656										
328777										
329149										
329345										
329550	2050	0	334814	7475	350509	12857	64989	5634	66	
329578										
329756										
329952										
330239										
330248										
330453										
330855	9830	0	0	0	11029	24	1208	0	173	
330873										
330949										
331106										
331375										
331544										
331553										
331713										
332055										
332224	0	0	0	0	0	0	0	0	0	
332345										
332402										
332756										
333034										
333043	0	0	0	0	0	0	0	0	0	
333052	0	0	0	0	0	0	0	0	0	
333203										
333650										
333856										
333940										
334255										
334264	0	0	0	0	0	0	0	0	0	
334648										
334657										
335346										
335355										
335757										
336071										
336147										
336361										
336576										
336950										
337247										
337340										
337733										
338178										
338646										
338758										
338851										
338945										
339054										
339353										
339456										
339607										
339773										
339858	287972	0	0	0	330741	0	73488	0	9097	
339951	4996	49	0	0	5251	0	965	49	0	
340135										
340144										
340256										
340443										
340555										
340649	0	0	0	0	0	0	0	0	0	
340742										
340751										
