"IDRSSD"	RCFD1248	RCFD1249	RCFD1250	RCFD1251	RCFD1252	RCFD1253	RCFD1254	RCFD1255	RCFD1256	RCFD1257	RCFD1258	RCFD1259	RCFD1271	RCFD1272	RCFD1583	RCFD1594	RCFD1597	RCFD1658	RCFD1659	RCFD1661	RCFD1791	RCFD3505	RCFD3506	RCFD3507	RCFD3529	RCFD3530	RCFD5377	RCFD5378	RCFD5379	RCFD5380	RCFD5381	RCFD5382	RCFD5389	RCFD5390	RCFD5391	RCFD5459	RCFD5460	RCFD5461	RCFD5612	RCFD5613	RCFD5614	RCFD5615	RCFD5616	RCFD5617	RCFD6558	RCFD6559	RCFD6560	RCFDB575	RCFDB576	RCFDB577	RCFDB578	RCFDB579	RCFDB580	RCFDC226	RCFDC240	RCFDC241	RCFDC410	RCFDC411	RCFDC866	RCFDC867	RCFDC868	RCFNB572	RCFNB573	RCFNB574	RCON1226	RCON1227	RCON1228	RCON1248	RCON1249	RCON1250	RCON1254	RCON1255	RCON1256	RCON1271	RCON1272	RCON1583	RCON1594	RCON1597	RCON1606	RCON1607	RCON1608	RCON1658	RCON1659	RCON1661	RCON1791	RCON2759	RCON2769	RCON3492	RCON3493	RCON3494	RCON3495	RCON3499	RCON3500	RCON3501	RCON3502	RCON3503	RCON3504	RCON3505	RCON3506	RCON3507	RCON3529	RCON3530	RCON5380	RCON5381	RCON5382	RCON5389	RCON5390	RCON5391	RCON5398	RCON5399	RCON5400	RCON5459	RCON5460	RCON5461	RCON5612	RCON5613	RCON5614	RCON5615	RCON5616	RCON5617	RCON6558	RCON6559	RCON6560	RCONB575	RCONB576	RCONB577	RCONB578	RCONB579	RCONB580	RCONB834	RCONB835	RCONB836	RCONC226	RCONC229	RCONC230	RCONC236	RCONC237	RCONC238	RCONC239	RCONC240	RCONC241	RCONC410	RCONC411	RCONC866	RCONC867	RCONC868	
77253																																																																	0	0	0									0	0	0	3	0	0	0	0	0		0	0	0	0	0	0	0	0	0	244	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	4	0	0	0	0	0	0	270	0	7	0	0	0	0	0	0	0	0	
77347																																																																	0	0	0												10	4	44	0	0	0		0	0	0	0	0	0	0	0	0	180	0	48	0	0	0						0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316	2	111	0	0	0	0	1156	110	294	0	0	0	0	0	166	0	0	0	0	
77422																																																																	0	0	0												0	0	0	0	0	0		0	0	999	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	999	0	0	0	0	
77758																																																																	0	0	0	0	0	0	0	0	0	0	0	0	390	0	446	32	381	0	0	0	0	0	0	0	53	0	0	0	0	0	19	4	0	126	49	127	0	0	0	0	0	0	0	0	10	0	0	1944	0	0	0	0	160	0	0	160	0	0	0	838	329	843	349	73	0	0	0	0	0	0	0	425	0	18	33	0	0	160	0	0	0	0	
77851																																																																	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	143	100	0	0	0	0	0	0	0	0	0	0	0	0	0	572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	18	0	0	0	0	0	0	0	0	0	0	0	188	84	0	426	47	54	0	0	0	0	240	0	122	135	36	0	0	0	0	0	0	0	0	
78036																																																																	0	0	0												788	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	506	214	0	0	0	0	0	0	0	0	0	
78054																																																																	36	0	17									0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
78157																																																																	0	0	0												43	0	0	0	0	0		209	0	0	0	0	0	0	0	0	49	0	0	0	0	0						0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	24	9	0	0	0	0	0	0	0	0	0	
78241																																																																	0	0	0									0	0	0	41	27	0	0	0	0		0	0	0	0	0	0	0	0	0	17	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	7	36	0	0	0	0	23	0	23	9	0	0	0	0	0	0	0	0	0	
78559																																																																	0	0	0									0	0	0	129	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	35	1	0	0	0	0	0	0	235	0	0	0	0	0	0	0	0	0	0	
78643																																																																	0	0	0												35	0	870	0	0	30		0	0	0	70	0	0	0	0	0	9	0	932	0	0	0						0	0	0	0	0	0	14	0	3	0	0	0	0	0	0	0	0	0	12	7	0	245	97	15	0	0	0	0	56	17	262	0	0	0	0	0	975	0	0	0	0	
78858																																																																	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	638	0	0	0	0	0	0	0	0	153	25	0	5	0	0	0	0	0	0	0	0	0	0	117	0	0	174	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	39	32	1	0	0	185	0	0	0	0	
79042																																																																	0	0	0												37	0	0	0	0	0		85	106	0	0	0	0	19	0	0	0	81	0	0	0	0						0	0	0	588	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	46	0	0	0	0	169	0	1554	223	13	116	0	0	36	0	0	0	0	
79127																																																																	0	0	0												77	0	55	56	31	0		0	0	0	0	0	0	0	0	0	7	9	498	0	0	0						0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	242	31	56	0	0	0	0	216	0	471	139	0	0	0	0	0	0	0	0	0	
79145																																																																	0	0	0												136	0	91	0	0	0		3563	0	0	0	0	0	0	0	75	321	0	0	0	0	0						0	0	0	44	0	8	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	28	0	42	0	0	0	0	237	0	991	0	52	0	0	0	915	0	0	0	0	
79257																																																																	0	0	0									0	18	111	90	0	0	0	0	0		0	0	0	267	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	19	111	0	0	0	0	0	0	0	0	0	0	0	0	0	25	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
79855																																																																	0	0	0									0	0	0	873	0	259	0	0	0		95	0	0	0	0	0	417	0	0	96	0	1791	0	0	0						0	0	0	0	0	0	1	0	0	198	0	0	149	0	0	0	0	0	0	0	0	36	0	12	0	0	0	0	0	0	521	0	19	0	0	0	0	0	0	0	0	
80020																																																																	0	0	0												0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	
80150																																																																	0	0	0									0	0	0	106	280	42	0	0	0		0	0	0	272	0	10	0	0	0	296	0	490	0	0	0						0	0	0	0	0	0	69	0	0	18	0	0	16	0	0	0	0	0	0	0	0	176	17	5	0	0	0	0	154	0	253	23	0	0	0	0	0	0	0	0	0	
80431																																																																	0	0	0												0	0	0	0	0	0		0	0	9	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	69	0	0	0	0	205	18	197	0	0	0	0	0	155	0	0	0	0	
80552																																																																	0	0	0									0	0	0	113	17	18	0	0	0		0	0	0	121	0	0	0	0	0	0	219	0	0	0	0						0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	23	0	5	0	0	0	0	0	0	105	164	0	0	0	0	0	0	0	0	0	
80936																																																																	0	0	0												78	51	379	0	0	0		569	0	141	0	0	0	0	254	0	156	0	1498	0	0	0						0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	1	10	0	0	0	0	46	189	1570	0	0	0	0	0	0	0	0	0	0	
81054																																																																	0	0	0												28	0	150	0	0	0		391	0	0	0	0	0	0	0	0	0	0	43	0	0	0						0	0	0	176	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	368	86	0	0	0	0	0	0	0	0	0	0	
81429																																																																	0	0	0												257	0	281	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	2	0	0	0	0	5	0	39	0	0	0	0	0	4	0	0	0	0	
82033																																																																	0	0	0												0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
82257																																																																	0	0	0									0	0	0	0	0	0	0	0	0		0	0	0	4	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
82350																																																																	0	0	0									54	15	0	6	0	46	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	15	0	54	0	0	0	0	0	0	0	0	0	0	0	0	28	12	3	0	0	0	0	191	0	29	11	0	0	0	0	0	0	0	0	0	
82659																																																																	0	0	0									0	0	0	42	0	90	0	0	0		0	0	0	11	234	0	0	0	0	0	62	175	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	6	0	0	0	0	29	26	57	26	0	0	0	0	0	0	0	0	0	
83151																																																																	0	0	0												42	0	13	0	0	0		0	0	0	0	0	0	0	0	0	342	0	0	0	0	0						0	0	0	210	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	70	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	
