"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	
613222	12555	0	443	5949	0	7971	0	0	0	0	0	0	87568	0	7293	17272	7419	21443	36297	3446	14599	11951	0	0	4047	10552	4586	2258	2593	9358	3450	1871	7528	80183	0	92	
613334	4032	4	2431	3362	0	9983	0	0	0	0	0	0	13207	0	507	2548	2271	6479	148	750	5636	2087	0	0	2132	3550	730	67	767	1420	361	0	7466	12700	82	0	
613343	33738	0	1984	23459	0	40682	0	0	1004	0	1004	0	104416	0	7486	19513	753	49659	1506	8057	40880	18147	1004	0	15702	25279	7772	906	6206	11941	1266	100	38675	96520	23	410	
613400	112878	0	0	19618	0	34876	0	0	0	78719	78719	0	875770	0	64061	238483	0	313301	211108	61170	279000	227268	0	78719	120413	158587	32660	1641	132203	95065	11215	0	34876	811709	0	0	
613464	3616	0	0	450	0	450	0	0	0	0	0	0	108741	0	1530	5302	0	91648	8175	245	71505	5302	0	0	13774	57731	18442	1701	754	4548	0	0	450	35341	0	71870	
613558	39595	0	9939	18076	0	36603	0	0	0	0	104936	0	675405	0	79196	253051	32526	182791	199968	14805	145198	193872	0	56796	54022	91176	34815	2778	76114	117758	34794	24385	26664	596209	0	0	
613754	2032	0	116	3113	0	6046	0	0	0	0	0	0	17796	0	555	6004	489	8648	1112	881	6762	4265	0	0	2692	4088	1505	363	1367	2898	1739	0	5930	17241	0	0	
613839	9670	5	12395	22155	0	60314	0	0	0	0	0	0	104270	0	6300	25310	17415	47261	22029	9531	31691	17477	0	0	7879	23822	10391	5169	4986	12491	3508	4325	47688	97970	226	0	
613950	73888	29	867	261369	0	345193	0	0	0	0	0	0	251313	0	7748	39202	867	110235	27988	9292	80617	34420	0	0	21713	58904	24801	4817	5603	28817	2384	2398	332670	243565	11627	0	
614256	2749	0	968	4552	0	9421	0	0	990	0	990	0	28351	0	11228	10623	10448	11560	3419	2253	8271	10082	990	0	2060	6211	2679	610	6435	3647	200	341	8297	16976	156	147	
614313	72343	46	1512	12861	0	20541	0	0	8789	14992	23781	0	335976	0	40482	67869	34793	139994	55770	24899	111109	53769	7337	12322	32965	78898	25175	2956	23083	30686	13458	642	18811	279663	172	15831	
