"IDRSSD"	RCFDF066	RCFDF067	RCFDF068	RCFDF069	RCFDF070	RCFDF071	RCFDF072	RCFDF073	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	
138051																	
138163																	
138211									3669	0	0	0	4948	0	444	0	
138257																	
138350																	
138556																	
138725																	
138752																	
139133																	
139432									0	0	0	0	0	0	0	0	
139478																	
139544																	
139553																	
139656									24966	167	13228	545	38415	1312	10031	436	
139740									2224	0	0	0	2388	0	136	0	
139834																	
139843																	
139955																	
140018									14197	20	881	0	15349	20	4814	0	
140157																	
140362									0	0	0	0	0	0	0	0	
140634																	
141211																	
141341																	
141350																	
141453																	
141556									4686	469	0	0	4709	469	194	0	
141734									0	0	0	0	0	0	0	0	
141958																	
142049																	
142656																	
142955									34487	2305	330519	7365	371970	8158	96206	2196	
143158																	
143653																	
143662									58243	336	0	0	61141	336	16053	0	
143859																	
143952																	
144034																	
144043									9443	0	0	0	8672	0	4961	0	
144052																	
144155																	
144436																	
144856																	
144913																	
145059																	
145545																	
145554																	
145741																	
145750																	
145844																	
145956																	
146056																	
146458																	
146533																	
146618																	
146654																	
146663																	
146850																	
147053																	
147174									8879	282	0	0	10054	282	3896	0	
147633																	
147651																	
147679																	
147839																	
147857																	
147923																	
148144																	
148238																	
148340																	
148715																	
148809																	
148920																	
149150																	
149235																	
149253																	
149271																	
149945																	
150035																	
150044																	
150071									11055	1476	0	0	38793	1476	7219	0	
150156																	
150334																	
150352																	
150727																	
150754																	
151331																	
151546																	
151555																	
151751																	
151818																	
151957																	
152048																	
152057																	
152235																	
152253																	
152431																	
152440																	
152673																	
152851																	
153054																	
153353																	
154154																	
154257																	
154770																	
155245																	
155263																	
155441																	
155517																	
155759																	
156457																	
156635																	
156877																	
156916									0	0	0	0	0	0	367	0	
156952																	
157155																	
157379																	
157650																	
157744																	
157838																	
157856																	
157904																	
158554																	
158741																	
158750																	
158947																	
158974																	
159243																	
159476																	
159636																	
159645																	
159953																	
160360																	
160454																	
160557																	
160614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
160650																	
160959									7285	0	0	0	7046	0	1336	0	
161031																	
161107																	
161273																	
161433																	
161602									0	0	2978	0	3229	0	85	0	
162337																	
162878																	
163343																	
163370																	
163549									12727								
163745																	
163857																	
164032																	
164153																	
164331																	
164377																	
164854																	
164957																	
164975																	
165039																	
165628									25300	0	0	0	21980	0	11603	738	
165758																	
165806																	
166111																	
166531																	
166652																	
166803									0	0	0	0	0	0	0	0	
166849																	
167060																	
167453																	
167556																	
167565																	
167752																	
167855																	
167864																	
168366																	
168441																	
168571																	
168731																	
169073																	
169233																	
169327																	
169354																	
169653									40332	358	218776	21805	382348	19388	181344	21479	
169756																	
169952																	
170051																	
170257																	
170332																	
170640																	
170716									5775	0	0	0	4099	0	2745	0	
170976																	
171133																	
171348																	
171656																	
171759																	
171768									0	0	24045	0	22799	0	3429	0	
172158																	
172251																	
172457																	
172747																	
172804																	
172840																	
172859																	
173306																	
173342																	
173548																	
173557																	
173575																	
173641																	
173959																	
174321																	
174367																	
175056																	
175140																	
175458																	
175609																	
175672																	
176053																	
176101																	
176325																	
176437																	
176464																	
176642																	
177135																	
177443																	
177500																	
177546																	
177555																	
177751																	
177920																	
177957									38503	1648	0	0	37949	1569	9685	365	
178057																	
178150																	
178244																	
178271																	
178356																	
178851																	
179148																	
179335																	
179700																	
179755																	
180041																	
180078																	
180144																	
180201																	
180416																	
180443																	
180537																	
180649									11761	0	0	0	13884	0	3843	0	
180845																	
181347																	
181459																	
181758																	
181851																	
181963																	
182054																	
182157																	
182175																	
182353																	
182401																	
182652																	
182951																	
183042																	
183051																	
183154																	
183668																	
183770																	
183846																	
183958																	
184142																	
184245																	
184656																	
184759																	
184937																	
185037																	
185251																	
185448																	
185457																	
185859																	
186221																	
186548																	
186557																	
186650																	
186717																	
186744																	
186838																	
186856																	
187358																	
187451																	
187648																	
187947																	
188056																	
188430									3262	0	46828	876	52870	820	19221	775	
188449																	
188720																	
188739																	
188757																	
188917																	
188926																	
189044									10533	0	622	0	10061	0	2898	0	
189129																	
189352																	
189419									3304	0	0	0	2658	0	646	0	
189530																	
189549																	
189745																	
189820																	
189950																	
190246																	
190451																	
190554																	
190563																	
190639																	
190648																	
190947																	
190956																	
191355																	
191449																	
191663									0	0	0	0	0	0	0	0	
191805																	
191935																	
192147																	
192156																	
192558																	
192651																	
192857																	
193162																	
193247																	
193461																	
193537																	
193649																	
193809																	
194253																	
194440																	
194936																	
195072																	
195111																	
195157																	
195456																	
196257																	
196350																	
196743																	
196752																	
196800																	
197142																	
197254																	
197302																	
197357																	
197478									9643	0	0	0	8112	0	2683	0	
197740																	
197759																	
198046																	
198103																	
198149																	
198251																	
198831																	
198859																	
198961																	
199052																	
199137																	
199351																	
199436																	
199454																	
199463																	
199940																	
200042																	
200435																	
200640									21605	1000	0	0	20295	715	3158	347	
201049																	
201124																	
201254																	
201441																	
201638																	
201647																	
201834																	
202251																	
202514																	
202541																	
202550																	
202907									70131	8860	0	0	69269	8860	2619	0	
203052																	
203418																	
203575																	
203753																	
204004									7012	0	0	0	7012	0	0	0	
204237																	
204826																	
205159																	
205243																	
205346																	
205458																	
205542																	
205654									31347	0	0	0	26477	0	10349	0	
206156																	
206174																	
206772																	
206950																	
207041																	
207050																	
207452																	
207555																	
207564																	
207845																	
207872																	
207957																	
208057																	
208169																	
208244	71819	878	0	0	70999	919	16436	198	71819	878	0	0	70999	919	16436	198	
208347																	
208440																	
208459																	
208655																	
208927									0	0	0	0	0	0	0	0	
208972																	
209148																	
209335									13281	813	0	0	13935	1339	3200	79	
209362																	
209447																	
209559																	
209830																	
209858									723	0	0	0	681	0	42	0	
210238																	
210256																	
210434	4384	0	0	0	1415	0	0	0	4384	0	0	0	1415	0	0	0	
210443																	
210452																	
210555																	
211114																	
211338																	
211851																	
211954																	
212018																	
212120																	
212335																	
212344																	
212456																	
212465	3879	0	0	0	5089	0	1192	0	3879	0	0	0	5089	0	1192	0	
212522																	
213538																	
213912																	
213958																	
214414									6298				6431				
214722																	
214807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
214843																	
215130									0	0	0	0	0	0	0	0	
215251																	
215345																	
215354																	
215653																	
215662																	
215710																	
215756																	
215952																	
216164																	
216230																	
216445																	
216632																	
216922									17744	0	0	0	16123	0	4766	0	
217059																	
217620																	
218131																	
218261																	
218757																	
218775																	
218850																	
218878																	
219044																	
219138																	
219259																	
219343									24720	0	0	0	23011	0	3545	0	
219651																	
219857																	
220059																	
220527																	
220545																	
220844																	
221476																	
222053																	
222147									75725	687	0	0	75577	573	11394	114	
222156																	
222446																	
222558																	
222754																	
223238																	
223322																	
223331																	
223452																	
223751																	
223845																	
224178									258	0	0	0	280	0	190	0	
224552																	
224637									8773	468	0	0	11930	582	1119	46	
224655									9404	0	0	0	7913	0	3610	0	
224749																	
224954																	
225054																	
225157																	
225241																	
225250																	
225335																	
225559																	
225942																	
226659																	
226734																	
226752																	
226949																	
227151																	
227179																	
227357																	
227656																	
228000																	
228055																	
228158																	
228345																	
228952																	
229342																	
229427									0	0	0	0	0	0	0	0	
229454																	
229801									3541	0	0	0	1681	0	2985	0	
229913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
229940																	
229959																	
230254																	
230357																	
230423																	
230508																	
230535																	
230610																	
230740																	
230759																	
231149																	
231242									9924	150	0	0	16837	98	0	52	
231279																	
231336																	
232258																	
232744																	
232847																	
232856																	
233022																	
233031	2646765	0	3095857	193627	4709477	170060	2659153	152196	2646765	0	3095857	193627	4709477	170060	2659153	152196	
233246																	
233358																	
233442																	
233451																	
233527																	
233554																	
234056																	
234355									26856	0	41346	0	67981	0	16141	0	
234506																	
234645																	
234739									12015	0	0	0	14200	0	873	0	
234841																	
235017																	
235231																	
235316																	
235446																	
235521																	
235530																	
235558																	
235950																	
236050																	
236153																	
236256																	
236452																	
236519																	
236603																	
236706									0	0	0	0	0	0	0	0	
236751									94735	7144	0	0	87696	7476	24463	1312	
236957																	
237066																	
237150																	
237619																	
237936																	
237954																	
238045																	
238139																	
238241																	
238250																	
238737																	
238755																	
238812																	
239015																	
239042																	
239275									16576	0	0	0	19074	0	2653	0	
239556																	
239613									0	0	0	0	0	0	0	0	
239640																	
239659																	
239752																	
240356																	
240459																	
240468																	
240954																	
241009																	
241157																	
241559																	
241607																	
242248																	
242257																	
242444																	
242949																	
242958																	
243375																	
243414																	
243647																	
243955																	
244037																	
244149									44813	2581	0	0	45268	2250	9722	945	
244158																	
244251																	
245016																	
245276									33279	0	0	0	31259	0	10603	0	
245351																	
245557																	
245856																	
246022									13142	665	0	0	13249	651	3936	95	
246134																	
246237																	
246321																	
246451																	
246657																	
246947																	
246956																	
247140																	
247355																	
247449																	
247476																	
247551																	
247645																	
247711																	
247908																	
248147																	
248240									10255				9814		1041		
248352																	
248455																	
248633																	
248745																	
248950																	
248969																	
249153																	
249256																	
249304																	
249416																	
249546																	
249555																	
249564																	
249612									0	0	0	0	0	0	0	0	
249658																	
249872									0	0	0	0	0	0	0	0	
249957																	
250047																	
250113																	
250430																	
250850																	
251352																	
251558																	
251736									12824	0	0	0	13620	0	1116	0	
251745																	
251857																	
251969																	
252041																	
252256																	
252452																	
252658																	
252706									0	0	0	0	0	0	0	0	
252836																	
253262																	
253356																	
253440																	
253468																	
253646																	
253730																	
253776																	
254317																	
254504																	
254652																	
254670																	
254849																	
255136																	
255350																	
255547																	
255556																	
255659									14673	462	9790	370	26091	926	2681	90	
255873																	
256049																	
256058																	
256179																	
256553									13273	0	0	0	13769	0	2540	0	
256964																	
257233																	
257345																	
257466																	
257653																	
257756																	
257840																	
257868																	
258146																	
258306																	
258351																	
258379																	
258445									28586	394	0	0	28014	394	2084	0	
258539																	
258632																	
258771									146308	1091	88842	1718	234089	2365	50431	509	
259031									0	0	0	0	0	0	0	0	
259059																	
259330																	
259442																	
259518	5986504	205314	10767748	993284	20747865	2216064	7033000	853569	5986504	205314	10767748	993284	20747865	2216064	7033000	853569	
259657																	
259853																	
259956																	
260055									66874	0	0	0	60450	0	22643	0	
260149																	
260354																	
260831																	
260868																	
261070																	
261146																	
261258																	
261360																	
261904																	
261940																	
262059																	
262237																	
262358																	
262451																	
262741																	
262844																	
262956																	
263243																	
263551																	
263627																	
264156																	
264455																	
264558																	
264941																	
265340																	
265407																	
265452																	
265676																	
265948																	
266066																	
266244																	
266253																	
266271									0	0	0	0	1217	0	660	0	
266655																	
266851																	
266879																	
266945																	
267652																	
267737									19633	235	0	0	19633	235	0	0	
268042																	
268136																	
268257																	
268341																	
268556									21407				22128		4715		
268734																	
268828																	
268976																	
269049																	
269058																	
269478																	
269759																	
270036									0	0	0	0	0	0	0	0	
270148																	
270335																	
270353																	
270504																	
270531																	
270652																	
271136																	
271154																	
271275																	
271341																	
271529																	
271631																	
271743																	
271752																	
271855																	
272030																	
272058																	
272151																	
272218	17957	0	0	0	17887	0	4183	0	17957	0	0	0	17887	0	4183	0	
272245																	
272254																	
272272																	
272302																	
272870																	
273149																	
273251																	
273336																	
273523																	
273550																	
273653																	
273662																	
273840																	
273859																	
274025																	
274052																	
274164																	
274548																	
274641																	
274753																	
274829																	
274856																	
275116																	
275255																	
275358																	
275509																	
275657																	
275750																	
275769																	
276159																	
276355																	
276551																	
276579	76682	0	5981	0	81280	0	15332	0	76682	0	5981	0	81280	0	15332	0	
276645																	
276654																	
276711																	
276775																	
276850									4729	69	11977	880	18773	937	3974	113	
276953																	
277053																	
277240																	
277277																	
277558																	
277567																	
277736																	
277820																	
277950																	
278078																	
278153																	
278256																	
278555																	
278733																	
278751																	
278818																	
278957																	
279105																	
279338																	
279673																	
279842																	
279954																	
280044									9749	0	0	0	10234	0	558	0	
280110	370624	30074	0	0	2090052	274606	181590	17345	370624	30074	0	0	2090052	274606	181590	17345	
280138																	
280352																	
280558																	
280950																	
281144																	
281210																	
282048																	
282226																	
282329									38254	702	191374	2662	228433	3369	42009	342	
282824																	
283054																	
283157																	
283438																	
283652																	
283737																	
283858																	
283867																	
284154																	
284239																	
284248																	
284332																	
284408																	
284556																	
284819									12644	0	0	0	11912	0	1857	0	
284958																	
285151																	
285348																	
285544																	
285553																	
285740																	
285759																	
285777																	
