"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	
602150																																	0	1176	192	3	4682		71		2929	0			8237	0	5620	0	0	29703	66	0			599	6859	0	4064	12861	4050	2014	615	118	62	0	11573	6125	2356	2182	666	0								0	0			0	0	
602356																																	0	23670	630	973	12209		16		0	0			2187	9108	1824	0	0	59232	72	0			0	7927	680	1186	23141	6251	550	764	112	250	0	22749	13208	8459	1646	3686	1626								0	80			0	0	
602543																																	0	1311	6472	0	6194		53		17033	0			9547	0	8508	0	334	67187	0	0			0	16539	853	0	22294	548	1680	4112	4614	5318	225	18929	4130	10266	10559	6763	1								342	1			0	0	
602842																																	0	0	701	0	161		10		839	0			243	0	173	0	0	2460	0	0			0	333	0	209	1966	139	181	13	0	0	0	842	804	477	4	0	0								0	0			0	0	
603232																																	0	0	193	0	574		35		4867	0			1886	0	5527	0	0	16128	0	150			0	2896	0	0	10577	489	2121	89	130	26	0	3456	4511	2411	1441	1279	0								0	0			0	0	
603540																																	0	932	6716	0	9660		12		1735	0			4479	505	3567	0	1963	48437	0	0			0	17057	1647	1139	20703	1139	3523	8860	777	500	2143	6022	10019	10753	4307	252	0								82	82			0	0	
603559																																	0	951	2647	0	770		0		2107	85			3151	0	1769	0	0	15457	0	2			0	4030	30	229	4742	109	579	760	1635	698	226	4514	1891	2905	1438	418	33								0	0			0	0	
603755																																	0	175	3632	0	1456		13		398	0			845	0	1401	0	0	14095	2	0			0	5871	306	1116	2671	159	1777	603	749	2336	247	788	2725	1584	1505	1437	187								0	0			0	0	
603951																																	0	1456	7101	2119	6870		74		11290	0			4005	206	1937	0	587	52857	0	0			0	17148	7	380	18944	1076	2605	5891	7473	103	0	11696	5443	10597	7201	765	0								0	57			0	0	
604024																																	0	9253	13825	7367	48948		40		4149	0			23039	10486	6208	0	850	164496	2	0			467	37096	3079	32388	17022	3996	17964	7497	3625	1139	2875	38133	29689	21943	25675	11208	754								0	158			0	0	
604033																																	0	88	722	0	253		7		640	0			759	0	1007	0	25	6451	0	0			0	2925	25	0	1947	376	483	1225	841	0	0	904	372	792	913	9	536								0	0			0	0	
604453																																	0	1461	64	0	1326		0		19	0			10207	0	834	0	0	18514	0	0			0	4603	0	2945	7919	2887	1272	140	9	164	131	4770	4564	2210	1587	780	0								0	0			0	0	
604547																																	0	0	7683	0	3008		142		18634	0			3306	394	2391	0	329	45468	0	0			0	9333	248	7951	13112	0	1250	422	6295	1366	0	14641	3605	5468	9997	2274	30								0	0			0	0	
604556																																	0	29561	1108	4300	26568		192		2384	217			17832	2198	3783	0	982	132256	0	0			512	36539	6809	5487	26667	4874	783	4232	5197	16015	5438	17663	19330	19671	19327	13603	5542								0	0			0	0	
604640																																	0	296	832	0	2022		0		3696	0			1804	0	1060	0	475	14993	0	0			0	4568	240	0	5300	0	980	990	2442	0	0	3713	1406	1466	3674	166	0								0	0			0	0	
605058																																	0	6174	602	0	16157		14		208	0			4323	2559	1367	0	2226	49897	0	0			0	14556	1675	7558	8326	1616	3280	5024	372	1633	2631	4195	7560	14520	3978	2050	3036								0	36			0	0	
605133																																	0	105627	0	1	138503	0	208	208	0	0	41309	0	41309	8152	1830	0	0	321427	795	0	0	0	3185	22630	3926	1826	90126	1826	447	9654	9268	764	671	135174	12591	52256	92610	5334	33	0	0	0	0	0	0	0	0	36	2703		0	0	
605610																																	0	2262	0	1745	19051		263		2074	0			6481	2708	1244	0	0	96484	58	0			0	55149	5476	4203	9454	1145	605	751	496	16166	35920	7928	4246	2745	1874	13980	10619								0	89			0	0	
605656																																	0	61831	15233	6175	64271	0	1349	1349	4973	0	17006	0	17006	2279	18523	0	4681	254212	0	0	0	0	0	44034	12813	17495	94526	12075	13060	9093	5986	1624	1510	65438	46959	42979	32986	20532	1172	0	0	0	0	0	0	0	1044	0	0		0	0	
606046																																	0	875214	213084	143132	2283150	4529	11891	7362	69258	3	883919	0	883919	332031	327956	0	26445	7971266	0	292736	292736	0	752	2150104	259986	341411	1496531	1124346	394851	442323	147138	36644	1168	3047124	1070097	1198753	398763	99309	3169	0	0	0	0	0	0	0	89548	12812	175		0	0	
606073																																	0	148	0	1372	5741		2		0	0			0	1670	3995	0	0	77005	74	0			0	63816	335	0	116	1	14	3556	1875	21115	36604	41	60	1006	2108	4859	4886								0	0			0	0	
606653																																	0	2808	53304	556	56812	0	1695	1695	56982	0	40131	0	40131	714	9648	0	381	237351	0	0	0	0	0	11653	1656	1002	63859	798	2725	3898	4160	39	33	46301	57679	74111	43217	3808	351	0	0	0	0	0	0	0	683	328	0	0	0	0	
607146																																	0	6593	4742	1711	15198		229		21413	0			17720	109	6884	0	1360	82204	0	153			0	5640	452	0	44286	239	994	3573	739	38	0	35091	9195	23593	6789	108	496								0	0			0	0	
607333																																	0	47969	657	24017	62965		25		154	0			15537	10710	2122	0	647	198460	0	0			0	32051	1565	3399	85553	3733	3182	11339	5638	968	7135	87110	5642	40828	26188	6134	60								0	41			0	0	
607511																																	0	32702	2578	2586	80909		52		4037	0			47671	9293	4062	0	1727	212631	0	41			0	24094	2675	7414	49959	3469	8580	7878	1906	1243	898	108736	14422	28397	21327	12963	2637								0	204			0	0	
608358																																	0	0	6949	0	508		41		9412	0			1030	0	1190	0	13	20353	0	0			0	1021	0	445	8158	444	64	205	280	0	0	13983	264	2155	2466	0	0								189	0			0	0	
608367																																	0	1950	421	277	3929		15		945	0			2753	0	5214	0	0	26937	0	0			0	10527	906	10051	4950	410	1437	5581	888	1200	1011	2106	4465	4760	3818	925	324								0	0			0	0	
608451																																	0	1237	760	98	5316		39		635	0			1366	0	2574	0	0	18699	0	0			0	6599	75	6082	3589	1205	4827	139	422	6	0	2060	6172	2259	1470	66	0								0	0			0	0	
608844																																	0	15703	2017	8571	37107		230		0	0			2131	20920	1089	0	3411	146386	0	0			0	52321	2602	5843	32361	7469	11490	11509	9585	6241	6027	34550	15067	19874	19526	5048	0								284	0			0	0	
609010																																	0	37708	3540	1951	49387		152		297	0			14385	4173	6078	0	0	182079	303	0			0	53719	10933	2133	54212	3201	3111	14936	19349	8455	4560	43382	8760	24965	37047	8844	5201								0	59			0	0	
609373																																	0	1967	0	1552	21128		20		0	0			2140	10724	4096	0	0	100267	0	0			0	56977	1652	3572	2813	260	819	991	630	29043	25234	11989	5213	8643	10443	5702	1300								0	11			0	0	
609467																																	0	79	0	20160	64076		1550		0	0			1846	0	0	0	0	89323	366	0			0	1807	171	1807	5245	1075	732	0	0	0	0	26684	15138	13101	21514	11445	0								0	0			0	0	
609609																																	0	0	0	0	170508		2479		0	0			16945	1281	0	0	0	203907	0	0			0	542	12152	542	7333	268	0	0	275	0	0	79156	8271	47098	63522	442	0								0	0			0	0	
609645																																	0	0	2290	0	391		149		2842	0			1988	0	939	0	0	10020	0	0			0	1421	0	1315	2729	0	80	376	2	544	419	4290	538	1021	532	948	1252								0	0			0	0	
609832																																	0	172	17367	58	2626		50		15807	0			7144	0	5257	0	259	61178	0	0			0	12274	164	0	22733	556	1697	4244	5564	64	0	13111	11297	10748	13585	73	0								0	0			0	0	
610128																																	0	29766	2902	2399	60650	0	141	141	3803	0	20024	0	20024	5648	96672	0	422	272400	1249	0	0	0	0	46831	2509	3596	70345	4290	9680	23510	8214	951	186	38200	38482	57969	60675	31319	55	0	0	0	0	0	0	0	1581	301	0		0	0	
610155																																	0	15539	679	2652	35866		43		126	0			15295	1011	5142	0	0	85625	58	0			2055	7353	1732	4084	20930	2260	979	2845	704	568	0	25882	11929	21192	9417	6287	3564								0	245			0	0	
610164																																	0	6771	23421	0	83988	0	581	581	28804	0	54829	0	54829	0	22387	0	1261	252906	1293	7972	7972	0	0	23169	476	5752	80560	6363	7462	4269	3103	1749	173	105556	32715	57844	24803	6248	2848	0	0	0	0	0	0	0	540	0	0		0	0	
610539																																	0	20	1611	0	7714		0		552	0			2682	0	2111	0	379	20714	0	0			0	5571	74	448	9244	17	646	1141	1106	2598	60	3007	5574	2586	2010	1949	0								0	0			0	0	
