"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ651	RCONJ652	RCONJ944	RCONJ945	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	AVG DAILY AMT NONINT ACTS GT 250K	AVG DAILY NBR NONINT ACT GT 250K	AMT NONINT ACTS GT 250K DODD FRANK A	NBR NONINT ACT GT 250K DODD FRANK AC	PB/PSA FDIC CERTIFICATE NUMBER	
199436																0	11538	965	795	3	108586	7225	16070	38	136989	0			0	0	0	0	0	0	0	0	0	6134	11.03	6475	11		
199454																0	1335	216	0	0	13237	1577	5286	5	19858	0			0	0	0	0	0	0	0	0	0			0	0		
199463																0	5707	254	353	1	121711	7688	37863	53	165633	0			0	0	0	0	0	0	0	0	0	5808	6.10	13960	13		
199940																0	12278	545	279	1	155258	6908	14179	38	181994	0			0	0	0	0	0	0	0	0	0	3877	10.38	1975	5		
200042																0	2378	300	0	0	21745	2794	3404	5	27526	0			0	0	0	0	0	0	0	0	0			0	0		
200435																0	26894	1173	5139	12	301376	23830	166088	200	499497	0			0	0	0	0	0	0	0	0	3741	22642	21.20	25631	23		
200640																0	17220	886	852	3	162909	13622	479607	1371	660588	0	689226	4	0	0	0	0	0	0	0	0	0	125512	148.11	117403	142		
201049																0	5457	198	267	1	73257	7698	18405	35	97386	0			0	0	0	0	0	0	0	0	0	1287	2.75	2516	5		
201254																0	5820	335	0	0	121665	9733	26526	50	154011	0			0	0	0	0	0	0	0	0	0	3839	6.00	6786	11		
201441																0	2745	116	0	0	51027	4417	17257	21	71030	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
201638																0	27765	1254	2192	4	247148	15034	41794	59	318899	0			0	0	0	0	0	0	0	0	0	16891	16.00	5399	9		
201647																0	10422	508	0	0	73846	8220	17366	31	101634	0			0	0	0	0	0	0	0	0	0	447	1.35	1394	3		
201834															317896	0	12194	1270	2077	5	510946	13446	391490	420	916708	0	933560	0	0	0	0	0	0	0	0	0	24737	133467	133.00	124565	111		
202251																0	5417	218	254	1	96304	6600	28768	71	130743	0			0	0	0	0	0	0	0	0	0	8013	15.81	5426	12		
202514																0	3759	259	703	2	92812	10131	28891	45	126165	0			0	0	0	0	0	0	0	0	0			10708	14		
202541																0	5705	530	1972	4	88648	8857	21297	40	117622	0			0	0	0	0	0	0	0	0	0	5084	10.2700	8657	13		
202550																0	11186	717	0	0	177156	10440	26516	57	214858	0			0	0	0	0	0	0	0	0	0			1375	4		
202907															763121	0	195239	14668	5235	15	2992444	383386	918613	1169	4111531	0	4106097	0	0	26	0	0	0	0	0	0	0	219298	363.00	179907	308		
203052																0	2776	374	0	0	39353	5181	10936	25	53065	0			0	0	0	0	0	0	0	0	0			4024	9		
203418																0	14345	1195	554	2	197039	27672	43188	61	255125	0			4295	0	0	0	0	0	0	0	0			15872	14		
203575																0	7473	337	639	2	60193	6457	3152	10	71458	0			0	0	0	0	0	0	0	0	0	3032	2.00	0	0		
204004															917941	0	317958	26477	13249	41	3249069	252310	1323218	1564	4903496	0	4946363	0	0	0	0	65363	0	0	0	0	0	167316	291.59	166860	293		
204237																0	11226	801	770	3	151365	11490	67583	68	230944	0			0	0	0	0	0	0	0	0	0	11043	20.00	3792	10		
204826																0	9789	685	0	0	138260	11637	43429	47	191478	0			4500	1456	1180	0	0	0	0	0	0	7182	4.95	7924	7		
205159																0	3500	137	0	0	25948	3057	6206	13	35654	0			0	0	0	0	0	0	0	0	0	748	1.79	1655	3		
205243																0	14804	602	1263	3	116009	11959	27910	41	159986	0			0	0	0	0	0	0	0	0	0	9905	12.25	3401	8		
205346																0	17302	848	955	3	147449	15317	37079	54	202785	0			0	0	0	0	0	0	0	0	4497	20626	20.0000	6907	14		
205458																0	3074	171	523	1	32790	4984	10290	25	46677	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
205542																0	9383	361	0	0	101340	7221	23336	38	134059	0			0	0	0	0	0	0	0	0	0			7488	11		
205654															202423	0	71019	6333	8032	19	888858	79742	396061	264	1363971	0	1400245	0	0	0	0	0	0	0	0	0	4136	52805	70.00	25475	40		
206156																0	2639	141	686	1	86031	8192	40165	60	129522	0			0	0	0	0	0	0	0	0	0	4476	7.00	4275	7		
206174																0	36781	1741	2059	7	156115	10028	52668	107	247623	0			0	0	0	0	0	0	0	0	0			1932	5		
206772																0	1515	145	0	0	71502	4787	28297	48	101314	0			0	0	0	0	0	0	0	0	0			1035	3		
206950																0	2002	96	0	0	18798	2834	5066	13	25866	0			0	0	0	0	0	0	0	0	0	1371	2.12	1101	2		
207041																0	2189	98	0	0	21379	3967	3180	4	26748	0			0	0	0	0	0	0	0	0	0	0	0.00	287	1		
207050																0	6639	457	0	0	156707	18006	69596	82	232942	0			0	0	0	0	0	0	0	0	12844			9389	14		
207452																0	7177	265	256	1	69770	7847	60395	69	137598	0			0	0	0	0	0	0	0	0	0	17131	30.28	14309	26		
207555																0	7871	502	0	0	90126	8320	19992	28	117989	0			0	0	0	0	0	0	0	0	0	3316	2.00	0	0		
207845																0	38680	2339	2062	7	407959	46357	218612	251	667313	0			0	0	0	0	0	0	0	0	0	38347	46.00	42701	54		
207872																0	7694	324	893	3	185945	10148	71729	77	266261	0			0	0	0	0	0	0	0	0	0	24182	30.83	34785	25		
207957																0	0	0	0	0	12714	1843	2171	4	14885	0			0	0	0	0	0	0	0	0	0			0	0		
208057																0	23487	1450	1320	4	258344	18603	127305	178	410456	0			0	0	0	0	0	0	0	0	0			17170	24		
208169															491148	0	21410	731	3528	10	623637	19713	751083	1031	1399658	0	1454040	0	0	0	0	0	0	0	0	0	23009	113830	199.00	103844	172		
208244	5507196	0	5458088	0	45177	0	0	4307	150000	0	0	0	0	0	874842	0	254612	17151	13349	39	3786341	441283	1452894	1774													0	380106	468.00	476383	497		
208347																0	5841	211	812	2	26829	2439	9657	15	43139	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
208440																0	4720	241	0	0	57921	5413	14178	27	76819	0			0	0	0	0	0	0	0	0	0	2693	8.00	1261	4		
208459																0	1195	201	278	1	31411	1788	25881	31	58765	0			0	0	0	0	0	0	0	0	0	1670	2.37	653	1		
208655																0	11024	548	312	1	149295	15581	17565	38	178196	0			0	0	0	0	0	0	0	0	0	6310	13.50	8033	19		
208972																0	13014	622	954	3	50305	3118	2852	9	67125	0			0	0	0	0	0	0	0	0	0			0	0		
209148																0	8137	540	568	2	203420	19250	49074	95	261199	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
209335																0	26210	848	2420	8	423294	21624	181833	240	633757	0			0	0	0	0	0	0	0	0	70026			21272	31		
209362																0	2296	128	459	1	32730	954	8742	19	44228	0			0	0	0	0	0	0	0	0	7113	4711	7.02	3403	7		
209447																0	6310	400	0	0	47679	5869	5979	16	59968	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
