"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF588	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF600	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF588	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF600	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RIADG377	
703552																																																										0	6523	12103		500	0			27161	0	9574	0	0	169928	1929	0	0	32484	2402	2432	46331	4118	4465	7655	8929	3329	3866	28361	26485	25636	23715	16030	18856								0	0			0	0	1587	10436	46872	22155			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		169928		0	60	0	0	0	0	0	0		
703767																																																										0	44397	8103	0	20604	0	73012	0	73012	28432	8643	0	419	431597	499	7887	1737	18671	11757	3548	102191	848	916	4838	2747	3473	2864	97020	68978	71540	73712	60919	25680	0	0	0	0	0	0	0	1089	1069	0		4082	2130	809	31229	111888	63627	1577	6310	0			0	95																									0	0	0	0	0	0	0	0	0	0	0	0		96585	460	0	460	0	0	0	0	0	0		
704326																																																										0	546	0		0	0			1186	0	18602	0	0	26193	13	0	0	3688	0	0	7821	146	411	289	1862	918	0	3473	3791	3530	6931	4793	0								0	0			0	0	0	0	2184	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0		
704447																																																										0	1362	3196		146	552			4846	118	776	0	764	31941	4	942	0	4954	545	1143	3433	126	93	456	1470	1322	1458	1416	3819	8957	6508	5007	1284								0	7			0	0	41	651	5268	8329			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0		
704559																																																										0	3360	22565	0	1940	10381	127835	0	127835	24963	33114	0	19303	795102	594	0	1227	95935	6700	71459	208268	11763	13731	30586	12718	3016	14602	195450	86223	198614	96927	105662	4100	0	0	0	0	0	0	0	1657	3979	0		55162	28792	23736	70284	210077	149605	0	0	0			5956	3409																									0	0	0	0	0	0	0	0	0	0	0	0	40195	357588	643	0	643	0	0	0	0	0	0	81	
704737																																																										0	8582	21990	0	0	1292	47475	0	47475	78146	2657	0	0	592875	453	0	0	94826	3351	16345	88324	9125	14776	26745	15376	13218	3879	109826	38256	130703	84312	81792	8267	0	0	0	0	0	0	0	0	3161	0		0	0	5174	58176	126918	135811	0	0	0			230	8800																									0	0	0	0	0	0	0	0	0	0	0	0		265158	7061	0	7061	0	0	0	0	0	0		
704755																																																										0	3707	21410	0	129	1915	17977	0	17977	6879	2786	0	809	403829	0	0	0	53029	2724	20524	116155	6748	10710	16976	14507	553	2419	100672	62205	69258	53915	3658	727	0	0	0	0	0	0	0	0	104	0		371921	253571	70776	45137	70482	107413	0	0	0			1034	1099																									6648	8527	0	0	0	0	0	0	0	0	0	0		230924	467	0	467	0	0	0	0	0	0		
705444																																																										0	9669	2669		24752	0			7475	0	6396	0	0	89990	0	0	0	21713	1232	535	48012	1934	5215	11389	806	1387	730	23714	18535	17674	5711	1525	446								309	0			0	0	1095	289	10198	4193			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		24511		0	0	0	0	0	0	0	0		
705556																																																										0	4534	1602		572	107			14733	7466	4528	0	1896	95357	0	1508	0	20375	1981	0	21038	721	2648	7904	6711	1323	132	8470	13560	21117	12829	8569	4514								94	218			0	0	1241	4570	24293	5708			0			372	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	38	0	0	0	0	0	0		
705565																																																										0	2299	45		3134	0			6085	0	4991	0	146	26542	36	0	0	4510	0	90	9066	14	133	428	287	2662	572	4168	5237	6880	3641	1541	402								0	0			0	0	157	891	0	4266			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	54	0	0	0	0	0	0		
705958																																																										0	5868	977		3062	1216			6313	5095	4524	0	922	59612	0	0	363	11397	1509	0	15576	539	2429	5275	997	668	786	10292	11209	14764	7187	3374	0								0	98			0	0	0	45	4774	15009			0			70	0																									0	0	0	0	0	0	0	0	0	0	0	0		10822		0	19	0	0	0	0	0	0		
706030																																																										0	1182	326		144	62			963	37	2183	0	0	14203	0	0	0	4729	47	0	4845	21	1267	716	2173	552	0	1369	2276	2011	1064	582	0								0	15			0	0	0	3272	1180	115			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	256	0		0	10	0	0	0	0	0	0	0	
