RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCFDJJ24,RCFDJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,42457,2012-06-30
,,,,,,,,,,,,,,,,,,,,42671,2012-06-30
,,,,,,,,,,,,,,,,,,,,43052,2012-06-30
,,,,,,,,,,,,,,,,,,,,43351,2012-06-30
,,,,,,,,,,,,,,,,,,,,43454,2012-06-30
,,,,,,,,,,,,,,,,,,,,43744,2012-06-30
,,,,,,,,,,,,,,,,,,,,43856,2012-06-30
,,,,,,,,,,,,,,,,,,,,43959,2012-06-30
,,,,,,,,,,,,,,,,,,,,44040,2012-06-30
,,,,,,,,,,,,,,,,,,,,44433,2012-06-30
,,,,,,,,,,,,,,,,,,,,44741,2012-06-30
,,,,,,,,,,,,,,,,,,,,44750,2012-06-30
,,,,,,,,,,,,,,,,,,,,44929,2012-06-30
,,,,,,,,,,,,,,,,,,,,45038,2012-06-30
,,,,,,,,,,,,,,,,,,,,45047,2012-06-30
,,,,,,,,,,,,,,,,,,,,45056,2012-06-30
,,,,,,,,,,,,,,,,,,,,45430,2012-06-30
,,,,,,,,,,,,,,,,,,,,45458,2012-06-30
,,,,,,,,,,,,,,,,,,,,45551,2012-06-30
,,,,,,,,,,,,,,,,,,,,45560,2012-06-30
,,,,,,,,,,,,,,,,,,,,45775,2012-06-30
,,,,,,,,,,,,,,,,,,,,46053,2012-06-30
,,,,,,,,,,,,,,,,,,,,46941,2012-06-30
,,,,,,,,,,,,,,,,,,,,47153,2012-06-30
,,,,,,,,,,,,,,,,,,,,47247,2012-06-30
,,,,,,,,,,,,,,,,,,,,47256,2012-06-30
,,,,,,,,,,,,,,,,,,,,47452,2012-06-30
,,,,,,,,,,,,,,,,,,,,47500,2012-06-30
,,,,,,,,,,,,,,,,,,,,48057,2012-06-30
,,,,,,,,,,,,,,,,,,,,48150,2012-06-30
,,,,,,,,,,,,,,,,,,,,48374,2012-06-30
,,,,,,,,,,,,,,,,,,,,48440,2012-06-30
,,,,,,,,,,,,,,,,,,,,49054,2012-06-30
,,,,,,,,,,,,,,,,,,,,49148,2012-06-30
,,,,,,,,,,,,,,,,,,,,49241,2012-06-30
,,,,,,,,,,,,,,,,,,,,49344,2012-06-30
,,,,,,,,,,,,,,,,,,,,49643,2012-06-30
,,,,,,,,,,,,,,,,,,,,49652,2012-06-30
,,,,,,,,,,,,,,,,,,,,49821,2012-06-30
,,,,,,,,,,,,,,,,,,,,49858,2012-06-30
,,,,,,,,,,,,,,,,,,,,49951,2012-06-30
,,,,,,,,,,,,,,,,,,,,50144,2012-06-30
,,,,,,,,,,,,,,,,,,,,50461,2012-06-30
,,,,,,,,,,,,,,,,,,,,50546,2012-06-30
,,,,,,,,,,,,,,,,,,,,50854,2012-06-30
,,,,,,,,,,,,,,,,,,,,50872,2012-06-30
,,,,,,,,,,,,,,,,,,,,50957,2012-06-30
,,,,,,,,,,,,,,,,,,,,51253,2012-06-30
,,,,,,,,,,,,,,,,,,,,51356,2012-06-30
,,,,,,,,,,,,,,,,,,,,51459,2012-06-30
,,,,,,,,,,,,,,,,,,,,51730,2012-06-30
,,,,,,,,,,,,,,,,,,,,51842,2012-06-30
,,,,,,,,,,,,,,,,,,,,52410,2012-06-30
,,,,,,,,,,,,,,,,,,,,52719,2012-06-30
,,,,,,,,,,,,,,,,,,,,52951,2012-06-30
,,,,,,,,,,,,,,,,,,,,53033,2012-06-30
,,,,,,,,,,,,,,,,,,,,53051,2012-06-30
,,,,,,,,,,,,,,,,,,,,53239,2012-06-30
,,,,,,,,,,,,,,,,,,,,53453,2012-06-30
,,,,,,,,,,,,,,,,,,,,53752,2012-06-30
,,,,,,,,,,,,,,,,,,,,54049,2012-06-30
,,,,,,,,,,,,,,,,,,,,54058,2012-06-30
,,,,,,,,,,,,,,,,,,,,54375,2012-06-30
,,,,,,,,,,,,,,,,,,,,54441,2012-06-30
,,,,,,,,,,,,,,,,,,,,54656,2012-06-30
,,,,,,,,,,,,,,,,,,,,54973,2012-06-30
,,,,,,,,,,,,,,,,,,,,55176,2012-06-30
,,,,,,,,,,,,,,,,,,,,55336,2012-06-30
,,,,,,,,,,,,,,,,,,,,55635,2012-06-30
,,,,,,,,,,,,,,,,,,,,55653,2012-06-30
,,,,,,,,,,,,,,,,,,,,55970,2012-06-30
,,,,,,,,,,,,,,,,,,,,56258,2012-06-30
,,,,,,,,,,,,,,,,,,,,56351,2012-06-30
,,,,,,,,,,,,,,,,,,,,56427,2012-06-30
,,,,,,,,,,,,,,,,,,,,56548,2012-06-30
,,,,,,,,,,,,,,,,,,,,56557,2012-06-30
,,,,,,,,,,,,,,,,,,,,56717,2012-06-30
,,,,,,,,,,,,,,,,,,,,57040,2012-06-30
,,,,,,,,,,,,,,,,,,,,57228,2012-06-30
,,,,,,,,,,,,,,,,,,,,57255,2012-06-30
,,,,,,,,,,,,,,,,,,,,57451,2012-06-30
,,,,,,,,,,,,,,,,,,,,57572,2012-06-30
,,,,,,,,,,,,,,,,,,,,57956,2012-06-30
,,,,,,,,,,,,,,,,,,,,58177,2012-06-30
,,,,,,,,,,,,,,,,,,,,58207,2012-06-30
,,,,,,,,,,,,,,,,,,,,58225,2012-06-30
