RCFDJJ03,RCONJJ03,RIAD3123,RIAD4230,RIAD4605,RIAD5523,RIADB522,RIADC079,RIADC233,RIADC389,RIADC390,RIADC435,RIADC781,RIADJH88,RIADJH89,RIADJH90,RIADJH91,RIADJH92,RIADJH93,RIADJH94,RIADJH95,RIADJH96,RIADJH97,RIADJH98,RIADJH99,RIADJJ00,RIADJJ01,RIADJJ02,RIADMG93,RIADMG94,IDRSSD,RCON9999
,,30,20,6,0,27,23,,,,,,,,,,,,,,,,,,,,,,,24855,2001-09-30
,,2731,545,73,0,2342,229,,,,,,,,,,,,,,,,,,,,,,,24949,2001-09-30
,,190,6,0,0,185,1,,,,,,,,,,,,,,,,,,,,,,,25357,2001-09-30
,,50322,20605,5380,0,35542,21205,,,,,,,,,,,,,,,,,,,,,,,25450,2001-09-30
,,441,28,3,0,417,7,,,,,,,,,,,,,,,,,,,,,,,25647,2001-09-30
,,4130,336,6,0,1782,34,,,,,,,,,,,,,,,,,,,,,,,25852,2001-09-30
,,476,413,63,0,418,418,,,,,,,,,,,,,,,,,,,,,,,26149,2001-09-30
,,2874,805,311,0,2127,369,,,,,,,,,,,,,,,,,,,,,,,26233,2001-09-30
,,1166,315,82,0,1084,315,,,,,,,,,,,,,,,,,,,,,,,26242,2001-09-30
,,201,0,26,0,193,18,,,,,,,,,,,,,,,,,,,,,,,26457,2001-09-30
,,324,114,11,0,284,85,,,,,,,,,,,,,,,,,,,,,,,26756,2001-09-30
,,88,0,2,0,109,23,,,,,,,,,,,,,,,,,,,,,,,26765,2001-09-30
,,2619,400,208,0,3083,1072,,,,,,,,,,,,,,,,,,,,,,,26859,2001-09-30
,,2750,495,181,0,1606,393,,,,,,,,,,,,,,,,,,,,,,,26916,2001-09-30
,,2075,675,68,0,1994,2562,,,,,,,,,,,,,,,,,,,,,,,27548,2001-09-30
,,1620,62,7,0,1588,37,,,,,,,,,,,,,,,,,,,,,,,27614,2001-09-30
,,1389,42,4,0,1351,8,,,,,,,,,,,,,,,,,,,,,,,27838,2001-09-30
