"IDRSSD"	RIAD4097	RIAD4235	RIAD4239	RIAD4341	RIAD4797	RIAD4843	RIAD4844	RIAD4845	RIAD4846	RIADB523	RIADB524	RIADB525	
	NON INT INCM OF INTL BUSINESS	PROV FOR LOAN LOSS, INTL BUSINESS	NON-INT EXPENSE, INTL BUSINESS	NET INCM ATTRIB TO INTL BUSINESS	INCOME TAX ATTRIB TO INTL BUSINESS	NET NON-INT INC(EXP) ATTRIB TO INT O	EST PRETAX INC ATTRIG TO INT OPR	ADJ TO PRETAX INC FOR INTERNAL ALLOC	EST PRETAX INC ATTRIB TO INT OPR AFT	GROSS INTEREST INCOME (INTERNL OPER)	GROSS INTEREST EXPENSE (INTERNL OPER	NET INTEREST INCOME (INTERNATL OPER)	
209652													
209830													
209858													
210238													
210256													
210434	311882	242	220460	89777	63564	91180	162558	-9217	153341	204386	133008	71378	
210443													
210452													
210555													
211114													
211338													
211628													
211851													
211954													
212018													
212120													
212335													
212344													
212456													
212465	0	0	0	0	0	0	0	0	0	0	0	0	
212522													
212979													
213538													
213912													
213958													
214106													
214414													
214571													
214722													
214807	-59000	0	14000	191000	16000	-73000	153000	54000	207000	285000	59000	226000	
214843													
215130													
215251													
215345													
215354													
215653													
215662													
215710													
215756													
215952													
216164													
216230													
216258													
216445													
216632													
216922													
217059													
217479													
217620													
218131													
218261													
218757													
218775													
218832													
218850													
218878													
219044													
219138													
219259													
219343													
219651													
219857													
220040													
220059													
220527													
220545													
220844													
221476													
221533													
221654													
222053													
222147													
222156													
222446													
222558													
222754													
223005													
223238													
223322													
223331													
223452													
223751													
223845													
224178													
224552													
224637													
224655													
224749													
224954													
225054													
225157													
225241													
225250													
225335													
225559													
225942													
226051													
226659													
226734													
226752													
226949													
227151													
227179													
227357													
227656													
228000													
228055													
228158													
228345													
228952													
229146													
229342													
229427													
229454													
229801													
229913	0	0	0	-9102	1	0	-9101	0	-9101	1092	10193	-9101	
229940													
229959													
230254													
230357													
230423													
230508													
230535													
230553													
230610													
230740													
230759													
231149													
231242													
231279													
231336													
232258													
232548													
232744													
232847													
232856													
233022													
233031													
233246													
233358													
233442													
233451													
233527													
233554													
234056													
234355													
234506													
234645													
234739													
234841													
235017													
235231													
235316													
235446													
235521													
235530													
235558													
235950													
236050													
236153													
236256													
236452													
236519													
236603													
236649													
236667													
236706													
236751													
236957													
237066													
237150													
237619													
237637													
237936													
237954													
238045													
238139													
238241													
238250													
238661													
238737													
238755													
238812													
239015													
239042													
239275													
239556													
239613													
239640													
239659													
239752													
240141													
240356													
240459													
240468													
240954													
241009													
241157													
241559													
241607													
242248													
242257													
242275													
242444													
242949													
242958													
243151													
243375													
243414													
243647													
243870													
243955													
244037													
244149													
244158													
244251													
244345													
245016	1994	0	451	1342	522	1543	1864	0	1864	632	311	321	
245276													
245333													
245351													
245557													
245566													
245856													
246022													
246134													
246237													
246321													
246451													
246657													
246947													
246956													
247140													
247355													
247449													
247476													
247551													
247645													
247711													
247908													
248147													
248240													
248352													
248455													
248633													
248745													
248950													
248969	145	31	603	92	-33	-489	59	0	59	943	395	548	
249153													
249256													
249304													
249416													
249546													
249555													
249564													
249612													
249658													
249872													
249957													
250047													
250113													
250430													
250850													
251008													
251352													
251558													
251736													
251745													
251857													
251969													
252041													
252256													
252452													
252658													
252706													
252836													
253262													
253356													
253440													
253468													
253646													
253730													
253776													
254148													
254317													
254504													
254652													
254670													
254849													
255136													
255350													
255462													
255547													
255556													
255659													
255873													
255958													
256049													
256058													
256179													
256272													
256450													
256553													
256964													
257000													
257233													
257345													
257466													
257653													
257756													
257840													
257868													
258146													
258306													
258351													
258379													
258445													
258539													
258632													
258771													
259031													
259059													
259330													
259442													
259518	0	0	0	0	0	0	0	0	0	0	0	0	
259554													
259657													
259853													
259956													
260055													
260149													
260354													
260831													
260868													
261070													
261146													
261258													
261360													
261557													
261632													
261904													
261940													
262059													
262068													
262237													
262273													
262358													
262451													
262741													
262844													
262956													
262965													
263243													
263551													
263627													
263953													
264156													
264455													
264558													
264941													
265041													
265340													
265407													
265452													
265676													
265948													
266066													
266244													
266253													
266271													
266655													
266851													
266879													
266945													
267652													
267737													
267755													
267979													
268042													
268136													
268257													
268341													
268556													
268734													
268828													
268846													
268976													
269049													
269058													
269478													
269759													
270036													
270148													
270335													
270353													
270504													
270531													
270652													
271136													
271154													
271275													
271341													
271529													
271631													
271743													
271752													
271855													
272030													
272058													
272151													
272218	0	0	0	0	0	0	0	0	0	0	0	0	
272245													
272254													
272272													
272302													
272870													
273149													
273251													
273336													
273523													
273550													
273653													
273662													
273840													
273859													
274025													
274052													
274164													
274548													
274641													
274753													
274829													
274856													
275116													
275255													
275358													
275509													
275657													
275750													
275769													
276159													
276355													
276449													
276551													
276579	0	0	0	0	0	0	0	0	0	0	0	0	
276645													
276654													
276711													
276775													
276850													
276953													
277053													
277240													
277277													
277558													
277567													
277736													
277820													
277950													
278078													
278153													
278256													
278555													
278733													
278751													
278818													
278957													
279105													
279253													
279338													
279673													
279842													
279954													
280044													
280110	0	0	0	0	0	0	0	0	0	0	0	0	
280138													
280352													
280558													
280950													
281144													
281210													
281416													
281751													
281845													
282048													
282141													
282226													
282329													
282824													
283054													
283157													
283438													
283652													
283737													
283858													
283867													
284154													
284239													
284248													
284332													
284408													
284556													
284743													
284819													
284958													
285151													
285348													
285544													
285553													
285740													
285759													
285777													
285852													
285928													
286251													
286457													
286466													
286840													
286952													
287007													
287155													
287342													
287351													
287445													
287539													
287650													
287856													
287922													
287959													
288152													
288358													
288376													
288750													
288853													
289056													
289065													
289225													
289449													
289515													
289542													
289702													
289739													
289757													
290052													
290230													
290249													
290838													
290847													
290922													
291059													
291152													
291273													
291330													
291611													
291732													
291910													
292234													
292467													
292524													
292850													
292908													
293026													
293053													
293352													
293437													
293651													
293736													
293754													
294023													
294153													
294256													
294331													
294564													
294751													
294779													
294827													
295011													
295057													
295356													
295552													
295628													
295637													
295646													
295758													
296438													
296456													
296559													
296755													
296858													
297042													
297051													
297257													
297453													
297547													
297631													
297734													
297761													
298049													
298058													
298218													
298245													
299046													
299251													
299644													
299653													
299868													
300009													
300036													
300063													
