RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4011,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4320,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD8761,RIAD8762,RIAD8763,RIAD9106,RIADA220,RIADA251,RIADA517,RIADA518,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB490,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJ321,RIADJJ33,IDRSSD,RCON9999
166,2,0,2983,,319,10,,0,0,,31,0,0,0,1301,2486,593,542,758,2379,3787,0,1296,25,,0,0,0,325,294,487,193,0,0,294,1803,443,0,5,0,0,0,0,,,,,,,,,0,0,,350,780,false,0,418,,619,144,,0,0,0,0,53,0,0,0,-2,0,0,0,0,0,,,,,,,,,,,,0,294,,,,,,,,,,,,,,174321,2009-12-31
55,164,0,1222,,308,0,91,0,91,,28,0,0,0,346,1164,227,203,587,2029,1510,0,1071,15,,0,0,0,342,-494,-494,0,0,0,-494,244,422,28,4,0,0,1,0,,,,,,,,,0,0,,87,200,false,0,157,,0,260,,0,0,0,0,23,0,29,0,0,0,0,0,0,0,,,,,,,,,,,,0,-494,,,,,,,,,,,,,,174367,2009-12-31
186,28,0,8183,,1186,4,1222,0,1463,,0,0,0,0,1954,6938,1154,858,1785,6043,8892,0,2957,67,,3,0,0,1301,1526,1526,0,0,0,1526,1622,3504,0,51,0,30,0,0,,,,,,,,,0,0,,869,845,true,0,408,,675,0,,0,0,0,4,292,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,1526,,,,,,,,,,,,,,175056,2009-12-31
352,618,0,11971,,1544,0,,0,415,,343,0,0,0,5018,8660,1527,904,2612,6833,13678,10,3340,65,,58,1064,0,881,-7142,-7127,15,160,0,-7142,2679,6934,300,40,0,10,-111,0,,,,,,,,,0,0,,1099,2405,true,31,368,,188,1156,,0,0,0,0,607,0,0,0,0,0,0,127,0,0,,,,,,,,,,,,0,-7142,,,,,,,,,,,,,,175140,2009-12-31
21,15,0,850,,166,1,196,0,196,,112,0,0,0,348,727,160,112,212,589,1075,2,305,5,,0,18,0,72,189,219,30,13,0,189,248,107,112,8,0,3,0,0,,,,,,,,,0,0,,30,271,false,0,133,,105,2,,0,0,0,3,45,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,189,,,,,,,,,,,,,,175458,2009-12-31
155,0,0,5384,,184,8,,0,12,,411,0,0,335,601,5535,807,190,1221,4214,6136,0,2192,32,,0,0,0,801,1515,1968,453,0,0,1515,3011,1627,0,51,0,5,0,0,,,,,,,,,0,0,,262,133,false,45,505,,328,0,,0,0,0,0,282,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,1515,,,,,,,,,,,,,,175609,2009-12-31
724,109,0,7902,,339,7,,0,0,,431,0,0,0,3205,6694,930,453,2340,6856,9899,0,3613,41,,0,175,0,903,579,747,168,0,0,579,4967,2424,205,55,0,0,-119,1,,,,,,,,,0,0,,850,1401,false,0,172,,29,1530,,0,33,0,0,399,0,0,3,1,14,98,47,0,0,,,,,,,,,,,,0,579,,,,,,,,,,,,,,175672,2009-12-31
97,-230,0,1129,,203,4,140,0,161,,988,0,0,0,764,1625,92,95,603,1558,2389,12,778,20,,32,0,0,177,-99,-389,-290,20,0,-99,108,586,639,20,0,0,-70,0,,,,,,,,,0,0,,100,515,false,10,61,,255,1,,0,1,0,0,66,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,-99,,,,,,,,,,,,,,176053,2009-12-31
1062,1207,0,15779,,3927,0,0,0,30,,3789,0,0,991,7352,17636,3731,1412,3575,12635,24988,4,7399,99,,0,3678,0,1661,6639,8359,1720,0,0,6639,3950,7740,3789,27,103,209,-7,0,,,,,,,,,0,0,0,1314,1271,false,0,132,,0,5207,,0,0,0,0,1335,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,6639,,,,,,,,,,,,,,176101,2009-12-31
526,25,0,3113,,213,3,,0,0,,341,0,0,0,1175,2954,547,321,1094,2878,4129,36,1489,24,,1,0,0,295,397,418,21,0,0,397,1611,1068,341,79,0,5,0,0,,,,,,,,,0,0,,82,487,false,0,221,,269,362,,0,0,0,0,226,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,397,,,,,,,,,,,,,,176325,2009-12-31
38,0,0,2261,,889,0,,0,61,,0,0,0,0,938,2047,-293,283,1467,2684,2985,585,1063,17,,0,0,0,154,-1970,-1970,0,0,0,-1970,615,287,0,40,0,0,-701,0,,,,,,,,,0,0,,374,486,true,24,385,,108,31,,0,0,0,0,122,0,0,0,3,0,0,0,0,0,,,,,,,,,,,,0,-1970,,,,,,,,,,,,,,176437,2009-12-31
