"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	
924759																														0	8480	22715	667	25050		135		5301	0			14224	195	10107	0	0	141452	0	0			72	52391	1286	52391	127848	12884	38322	709	195	87	0	22969	53673	6740	4373	1099	60								901	0		
924843																														0	5567	6598	0	19431		1283		1884	2			7754	1163	8445	0	417	75391	0	0			0	21194	1634	5419	30703	3484	5439	8676	3275	21	69	19726	11624	12603	8630	687	738								0	21		
924937																														0	851	1455	17	2425		31		1248	0			912	0	7073	0	324	31174	0	0			0	16333	505	0	4221	44	269	1302	1644	13074	0	1576	2332	4614	4884	1185	0								0	0		
925037																														0	21440	2549	754	79797		384		2644	0			26917	3415	13642	0	0	169314	0	0			0	13321	3383	11608	46634	2228	2360	4463	4231	0	0	49352	15990	29924	54458	5833	15								871	197		
925055																														0	0	4087	182	2513		0		10670	0			2535	105	3107	0	31	25227	0	0			0	1963	34	865	9399	130	67	451	1164	151	0	5919	6816	4373	4899	854	403								0	0		
925354																														0	0	2205	112	6942		37		3213	0			5583	0	7805	0	0	39600	0	0			0	13503	200	536	15294	753	1056	5047	3066	3031	122	10090	4146	1280	6251	3177	944								0	0		
925411	0	0	0	0	57	0	0	0	0	57	0	0	0	0	57	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		57	0	57	0	0	0	0	57	0	0				0	0	0		0	0	0	0	0	0							0			0	0			0	0		
925439																														0	30	1009	0	326		6		539	0			295	227	4610	0	31	9199	0	0			0	2126	0	0	1471	18	90	623	1388	7	0	709	654	2037	3673	0	0								0	0		
925653																														0	500	873	0	1128		164		2245	0			6373	0	3465	0	0	16696	3	0			0	1951	0	0	8007	196	347	58	330	766	254	6308	1927	1971	3017	1410	92								0	0		
925710																														0	79890	0	8575	721658	0	3650	3650	0	13476	210374	0	210374	44697	31583	0	6441	1233416	0	0	0	0	0	68562	53236	15626	230927	11834	3221	6873	12145	9548	23899	273821	66081	149645	418828	206018	42193	0	0	0	0	0	0	0	0	4750	0	
925831																														0	54	2583	0	8154		5		941	733			2769	0	5443	0	794	29308	0	0			0	8202	363	0	6126	261	381	3760	3421	343	0	5535	3355	5444	6236	407	0								0	0		
925840																														0	46512	436	33129	268188	1057	8155	7098	348	0	136561	0	136561	54891	47936	0	2175	745508	24	479	479	0	0	134615	8577	65355	157801	25212	12026	54860	27609	5961	5351	261425	31048	198923	97907	11279	926	0	0	0	0	0	0	0	0	3530	0	
925859																														0	0	6984	0	691		56		2551	0			921	1	1935	0	0	17722	0	330			0	4253	0	0	5924	126	445	2855	503	324	0	2084	3269	5040	2464	612	0								0	0		
926155																														0	292	6378	0	10384		229		3615	0			4972	0	21328	0	24	62972	2	0			0	15459	25	12979	14065	2923	9791	496	472	1156	559	8598	17173	11982	6437	1994	1080								268	0		
926203																														0	2073	0	3456	123649	0	656	656	0	0	7440	0	7440	15797	1126	0	0	220662	0	0	0	0	0	42222	24103	32732	11737	1721	4552	9017	12709	13705	495	33816	6830	33787	50577	43137	9787	0	0	0	0	0	0	0	0	140	0	
926342																														0	119	843	0	1374		0		660	0			1081	0	342	0	426	6807	0	0			0	1761	178	1115	5290	300	1045	387	5	24	0	1300	2645	905	196	0	0								23	0		
926360																														0	14845	0	270	34241		27		0	46			4862	4573	2149	0	0	68513	333	0			0	6726	178	5842	17487	2192	3141	540	353	499	0	17426	10628	8545	3058	14966	7411								821	154		
926632																														0	4057	339	5998	18078		672		0	831			8618	15755	3616	0	0	81294	0	1978			0	20186	1997	3240	22286	1829	3551	13820	277	433	276	14759	6381	23849	15219	851	0								0	0		
926650																														0	0	2672	0	0		23		6608	0			920	0	611	0	0	11130	0	0			0	296	0	0	9866	49	102	118	27	0	0	6209	3529	193	83	17	396								0	0		
926959																														0	0	680	0	6448		310		231	0			1406	0	5766	0	0	27228	61	0			0	12128	320	157	4237	468	690	1387	1543	4703	3036	3067	1656	5288	2613	2311	92								0	0		
927134																														0	448	15066	217	5926		87		21530	0			9968	3483	0	0	2392	65474	0	0			511	4852	465	0	29151	588	1761	1720	593	0	190	35300	6263	12150	4251	1092	1055								19	1021		
927255																														0	257	2197	43	1505		24		6951	0			2492	0	3775	0	63	20361	0	0			0	2747	0	4	7115	83	54	172	953	1443	42	10065	1264	3063	1748	1296	107								288	19		
927479																														0	0	0	0	0		0		0	0			0	3135	0	0	0	150824	0	0			0	144318	3204	1365	229	32	77	1018	3912	73670	65504	199	1	92	405	5809	0								0	167		
928038																														0	0	3771	98	2226		11		4325	0			3156	0	1092	0	31	16635	0	0			290	1925	0	339	10193	75	296	1024	49	48	433	5636	4186	3413	1002	339	134								0	0		
