RCFD0010,RCFD0022,RCFD0070,RCFD0073,RCFD0074,RCFD0082,RCFD0083,RCFD0085,RCFD0090,RCON0010,RCON0020,RCON0070,RCON0080,RCON0082,RCON0090,IDRSSD,RCON9999
,,,,,,,,,31646,0,,1036,,24013,42372,2015-03-31
,,,,,,,,,65095,24147,,36630,,2517,42420,2015-03-31
,,,,,,,,,19205,252,,6383,,12435,42448,2015-03-31
,,,,,,,,,,,,,,,42457,2015-03-31
,,,,,,,,,,,,,,,43052,2015-03-31
,,,,,,,,,3379,0,,340,,0,43351,2015-03-31
,,,,,,,,,,,,,,,43744,2015-03-31
,,,,,,,,,,,,,,,43856,2015-03-31
,,,,,,,,,,,,,,,43959,2015-03-31
,,,,,,,,,8539,0,,1482,,3570,44040,2015-03-31
,,,,,,,,,14620,0,,742,,4913,44433,2015-03-31
,,,,,,,,,7046,4,,2905,,3011,44741,2015-03-31
,,,,,,,,,,,,,,,44750,2015-03-31
,,,,,,,,,,,,,,,44929,2015-03-31
,,,,,,,,,,,,,,,45038,2015-03-31
,,,,,,,,,,,,,,,45047,2015-03-31
,,,,,,,,,,,,,,,45056,2015-03-31
,,,,,,,,,,,,,,,45430,2015-03-31
,,,,,,,,,,,,,,,45458,2015-03-31
,,,,,,,,,16909,24,,3002,,8500,45551,2015-03-31
,,,,,,,,,50533,14874,,3736,,19941,45560,2015-03-31
,,,,,,,,,,,,,,,45775,2015-03-31
,,,,,,,,,,,,,,,46053,2015-03-31
,,,,,,,,,,,,,,,46941,2015-03-31
,,,,,,,,,,,,,,,47247,2015-03-31
,,,,,,,,,,,,,,,47256,2015-03-31
,,,,,,,,,,,,,,,47452,2015-03-31
,,,,,,,,,17085,1242,,681,,11857,47500,2015-03-31
,,,,,,,,,,,,,,,48057,2015-03-31
,,,,,,,,,,,,,,,48150,2015-03-31
,,,,,,,,,14178,2643,,7287,,3573,48374,2015-03-31
,,,,,,,,,,,,,,,48440,2015-03-31
,,,,,,,,,,,,,,,49054,2015-03-31
,,,,,,,,,,,,,,,49148,2015-03-31
,,,,,,,,,89850,269,,4987,,78959,49241,2015-03-31
,,,,,,,,,,,,,,,49344,2015-03-31
,,,,,,,,,,,,,,,49643,2015-03-31
,,,,,,,,,,,,,,,49652,2015-03-31
,,,,,,,,,63065,10419,,5935,,44953,49821,2015-03-31
,,,,,,,,,,,,,,,49858,2015-03-31
,,,,,,,,,,,,,,,49951,2015-03-31
,,,,,,,,,,,,,,,50144,2015-03-31
,,,,,,,,,,,,,,,50461,2015-03-31
,,,,,,,,,,,,,,,50546,2015-03-31
,,,,,,,,,,,,,,,50854,2015-03-31
,,,,,,,,,,,,,,,50872,2015-03-31
,,,,,,,,,,,,,,,50957,2015-03-31
,,,,,,,,,4051,168,,2074,,0,51253,2015-03-31
,,,,,,,,,,,,,,,51356,2015-03-31
,,,,,,,,,,,,,,,51459,2015-03-31
,,,,,,,,,,,,,,,51842,2015-03-31
,,,,,,,,,2683212,0,,0,,2336725,52719,2015-03-31
,,,,,,,,,,,,,,,52951,2015-03-31
,,,,,,,,,317699,28352,,5268,,133511,53033,2015-03-31
,,,,,,,,,,,,,,,53051,2015-03-31
,,,,,,,,,,,,,,,53752,2015-03-31
,,,,,,,,,,,,,,,54049,2015-03-31
,,,,,,,,,3954,1380,,1191,,0,54058,2015-03-31
,,,,,,,,,90584,0,,15520,,2797,54375,2015-03-31
,,,,,,,,,,,,,,,54441,2015-03-31
,,,,,,,,,16931,0,,3308,,3966,54656,2015-03-31
,,,,,,,,,271001,37406,,54332,,172345,54973,2015-03-31
,,,,,,,,,21553,381,,3511,,16925,55336,2015-03-31
,,,,,,,,,,,,,,,55635,2015-03-31
,,,,,,,,,,,,,,,55653,2015-03-31
,,,,,,,,,81242,1213,,2132,,74637,55970,2015-03-31
,,,,,,,,,,,,,,,56258,2015-03-31
,,,,,,,,,166008,7927,,24424,,130694,56351,2015-03-31
,,,,,,,,,,,,,,,56427,2015-03-31
,,,,,,,,,13981,940,,623,,8976,56548,2015-03-31
,,,,,,,,,69533,47482,,4589,,6459,56557,2015-03-31
,,,,,,,,,10814,2430,,1497,,5397,56717,2015-03-31
,,,,,,,,,,,,,,,57040,2015-03-31
,,,,,,,,,,,,,,,57228,2015-03-31
,,,,,,,,,23257,0,,2354,,11287,57451,2015-03-31
,,,,,,,,,,,,,,,58177,2015-03-31
,,,,,,,,,,,,,,,58207,2015-03-31
,,,,,,,,,,,,,,,58225,2015-03-31
,,,,,,,,,141912,29365,,14997,,87412,58243,2015-03-31
,,,,,,,,,,,,,,,58355,2015-03-31
,,,,,,,,,,,,,,,58551,2015-03-31
,,,,,,,,,,,,,,,58636,2015-03-31
,,,,,,,,,,,,,,,58757,2015-03-31
,,,,,,,,,422365,52538,,18032,,351033,58971,2015-03-31
,,,,,,,,,19628,3315,,3709,,11927,59316,2015-03-31
