RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2343,RCON2344,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON2604,RCON5590,RCON6648,RCON6810,RCON6835,RCONA241,RCONA242,RCONA243,RCONA244,RCONA579,RCONA580,RCONA581,RCONA582,RCONA584,RCONA585,RCONA586,RCONA587,RCONB549,RCONB550,RCONB551,RCONB552,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT88,RCONMT89,RCONMT90,RCONMT91,RCONMT92,RCONMT93,RCONMT94,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
269744,189,6248,71599,0,92190,0,0,0,0,0,0,727593,0,63907,140572,64827,204382,112895,37046,136242,110426,0,0,48517,87725,44707,23433,56923,53503,19651,10495,85497,663686,256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361167,2002-12-31
2674,0,245,4165,0,11346,0,0,0,0,0,0,31470,0,1155,8499,427,16511,3786,2100,15895,7482,0,0,7403,8492,616,0,1967,5515,1017,0,11101,30315,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361279,2002-12-31
1070,3,386,4258,0,7124,0,0,5969,400,6567,0,36684,0,2760,8679,2728,22914,4020,2306,18264,7579,2538,198,6758,11506,3879,771,2942,4637,1100,0,6735,28114,0,5810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361354,2002-12-31
11403,0,6576,11775,0,39000,0,0,0,0,0,0,123898,0,959,26078,5994,55516,30901,7750,40863,18117,0,0,13450,27413,14653,0,5184,12934,7961,0,32424,122939,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361439,2002-12-31
11410,40,3274,11207,0,23436,0,0,0,0,0,0,52921,101,5050,7535,3382,29216,4760,3646,19563,5002,0,0,6725,12838,8547,1106,1022,3980,2207,326,20041,47770,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361457,2002-12-31
4816,0,1196,7752,0,22244,0,0,0,0,0,0,33789,0,7892,3823,8057,11511,13639,2472,9777,3522,0,0,2038,7739,1734,0,312,3210,301,0,21048,25897,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361541,2002-12-31
2548,10,2858,13128,0,22234,0,0,0,0,0,0,44472,0,620,20195,2787,14841,6888,2269,11090,14953,0,0,2547,8543,2581,1170,4685,10268,3336,1906,18978,43554,388,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361653,2002-12-31
565163,214,757,177463,0,193134,0,0,0,0,0,0,1666694,0,4866,129859,5275,451436,520236,140973,309114,99029,0,0,116683,192431,80189,62133,54350,44679,14633,16197,192163,1661828,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362007,2002-12-31
1966,0,413,2618,0,5616,0,0,0,0,0,0,15904,0,252,417,0,7935,5586,1348,6872,303,0,0,3233,3639,1063,0,103,200,114,0,5201,15652,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362043,2002-12-31
6098,0,2296,5029,0,19138,0,0,261,0,261,0,33290,0,3633,2249,4692,17480,7463,4739,11122,1583,195,0,3518,7763,4939,1260,595,988,502,164,16842,29653,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362052,2002-12-31
6632,7,5589,15282,0,25275,0,0,0,0,0,0,38587,0,1449,12191,6438,15899,3865,1336,13567,11291,0,0,4770,8797,2007,325,4978,6313,400,500,19679,37138,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362155,2002-12-31
1471791,1473,213897,1617398,0,1863727,0,0,0,273896,1174486,0,6257121,0,76990,1461765,144487,1328353,1995212,284163,528864,994799,0,885790,159908,368956,473886,325603,600245,407377,220762,233381,1145987,6180131,502370,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362445,2002-12-31
5787,26,1715,18500,0,29420,0,0,0,0,0,0,18958,0,1872,6237,2640,4131,2805,0,4103,6007,0,0,1573,2530,15,13,1353,4654,230,0,27679,17086,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362463,2002-12-31
38257,32,3315,35309,0,81255,0,0,0,0,0,0,221646,0,7020,28173,10091,109379,45838,24166,58909,14409,0,0,41770,33936,28378,5295,12845,6292,5249,3788,77794,214565,114,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362717,2002-12-31
21506,22,2891,8674,0,28393,0,0,0,0,0,0,63659,0,893,7283,1509,27915,6955,9146,20997,6102,0,0,7323,13674,6324,594,2700,3402,1081,100,25048,62666,432,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362753,2002-12-31
6741,11,1874,7108,0,11547,0,0,0,0,0,0,17210,0,2618,2355,3861,6035,2079,788,4847,1710,0,0,1504,3343,1188,0,577,1133,645,0,8880,14592,782,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362856,2002-12-31
6174,0,1154,4937,0,7545,0,0,0,0,0,0,22355,0,2489,2965,2673,11956,1260,2218,7925,2471,0,0,2014,5940,2489,1513,1281,1190,494,0,6391,19866,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362940,2002-12-31
