"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4815	RIADB522	RIADC079	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	
2782337	423	66	0	0	357	0	
2783660	593	25	0	0	589	21	
2783736	235	82	0	0	153	0	
2783772	140	1	0	0	139	0	
2785477	240	43	0	0	197	0	
2785637	412	195	0	0	225	8	
2785646	363	76	13	0	290	16	
2787770	501	97	0	0	425	21	
2788656	307	12	0	0	296	1	
2789457	1377	273	0	0	1104	0	
2791003	158	37	0	0	121	0	
2791076	531	81	0	0	450	0	
2791085	132	30	0	0	105	3	
2791281	287	97	17	0	261	88	
2791508	354	62	0	0	292	0	
2791517	680	60	0	0	620	0	
2791795	220	43	0	0	177	0	
2791889	0	0	0	0	0	0	
2792064	481	121	0	0	360	0	
2792466	1150	330	0	0	825	5	
2793155	471	108	0	0	369	6	
2793593	298	60	0	0	238	0	
2793883	365	141	0	0	267	43	
2794732	209	10	0	0	199	0	
2796017	281	81	0	0	200	0	
2796277	91	0	0	-2	93	0	
2796295	569	78	0	0	491	0	
2796615	397	116	0	0	281	0	
2797014	442	1500	1	0	436	1495	
2797153	123	24	0	0	225	126	
2797162	838	78	0	0	764	4	
2797171	966	456	13	0	880	383	
2797210	0	0	0	0	0	0	
2797359	210	20	0	0	190	0	
2797724	3258	500	6	0	2797	45	
2798897	527	53	37	0	451	14	
2799250	975	390	1	0	629	45	
2799399	212	60	0	0	152	0	
2799803	430	180	0	0	250	0	
2800026	373	82	0	0	291	0	
2800491	304	69	0	0	235	0	
2802664	370	60	0	0	310	0	
2802945	228	37	0	0	191	0	
2803223	298	98	0	0	201	1	
2803830	213	24	0	0	189	0	
2804864	366	110	40	0	246	30	
2804882	99	40	11	0	80	32	
2804891	94	38	7	0	64	15	
2804903	112	66	0	0	106	60	
2805441	458	71	0	0	387	0	
2805535	217	77	0	0	140	0	
2805928	114	27	0	0	87	0	
2806091	367	121	2	0	247	3	
2806112	382	165	0	0	222	5	
2806626	1642	360	0	0	1282	0	
2806635	157	30	0	0	127	0	
2806840	213	36	0	0	177	0	
2807173	44	0	0	0	50	6	
2808358	244	59	0	0	185	0	
2808602	412	0	0	0	412	0	
2808723	0	0	0	0	0	0	
2808787	644	203	0	0	441	0	
2808808	396	127	0	0	270	1	
2809355	0	0	0	0	0	0	
2809935	363	134	0	0	229	0	
2810007	1065	219	9	0	897	60	
2811086	168	78	3	0	169	82	
2813491	347	101	0	0	246	0	
2813790	720	104	1	0	615	0	
2814210	1040	300	0	0	740	0	
2815123	0	0	0	0	0	0	
2815262	751	170	0	0	592	11	
2815879	156	62	0	0	94	0	
2816474	369	103	0	0	270	4	
2817583	499	0	0	0	499	0	
2817592	367	86	0	0	281	0	
2817677	147	83	0	0	70	6	
2817837	112	35	0	0	80	3	
2818731	206	48	4	0	159	5	
2819103	340	74	0	0	266	0	
2819158	652	94	0	0	558	0	
2820604	422	147	0	0	344	69	
2821825	604	215	0	0	452	63	
2821852	790	175	0	0	615	0	
2822363	965	520	10	0	720	285	
2823221	796	90	5	0	808	107	
2823230	654	60	65	0	542	13	
2824657	678	114	0	0	615	51	
2826017	0	0	0	0	0	0	
2826316	665	276	0	0	390	1	
2828794	7	2	0	0	5	0	
2829335	445	138	0	0	309	2	
2830135	515	222	0	0	293	0	
2830537	186	65	0	0	125	4	
2831619	615	223	0	0	400	8	
2831879	1331	160	23	0	1206	58	
2833181	385	148	0	0	237	0	
2833882	664	300	19	0	428	83	
2834179	259	55	0	0	207	3	
2834759	152	71	0	0	81	0	
2835103	204	90	1	0	135	22	
2835626	655	158	0	0	497	0	
2835756	455	104	0	0	351	0	
2836306	250	0	0	0	250	0	
2836810	1303	287	5	0	1092	81	
2837059	149	0	0	0	150	1	
2837077	287	133	0	0	154	0	
2837189	391	109	6	0	294	18	
2837200	735	174	0	0	561	0	
2837219	422	162	0	0	260	0	
2837406	157	32	0	0	125	0	
2838029	327	43	0	0	284	0	
2838207	226	84	0	0	142	0	
2839053	335	124	0	0	211	0	
2839222	433	150	1	0	289	7	
2839745	277	233	3	0	66	25	
2839790	919	163	18	0	780	42	
2841047	484	96	0	0	398	10	
2841702	270	108	0	0	162	0	
2843706	84	48	0	0	36	0	
2843724	727	277	0	0	450	0	
2845166	37	46	14	0	31	54	
2845205	48	25	0	0	26	3	
2845410	0	0	0	0	0	0	
2845719	584	208	0	0	376	0	
