RCONJJ04,RCONJJ05,RCONJJ06,RCONJJ07,RCONJJ08,RCONJJ09,RCONJJ11,RCONJJ12,RCONJJ13,RCONJJ14,RCONJJ15,RCONJJ16,RCONJJ17,RCONJJ18,RCONJJ19,RCONJJ20,RCONJJ21,RCONJJ23,RCONJJ24,RCONJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,29944,2001-03-31
,,,,,,,,,,,,,,,,,,,,29953,2001-03-31
,,,,,,,,,,,,,,,,,,,,30025,2001-03-31
,,,,,,,,,,,,,,,,,,,,30052,2001-03-31
,,,,,,,,,,,,,,,,,,,,30146,2001-03-31
,,,,,,,,,,,,,,,,,,,,30155,2001-03-31
,,,,,,,,,,,,,,,,,,,,30258,2001-03-31
,,,,,,,,,,,,,,,,,,,,30418,2001-03-31
,,,,,,,,,,,,,,,,,,,,30436,2001-03-31
,,,,,,,,,,,,,,,,,,,,30502,2001-03-31
,,,,,,,,,,,,,,,,,,,,30650,2001-03-31
,,,,,,,,,,,,,,,,,,,,30810,2001-03-31
,,,,,,,,,,,,,,,,,,,,30856,2001-03-31
,,,,,,,,,,,,,,,,,,,,31134,2001-03-31
,,,,,,,,,,,,,,,,,,,,31152,2001-03-31
,,,,,,,,,,,,,,,,,,,,31255,2001-03-31
,,,,,,,,,,,,,,,,,,,,31303,2001-03-31
,,,,,,,,,,,,,,,,,,,,31657,2001-03-31
,,,,,,,,,,,,,,,,,,,,31826,2001-03-31
,,,,,,,,,,,,,,,,,,,,31835,2001-03-31
,,,,,,,,,,,,,,,,,,,,32159,2001-03-31
,,,,,,,,,,,,,,,,,,,,32234,2001-03-31
,,,,,,,,,,,,,,,,,,,,32766,2001-03-31
,,,,,,,,,,,,,,,,,,,,33147,2001-03-31
,,,,,,,,,,,,,,,,,,,,33259,2001-03-31
,,,,,,,,,,,,,,,,,,,,33268,2001-03-31
,,,,,,,,,,,,,,,,,,,,33549,2001-03-31
,,,,,,,,,,,,,,,,,,,,33727,2001-03-31
,,,,,,,,,,,,,,,,,,,,33754,2001-03-31
,,,,,,,,,,,,,,,,,,,,33772,2001-03-31
,,,,,,,,,,,,,,,,,,,,33839,2001-03-31
,,,,,,,,,,,,,,,,,,,,33857,2001-03-31
,,,,,,,,,,,,,,,,,,,,34032,2001-03-31
,,,,,,,,,,,,,,,,,,,,34153,2001-03-31
,,,,,,,,,,,,,,,,,,,,34359,2001-03-31
,,,,,,,,,,,,,,,,,,,,34425,2001-03-31
,,,,,,,,,,,,,,,,,,,,34434,2001-03-31
,,,,,,,,,,,,,,,,,,,,34452,2001-03-31
,,,,,,,,,,,,,,,,,,,,34537,2001-03-31
,,,,,,,,,,,,,,,,,,,,34555,2001-03-31
,,,,,,,,,,,,,,,,,,,,34742,2001-03-31
,,,,,,,,,,,,,,,,,,,,34836,2001-03-31
,,,,,,,,,,,,,,,,,,,,34863,2001-03-31
,,,,,,,,,,,,,,,,,,,,35057,2001-03-31
,,,,,,,,,,,,,,,,,,,,35244,2001-03-31
,,,,,,,,,,,,,,,,,,,,35301,2001-03-31
,,,,,,,,,,,,,,,,,,,,35570,2001-03-31
,,,,,,,,,,,,,,,,,,,,35646,2001-03-31
,,,,,,,,,,,,,,,,,,,,35842,2001-03-31
,,,,,,,,,,,,,,,,,,,,35851,2001-03-31
,,,,,,,,,,,,,,,,,,,,35936,2001-03-31
,,,,,,,,,,,,,,,,,,,,36054,2001-03-31
,,,,,,,,,,,,,,,,,,,,36344,2001-03-31
,,,,,,,,,,,,,,,,,,,,36456,2001-03-31
,,,,,,,,,,,,,,,,,,,,36830,2001-03-31
,,,,,,,,,,,,,,,,,,,,36858,2001-03-31
,,,,,,,,,,,,,,,,,,,,36933,2001-03-31
,,,,,,,,,,,,,,,,,,,,37051,2001-03-31
,,,,,,,,,,,,,,,,,,,,37341,2001-03-31
,,,,,,,,,,,,,,,,,,,,37350,2001-03-31
,,,,,,,,,,,,,,,,,,,,37378,2001-03-31
,,,,,,,,,,,,,,,,,,,,37435,2001-03-31
,,,,,,,,,,,,,,,,,,,,37640,2001-03-31
,,,,,,,,,,,,,,,,,,,,37659,2001-03-31
,,,,,,,,,,,,,,,,,,,,37743,2001-03-31
,,,,,,,,,,,,,,,,,,,,37949,2001-03-31
,,,,,,,,,,,,,,,,,,,,38441,2001-03-31
,,,,,,,,,,,,,,,,,,,,38478,2001-03-31
,,,,,,,,,,,,,,,,,,,,38526,2001-03-31
,,,,,,,,,,,,,,,,,,,,38535,2001-03-31
,,,,,,,,,,,,,,,,,,,,38740,2001-03-31
,,,,,,,,,,,,,,,,,,,,39327,2001-03-31
,,,,,,,,,,,,,,,,,,,,39420,2001-03-31
,,,,,,,,,,,,,,,,,,,,39475,2001-03-31
,,,,,,,,,,,,,,,,,,,,39756,2001-03-31
,,,,,,,,,,,,,,,,,,,,39934,2001-03-31
,,,,,,,,,,,,,,,,,,,,40033,2001-03-31
,,,,,,,,,,,,,,,,,,,,40051,2001-03-31
,,,,,,,,,,,,,,,,,,,,40305,2001-03-31
,,,,,,,,,,,,,,,,,,,,40350,2001-03-31
,,,,,,,,,,,,,,,,,,,,40707,2001-03-31
,,,,,,,,,,,,,,,,,,,,40855,2001-03-31
,,,,,,,,,,,,,,,,,,,,41245,2001-03-31
,,,,,,,,,,,,,,,,,,,,41553,2001-03-31
,,,,,,,,,,,,,,,,,,,,41629,2001-03-31
,,,,,,,,,,,,,,,,,,,,41647,2001-03-31
,,,,,,,,,,,,,,,,,,,,41759,2001-03-31
,,,,,,,,,,,,,,,,,,,,41825,2001-03-31
,,,,,,,,,,,,,,,,,,,,41937,2001-03-31
,,,,,,,,,,,,,,,,,,,,41955,2001-03-31
,,,,,,,,,,,,,,,,,,,,42037,2001-03-31
,,,,,,,,,,,,,,,,,,,,42055,2001-03-31
,,,,,,,,,,,,,,,,,,,,42354,2001-03-31
,,,,,,,,,,,,,,,,,,,,42420,2001-03-31
,,,,,,,,,,,,,,,,,,,,42448,2001-03-31
,,,,,,,,,,,,,,,,,,,,42457,2001-03-31
,,,,,,,,,,,,,,,,,,,,42541,2001-03-31
,,,,,,,,,,,,,,,,,,,,43052,2001-03-31
,,,,,,,,,,,,,,,,,,,,43155,2001-03-31
,,,,,,,,,,,,,,,,,,,,43173,2001-03-31
,,,,,,,,,,,,,,,,,,,,43324,2001-03-31
,,,,,,,,,,,,,,,,,,,,43351,2001-03-31
,,,,,,,,,,,,,,,,,,,,43454,2001-03-31
,,,,,,,,,,,,,,,,,,,,43511,2001-03-31
,,,,,,,,,,,,,,,,,,,,43641,2001-03-31
,,,,,,,,,,,,,,,,,,,,43669,2001-03-31
,,,,,,,,,,,,,,,,,,,,43744,2001-03-31
,,,,,,,,,,,,,,,,,,,,43856,2001-03-31
,,,,,,,,,,,,,,,,,,,,43959,2001-03-31
,,,,,,,,,,,,,,,,,,,,44040,2001-03-31
,,,,,,,,,,,,,,,,,,,,44134,2001-03-31
,,,,,,,,,,,,,,,,,,,,44433,2001-03-31
,,,,,,,,,,,,,,,,,,,,44451,2001-03-31
,,,,,,,,,,,,,,,,,,,,44602,2001-03-31
,,,,,,,,,,,,,,,,,,,,44741,2001-03-31
,,,,,,,,,,,,,,,,,,,,44750,2001-03-31
,,,,,,,,,,,,,,,,,,,,44929,2001-03-31
,,,,,,,,,,,,,,,,,,,,45038,2001-03-31
,,,,,,,,,,,,,,,,,,,,45047,2001-03-31
,,,,,,,,,,,,,,,,,,,,45056,2001-03-31
,,,,,,,,,,,,,,,,,,,,45270,2001-03-31
,,,,,,,,,,,,,,,,,,,,45430,2001-03-31
,,,,,,,,,,,,,,,,,,,,45458,2001-03-31
,,,,,,,,,,,,,,,,,,,,45551,2001-03-31
,,,,,,,,,,,,,,,,,,,,45560,2001-03-31
,,,,,,,,,,,,,,,,,,,,45609,2001-03-31
,,,,,,,,,,,,,,,,,,,,45627,2001-03-31
,,,,,,,,,,,,,,,,,,,,45775,2001-03-31
,,,,,,,,,,,,,,,,,,,,46053,2001-03-31
,,,,,,,,,,,,,,,,,,,,46905,2001-03-31
,,,,,,,,,,,,,,,,,,,,46941,2001-03-31
,,,,,,,,,,,,,,,,,,,,47153,2001-03-31
,,,,,,,,,,,,,,,,,,,,47247,2001-03-31
,,,,,,,,,,,,,,,,,,,,47256,2001-03-31
,,,,,,,,,,,,,,,,,,,,47377,2001-03-31
,,,,,,,,,,,,,,,,,,,,47425,2001-03-31
,,,,,,,,,,,,,,,,,,,,47452,2001-03-31
,,,,,,,,,,,,,,,,,,,,47500,2001-03-31
,,,,,,,,,,,,,,,,,,,,47658,2001-03-31
,,,,,,,,,,,,,,,,,,,,48057,2001-03-31
,,,,,,,,,,,,,,,,,,,,48150,2001-03-31
,,,,,,,,,,,,,,,,,,,,48208,2001-03-31
,,,,,,,,,,,,,,,,,,,,48374,2001-03-31
,,,,,,,,,,,,,,,,,,,,48440,2001-03-31
