"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
874452															0	511	0	1206	10	32	22	0	0	0	0	663	0	0	PREPAID BROKER FEES                                                                                                                                                                              			
874649															0	3695	1693	10472	1176	1368	0	0	0	0	0	3716	0	0				
874845	0	3633	2202	12264	1015	1378	0	0	0	0	0	5051	0	0		3633																
875048															0	335	71	1757	99	139	0	0	0	0	0	1212	0	0				
875057															0	217	311	2297	98	176	77	0	0	0	0	1593	0	0	Software                                                                                                                                                                                         			
875132															0	633	0	1027	0	19	0	0	0	0	0	375	0	0				
875253															0	5	0	439	0	84	0	0	0	0	0	350	0	0				
875619															0	320	277	1245	191	343	94	0	0	0	39	266	0	0	ACCOUNTS RECEIVABLE                                                                                                                                                                              			
875655															0	127	0	688	0	261	85	0	0	0	0	300	125	0	Purchased software net of depreciation                                                                                                                                                           			
875758															0	0	0	3203	51	2350	0	0	0	0	0	853	2290	0				
875909															0	173	7	447	46	78	0	0	0	0	0	189	0	0				
875918															0	3982	0	24576	4706	17119	0	0	0	0	0	3475	11119	0				
