"IDRSSD"	RCONA223	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB528	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB613	RCONB614	RCONB616	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB645	RCONB646	RCONB647	RCONB648	RCONB649	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB674	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	
2442583	32760	51261	0	0	0	0	27694	0	0	0	0	0	0	0	0	0	148	4542	0	0	74	1580	0	0	1	0	2890	0	0	0	12969	0	0	0	0	0	0	0	0	37	2512	25145	0	0	0	0	0	1038	0	0	89	0	-425	1025	0	0	0	1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	222	22107	2512	27119	0	4421	1256	27119	32796	
2443478	349890	607620	0	0	0	0	303527	0	0	39647	0	0	0	0	0	0	13707	22544	0	0	0	0	0	0	4578	22115	186176	0	0	0	10528	0	0	0	0	0	0	0	4789	4986	54961	238791	0	0	0	0	0	80113	43719	2747	289	0	41772	1311	0	0	0	1311	235	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5934	0	0	0	5934	0	0	0	43358	224523	54961	279629	0	44905	27481	279629	352015	
2443535	167219	226410	0	0	0	0	154212	0	0	0	5	0	0	0	0	0	673	6219	0	0	178	1029	0	0	247	659	42394	1028	0	0	21200	0	0	0	0	5010	0	0	0	26	18717	135469	0	0	0	0	0	5061	5	0	875	0	-2678	1571	0	0	0	1571	100	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1510	71743	24755	141321	0	14349	12378	141321	168048	
2445052	83354	101250	0	0	0	0	78220	0	0	0	0	0	0	0	0	0	980	4514	0	0	0	0	0	0	71	991	10132	0	840	0	7000	0	0	0	0	5836	0	0	0	0	9764	68456	0	0	0	0	0	2121	0	0	110	0	-1082	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1971	21756	15600	71313	0	4351	7800	71313	83464	
2446152	77490	96996	0	0	0	0	76424	0	0	383	0	0	0	0	0	0	704	7615	0	0	0	0	0	0	90	1773	9105	570	0	0	4755	0	0	0	0	0	0	0	0	8939	857	66628	0	0	0	0	0	2581	383	0	123	0	-578	0	0	0	0	0	240	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1807	0	0	0	1807	0	0	0	2477	30537	1427	70750	0	6107	714	70750	77571	
2450711	144766	180244	0	0	0	0	119657	0	0	0	0	0	0	0	0	0	1125	3518	0	0	0	0	0	0	1039	4621	23495	1760	12496	0	8069	0	0	0	0	0	0	0	0	123	17971	101564	0	0	0	0	0	8152	0	29	822	14	-411	0	0	0	0	0	489	0	0	0	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8635	0	0	5563	3072	0	0	0	5775	36027	25308	124907	0	7205	12654	124907	144766	
2451240	56380	84461	0	0	0	0	50147	0	0	0	0	0	0	0	0	0	0	3748	0	0	0	0	0	0	0	0	0	0	0	0	22485	0	0	0	0	0	0	0	0	0	4575	45572	0	0	0	0	0	1921	0	0	0	0	-710	0	0	0	0	0	0	0	0	0	0	107	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1250	0	0	0	1250	0	0	0	0	26233	4575	48850	0	5247	2288	48850	56385	
2451482	70684	117848	0	0	0	0	74241	0	0	10	0	0	0	0	0	0	7573	604	0	0	0	0	0	149	221	6438	16462	0	0	0	3000	0	0	0	0	7562	0	0	4209	0	19407	50625	0	0	0	0	0	3115	10	225	532	103	-792	147	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18445	20598	27072	53166	0	4120	13536	53166	70822	
2453132	55900	62318	0	0	0	0	50631	0	0	0	0	0	0	0	0	0	1773	5581	0	0	0	0	0	0	43	0	2020	0	0	0	6700	0	0	0	0	0	0	0	0	0	5347	45284	0	0	0	0	0	1315	0	128	49	0	-788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4190	0	0	0	4190	0	0	0	1901	14350	5347	50612	0	2870	2674	50612	56156	
2454009	40932	51865	0	0	0	0	39292	0	0	0	0	0	0	0	0	0	684	2006	0	0	0	5249	0	243	0	0	0	0	0	0	1909	0	0	0	0	0	0	0	0	51	7492	31749	0	0	0	0	0	2674	0	0	298	0	-537	0	0	0	0	0	387	0	0	0	387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	553	0	0	0	553	0	0	0	684	9513	7492	35308	0	1903	3746	35308	40957	
2454027	1124500	2077865	0	0	0	0	1126328	0	0	0	0	0	0	0	0	0	6551	1834	0	0	0	0	0	0	16067	516250	22775	2020	2551	0	494000	0	0	0	0	0	0	0	0	44200	1205	1080922	0	0	0	0	0	100523	-6267	0	0	0	-186444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522801	562809	3225	1190264	0	112562	1613	1190264	1304439	
2454607	128552	171180	0	0	0	0	124828	0	0	3032	0	0	0	0	0	0	3164	4335	0	0	0	0	0	0	48	7330	13748	0	1044	0	7200	0	0	0	0	0	0	0	0	0	25653	99175	0	0	0	0	0	13731	3032	0	434	0	1802	70	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	28	0	0	0	10494	25717	25653	110582	0	5143	12827	110582	128552	
2454867	40941	57774	0	0	0	0	43661	0	0	0	0	0	0	0	0	0	139	1728	0	0	0	0	0	0	165	1380	7136	0	0	0	2250	0	0	0	0	0	0	0	0	0	12696	30965	0	0	0	0	0	1935	0	0	522	0	-485	25	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1519	11636	12696	32403	0	2327	6348	32403	41078	
2458119	143648	171821	0	0	0	0	131975	0	0	0	0	0	0	0	0	0	2482	5716	0	0	1511	11268	0	3255	134	1003	3487	0	0	0	4578	0	0	0	0	0	0	0	0	496	18114	113365	0	0	0	0	0	9653	0	22	250	0	-1528	5022	0	3555	0	1467	713	0	65	25	623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	604	0	0	0	604	0	0	0	5018	29415	18139	128695	0	5883	9070	128695	143648	
2459992	49895	64796	0	0	0	0	55174	0	0	1504	0	0	0	0	0	0	337	1416	0	0	0	0	0	0	10	0	2498	0	0	0	2609	0	0	0	0	0	0	0	0	259	18980	35935	0	0	0	0	0	4190	1504	0	227	0	880	302	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	318	0	0	0	337	7009	18980	39014	0	1402	9490	39014	49906	
