"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1350	RCON1374	RCON1752	RCON2155	RCON2163	RCON2192	RCON2800	RCON2920	RCON2941	RCON3129	RCON3190	RCONA510	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	FED. FUNDS SOLD & SECURITIES RS.	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	CUSTOMERS LIABILITY ON ACCEPTANCES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	FED. FUNDS PURCHASED & SECURITIES RP	ACCEPTANCES EXECUTED FOR ACCT. & OUT	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	
645661										7855		830	0			0	0			7000	0	
645942										1300		240	0			8211	0			0	0	
646042										1475		393	0			0	0			6605	0	
646145										3010		373	0			1000	0			3189	0	
646444										96700		0	0			0	0			0	5014	
646453										0		0	0			0	0			0	0	
646471										0		66	0			0	0			0	0	
646556										9000		0	0			0	0			0	0	
646743										0		496	0			1753	0			9849	0	
646837										815		317	0			2248	0			3700	0	
646958										60		105	0			0	0			372	0	
647218										4050		3824	0			0	0			30978	0	
647245										7926		378	0			5000	0			6737	0	
647414										1400		15	0			1625	0			293	0	
647432										9200		5238	0			0	0			3703	0	
647759										3176		277	0			0	0			1381	0	
647919										318		0	0			0	0			0	250	
647955										3046		0	0			873	0			209	0	
648055										0		1207	0			10786	0			16171	0	
648130										0		4092	35			16645	35			41200	0	
648242										1000		1697	0			7124	0			27200	0	
648251										0		802	0			0	0			15423	0	
648345										2500		462	0			0	0			9229	0	
648448										2200		2658	0			0	0			30614	499	
648550										9805		287	0			0	0			0	0	
648952										9981		365	0			0	0			172	0	
649342										5068		378	0			0	0			3607	0	
649351										0		0	0			0	0			2	0	
649445										825		0	0			226	0			0	0	
649548										5280		2268	0			0	0			30000	0	
649632										2575		0	0			0	0			0	0	
649650										0		576	0			327	0			1250	0	
649874										1800		298	0			0	0			2000	0	
650526										3689		473	0			0	0			4300	0	
650647										3300		0	0			0	0			0	0	
650834										885		0	0			0	0			0	0	
650843										2246		632	0			5104	0			5293	0	
650955										1500		0	0			0	0			0	0	
651037										9375		1618	0			0	0			130	5359	
651103										112800		2168	0			12000	0			7100	0	
651121										9841		329	0			671	0			0	0	
651149										1275		283	0			0	0			3021	0	
651158										6331		19	0			0	0			0	0	
651354										2200		0	0			0	0			0	0	
651411										1165068		51648	0			11632937	0			10527632	119422	
651448										0		31	0			0	0			0	0	
651457										4050		149	0			0	0			0	0	
651541										3070		909	0			2483	0			15199	0	
651756										0		978	0			0	0			5000	0	
651859										8100		5355	0			88600	0			19493	8	
651952										1375		473	0			0	0			21	0	
652043										197		507	0			0	0			4001	0	
652164										31200		350	0			0	0			0	0	
652351										0		3342	0			810	0			40760	0	
652445										42		265	0			1143	0			0	0	
652726										0		1021	0			5788	0			1920	0	
652753										0		217	0			0	0			222	0	
652874										1100		469	0			0	0			1940	0	
652959										1700		0	0			0	0			0	0	
653134										0		100	0			3900	0			1052	0	
653349										8700		425	0			0	0			0	0	
653433										5089		376	0			100	0			0	0	
653611										4475		705	0			0	0			3000	7	
653648										0		3800	0			47506	0			48428	0	
653947										16183		287	0			1390	0			0	0	
654047										0		263	0			200	0			4421	0	
654252										0		667	0			0	0			3891	0	
654300										4963		1344	0			0	0			10317	774	
654458										1600		490	0			0	0			5000	0	
654542										0		399	0			896	0			2000	0	
654757										0		26024	0			318859	0			52500	333	
655156										1184		20	0			0	0			0	0	
655530										1056		81	0			0	0			400	0	
655576										6213		37961	133			276250	133			7824	0	
655651										7300		88	0			0	0			0	0	
655660										1505		50	0			0	0			0	0	
655839										0		1845	0			4892	0			35128	0	
655857										0		450	0			8690	0			9000	0	
656032										2521		411	0			1019	0			0	0	
656153										0		53	0			600	0			0	0	
656247										698		31	0			0	0			0	0	
656359										0		1278	0			1300	0			20990	0	
656470										13843		1518	0			9260	0			5198	3	
656555										0		464	0			6556	0			4500	0	
656649										6500		881	0			0	0			1121	0	
656658										6225		6	0			0	0			0	0	
656733										16500		12907	0			128090	0			100628	0	
656742										0		1099	0			562	0			7800	0	
657178										0		762	0			0	0			0	124	
657365										19200		6153	2739			1000	2739			1872	0	
657459										9170		4553	0			23941	0			70200	75	
657758										5350		247	0			364	0			0	0	
657767										10375		267	0			0	0			0	0	
657815										0		1548	0			2590	0			22351	0	
657954										1709		121	0			0	0			1306	0	
658036										0		1416	0			29945	0			10066	1722	
658139										3485		494	0			0	0			0	0	
658157										1950		0	0			0	0			0	0	
658456										0		0	0			75	0			0	0	
658540										0		426	0			5486	0			4700	0	
658559										10500		869	0			1516	0			0	0	
658906										6963		1786	0			263	0			13982	0	
658924										1302		30	0			0	0			0	0	
659042										1812		234	0			0	0			2520	50	
659257										0		19108	0			0	0			292576	0	
659341										10710		1357	0			0	0			18114	0	
659453										1000		55	0			0	0			500	0	
659538										9336		308	0			0	0			0	0	
659556										1520		141	0			393	0			1000	0	
659622										4164		643	0			4437	0			810	0	
659640										2600		0	0			0	0			0	0	
659734										4134		852	0			0	0			29	0	
659855										82185		15766	0			272577	0			10244	45203	
660066										2775		240	0			0	0			0	0	
660253										0		100	0			275	0			2000	5	
660271										0		721	0			2768	0			3000	0	
660570										0		3111	0			0	0			20300	1012	
660655										900		4256	0			4373	0			26391	0	
660842										232919		46176	663			665333	663			242899	39096	
660927										2220		460	0			0	0			217	0	
661157										1425		0	0			0	0			0	0	
661223										10363		797	0			0	0			0	0	
661308										0		24750	0			847381	0			129101	10000	
661858										0		190	0			300	0			651	0	
662350										2300		322	0			0	0			4000	0	
662369										0		2422	0			60633	0			0	100	
662453										0		741	0			9008	0			0	0	
662556										1380		55	0			0	0			0	0	
662640										200		1408	0			15297	0			1563	1506	
662659										4812		31	0			0	0			55	14	
662770										0		1650	0			0	0			28563	0	
662949										3200		708	0			3438	0			8240	0	
663058										2255		2189	0			27606	0			15854	0	
663245										64545		1728	0			95359	0			4155	1534	
663450										1501		309	0			71	0			3205	0	
663638										75		0	0			1304	0			0	0	
663647										0		483	0			4611	0			8587	0	
663656										250		276	0			0	0			2390	0	
663722										0		0	0			250	0			0	6	
663768										5034		45	0			0	0			0	0	
663834										110000		0	5212			85372	5212			0	0	
