RCFD3561,RCFD3562,RCFD7701,RCFD7702,IDRSSD,RCON9999
0,0,0.0000,0.0000,65513,2003-12-31
,,,,65559,2003-12-31
,,,,65746,2003-12-31
,,,,65858,2003-12-31
0,0,0.0000,0.0000,66015,2003-12-31
,,,,66154,2003-12-31
,,,,66172,2003-12-31
,,,,66275,2003-12-31
,,,,66837,2003-12-31
,,,,66846,2003-12-31
,,,,66903,2003-12-31
,,,,67142,2003-12-31
,,,,67151,2003-12-31
,,,,67209,2003-12-31
,,,,67254,2003-12-31
,,,,67311,2003-12-31
,,,,67414,2003-12-31
,,,,67777,2003-12-31
,,,,68345,2003-12-31
,,,,68448,2003-12-31
,,,,68756,2003-12-31
,,,,68831,2003-12-31
,,,,68840,2003-12-31
,,,,68859,2003-12-31
,,,,68943,2003-12-31
,,,,69333,2003-12-31
,,,,69351,2003-12-31
,,,,69650,2003-12-31
,,,,69678,2003-12-31
,,,,69847,2003-12-31
,,,,70049,2003-12-31
,,,,70058,2003-12-31
,,,,70076,2003-12-31
,,,,70151,2003-12-31
,,,,70218,2003-12-31
,,,,70254,2003-12-31
,,,,70414,2003-12-31
,,,,70638,2003-12-31
,,,,70955,2003-12-31
,,,,71318,2003-12-31
,,,,71457,2003-12-31
,,,,71671,2003-12-31
,,,,71859,2003-12-31
,,,,72258,2003-12-31
,,,,72351,2003-12-31
,,,,72418,2003-12-31
,,,,72454,2003-12-31
,,,,72614,2003-12-31
,,,,72678,2003-12-31
,,,,73031,2003-12-31
,,,,73116,2003-12-31
,,,,73152,2003-12-31
,,,,73554,2003-12-31
,,,,73956,2003-12-31
,,,,74056,2003-12-31
,,,,74140,2003-12-31
,,,,74159,2003-12-31
,,,,74337,2003-12-31
,,,,74403,2003-12-31
,,,,74449,2003-12-31
,,,,74458,2003-12-31
,,,,75053,2003-12-31
,,,,75259,2003-12-31
,,,,75446,2003-12-31
,,,,75455,2003-12-31
,,,,75558,2003-12-31
,,,,75576,2003-12-31
1,502,0.0350,0.0350,75633,2003-12-31
,,,,75651,2003-12-31
,,,,75857,2003-12-31
,,,,76050,2003-12-31
,,,,76135,2003-12-31
,,,,76153,2003-12-31
0,0,0.0000,0.0000,76201,2003-12-31
,,,,76443,2003-12-31
,,,,76742,2003-12-31
,,,,76854,2003-12-31
,,,,77150,2003-12-31
,,,,77253,2003-12-31
,,,,77347,2003-12-31
,,,,77374,2003-12-31
,,,,77422,2003-12-31
,,,,77758,2003-12-31
,,,,77851,2003-12-31
,,,,78036,2003-12-31
,,,,78054,2003-12-31
,,,,78157,2003-12-31
,,,,78241,2003-12-31
,,,,78559,2003-12-31
,,,,78643,2003-12-31
,,,,78858,2003-12-31
,,,,79042,2003-12-31
,,,,79127,2003-12-31
,,,,79145,2003-12-31
,,,,79257,2003-12-31
,,,,79855,2003-12-31
,,,,80020,2003-12-31
,,,,80150,2003-12-31
,,,,80431,2003-12-31
,,,,80552,2003-12-31
,,,,80936,2003-12-31
,,,,81054,2003-12-31
,,,,81429,2003-12-31
,,,,82033,2003-12-31
,,,,82257,2003-12-31
,,,,82350,2003-12-31
,,,,82659,2003-12-31
,,,,83151,2003-12-31
,,,,83236,2003-12-31
,,,,83311,2003-12-31
,,,,83357,2003-12-31
,,,,83450,2003-12-31
1,289,0.0450,0.0450,83638,2003-12-31
,,,,83834,2003-12-31
,,,,83852,2003-12-31
,,,,83955,2003-12-31
,,,,84046,2003-12-31
,,,,84055,2003-12-31
,,,,84251,2003-12-31
,,,,84345,2003-12-31
,,,,84541,2003-12-31
,,,,84804,2003-12-31
,,,,85043,2003-12-31
,,,,85052,2003-12-31
,,,,85258,2003-12-31
,,,,85454,2003-12-31
,,,,85856,2003-12-31
,,,,85931,2003-12-31
,,,,86349,2003-12-31
,,,,86358,2003-12-31
,,,,86527,2003-12-31
,,,,86554,2003-12-31
,,,,87047,2003-12-31
,,,,87159,2003-12-31
,,,,87234,2003-12-31
,,,,87476,2003-12-31
,,,,87533,2003-12-31
,,,,88240,2003-12-31
,,,,88259,2003-12-31
,,,,88352,2003-12-31
,,,,88455,2003-12-31
,,,,88530,2003-12-31
,,,,88950,2003-12-31
,,,,89032,2003-12-31
,,,,89135,2003-12-31
,,,,89162,2003-12-31
,,,,89452,2003-12-31
,,,,89751,2003-12-31
,,,,89854,2003-12-31
,,,,89957,2003-12-31
,,,,90047,2003-12-31
,,,,90234,2003-12-31
,,,,90328,2003-12-31
,,,,90337,2003-12-31
,,,,90403,2003-12-31
,,,,90467,2003-12-31
,,,,90627,2003-12-31
,,,,90645,2003-12-31
,,,,90739,2003-12-31
,,,,91129,2003-12-31
,,,,91147,2003-12-31
,,,,91156,2003-12-31
,,,,91259,2003-12-31
,,,,91615,2003-12-31
,,,,91651,2003-12-31
,,,,91754,2003-12-31
,,,,91866,2003-12-31
