RCFN2133,RCFN2898,IDRSSD,RCON9999
,,207957,2018-06-30
,,208057,2018-06-30
,,208244,2018-06-30
,,208347,2018-06-30
,,208440,2018-06-30
,,208459,2018-06-30
,,208570,2018-06-30
,,208655,2018-06-30
,,208972,2018-06-30
,,209148,2018-06-30
,,209362,2018-06-30
,,209447,2018-06-30
,,209559,2018-06-30
,,209830,2018-06-30
,,209858,2018-06-30
,,210238,2018-06-30
,,210256,2018-06-30
0,10661,210434,2018-06-30
,,210452,2018-06-30
,,210779,2018-06-30
,,211114,2018-06-30
,,211271,2018-06-30
,,211338,2018-06-30
,,211851,2018-06-30
,,212018,2018-06-30
,,212335,2018-06-30
,,212344,2018-06-30
0,0,212465,2018-06-30
,,212522,2018-06-30
,,212577,2018-06-30
,,213471,2018-06-30
,,213538,2018-06-30
,,213912,2018-06-30
,,213958,2018-06-30
,,214106,2018-06-30
,,214414,2018-06-30
,,214722,2018-06-30
,,214807,2018-06-30
,,214843,2018-06-30
,,215345,2018-06-30
,,215354,2018-06-30
,,215653,2018-06-30
,,215662,2018-06-30
,,215710,2018-06-30
,,216164,2018-06-30
,,216230,2018-06-30
,,216632,2018-06-30
,,216922,2018-06-30
,,217059,2018-06-30
,,218131,2018-06-30
,,218261,2018-06-30
,,218850,2018-06-30
,,218878,2018-06-30
,,219044,2018-06-30
,,219343,2018-06-30
,,219651,2018-06-30
,,219679,2018-06-30
,,220059,2018-06-30
,,220527,2018-06-30
,,220844,2018-06-30
,,220974,2018-06-30
,,221476,2018-06-30
,,221775,2018-06-30
,,222156,2018-06-30
,,222446,2018-06-30
,,222558,2018-06-30
,,222754,2018-06-30
,,223005,2018-06-30
,,223322,2018-06-30
,,223331,2018-06-30
,,223452,2018-06-30
,,223751,2018-06-30
,,223845,2018-06-30
,,224552,2018-06-30
,,224954,2018-06-30
,,225054,2018-06-30
,,225157,2018-06-30
,,225241,2018-06-30
,,225335,2018-06-30
,,225559,2018-06-30
,,225942,2018-06-30
,,226949,2018-06-30
,,227151,2018-06-30
,,227179,2018-06-30
,,227357,2018-06-30
,,227656,2018-06-30
,,227777,2018-06-30
,,228000,2018-06-30
,,228055,2018-06-30
,,228158,2018-06-30
,,228279,2018-06-30
,,228345,2018-06-30
,,229070,2018-06-30
,,229173,2018-06-30
,,229342,2018-06-30
,,229454,2018-06-30
,,229801,2018-06-30
114857,29181,229913,2018-06-30
,,230423,2018-06-30
,,230610,2018-06-30
,,230759,2018-06-30
,,231149,2018-06-30
,,231279,2018-06-30
,,231336,2018-06-30
,,231671,2018-06-30
,,232258,2018-06-30
,,232847,2018-06-30
,,232856,2018-06-30
,,233031,2018-06-30
,,233246,2018-06-30
,,233358,2018-06-30
,,233442,2018-06-30
,,233527,2018-06-30
,,233554,2018-06-30
,,234355,2018-06-30
,,234506,2018-06-30
,,234739,2018-06-30
,,234841,2018-06-30
,,235174,2018-06-30
,,235231,2018-06-30
,,235316,2018-06-30
,,235446,2018-06-30
,,235530,2018-06-30
,,235558,2018-06-30
,,235950,2018-06-30
,,236153,2018-06-30
,,236256,2018-06-30
,,236603,2018-06-30
