RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999,RCON8678
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9665,205,0,1716,52927,54039,0,0,6548,1000,60587,0,0,3957,0,0,1500,0,11238,41689,,0,36371,35539,91,0,0,0,0,6548,,,14052,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2152,0,5781,96851,102902,0,0,14193,176,117095,0,0,13672,0,0,160,0,12202,84649,,0,97362,95571,185,7,0,0,0,14193,,,14155,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,1234,0,251,22903,23352,0,0,2961,200,26313,0,0,2461,0,0,300,0,6301,16602,,0,15479,15104,0,2249,0,0,0,2961,,,14650,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,2977,0,157,36685,37151,0,0,3651,300,40802,0,0,947,0,977,1277,0,9234,27451,,0,14292,13804,150,349,0,0,0,3651,,,14753,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6370,5050,0,6746,222392,224058,0,0,28005,730,252063,0,0,13457,0,0,13492,0,51641,170751,,0,201261,198252,326,3070,0,0,0,28005,,,14865,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11486,382,0,1577,36774,37007,0,0,7669,0,44676,0,0,7548,0,0,0,0,4404,32370,,0,23095,22771,121,0,0,0,0,7669,,,14977,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23187,1582,0,11335,255260,256389,0,0,34758,941,291147,0,0,29502,0,0,2059,422,15774,239486,,0,132701,130259,2256,337,0,0,0,34758,,,16458,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8103,6981,927,3677,205003,212364,0,0,21614,175,233978,0,0,11109,0,0,9576,0,22340,182663,,0,174783,172275,754,0,0,0,0,21614,,,16551,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2491,2994,0,824,50429,51173,0,0,6559,400,57732,0,0,3275,0,0,2600,2115,13894,36536,,0,27365,26915,284,0,0,310,0,6559,,,16748,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9168,0,132,35572,35873,0,0,4235,1000,40108,0,0,1349,0,0,1500,0,7356,28216,,0,13824,13610,386,0,0,0,0,4235,,,16944,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7972,1182,0,89,27641,27776,0,0,5318,100,33094,0,0,2283,0,0,2775,0,6288,21353,,0,14516,14395,160,0,0,0,0,5318,,,16953,2011-09-30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12631,4710,0,1472,80951,83269,0,0,19297,300,102566,0,0,12011,0,0,6986,0,0,80951,,0,68703,68384,0,0,0,0,0,19297,,,17110,2011-09-30,
