RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,22392,0,3582,304250,306261,0,0,33096,300,339357,0,0,32416,,0,300,0,28713,275537,1,1231,0,291845,283693,80,8853,0,0,0,33096,,,12030,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744,7565,0,5224,129505,138744,0,0,18733,1250,157477,0,0,4761,,0,13250,0,32912,96593,4,1231,0,96024,94506,-528,5225,0,0,5558,18733,,,12142,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,1774,0,1629,95296,102328,0,0,12413,1419,114741,0,0,6985,,0,3581,0,13512,81784,4,1231,0,80171,79141,428,3156,0,0,0,12413,,,12245,2009-03-31
15988,2495992,489571,149398,509639,,,47581057,597538,1624607,2882799,39999,51061394,-1593497,,0,4698486,481447,1,0,39292297,38465258,-262189,0,926655,3480337,,,0,1536014,,,,,38892253,47581057,,,,,,420449,65481,,,,,,1265391,37626862,,1231,,,,,0,0,6700,926655,,,,12311,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,3694,0,4319,68965,75600,0,0,8761,125,84361,0,0,2471,,0,6165,622,9446,59519,1,1231,0,68904,68284,0,0,0,0,0,8761,,,12647,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,285,0,226,13177,13235,0,0,1198,72,14433,0,0,738,,0,388,0,2321,10856,4,1231,0,11355,11173,0,1758,0,0,0,1198,,,12656,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15634,1251,0,11841,162593,164069,0,0,31713,750,195782,0,0,25815,,0,5250,0,20626,141967,1,1231,0,165741,164525,-102,0,0,0,0,31713,,,12937,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5797,9648,1137,11587,535395,567349,0,0,62520,1,629869,0,0,46780,,0,17119,78,55733,479662,2,1231,0,507095,501086,-1380,0,0,1285,0,62520,,,12946,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5059,2332,0,3063,103669,111100,0,0,11398,1567,122498,0,0,1585,,0,8233,342,19058,84611,4,1231,0,103116,102223,13,1525,0,0,0,11398,,,12955,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,4235,0,4790,138744,140457,0,0,30372,900,170829,0,0,12058,,0,17314,0,27344,111400,2,1231,0,100931,98608,100,11057,0,0,0,30372,,,13037,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15410,13942,0,14120,842042,1017484,332,0,148700,500,1166516,0,0,120551,,0,34019,1504,34842,807200,2,1031,0,905792,896963,-6370,208,0,0,9787,149032,,,13103,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2845,2134,0,96,31834,31978,0,0,3608,25,35586,0,0,1781,,0,1725,0,3487,28347,4,1231,0,20393,19894,77,3370,0,0,0,3608,,,13251,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,744,0,16,14131,14159,0,0,5501,50,19660,0,0,5390,,0,50,0,1809,12322,5,1231,0,9077,8987,11,3330,0,0,0,5501,,,13457,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,1298,0,2194,59305,63567,0,0,6431,1000,69998,0,0,3790,,0,1500,0,8545,50760,2,1231,0,50866,50185,141,2529,0,0,0,6431,,,14052,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2771,0,6334,92033,104700,0,0,12783,176,117483,0,0,12350,,0,160,0,8365,83668,6,1231,0,96786,95396,97,1365,0,0,0,12783,,,14155,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3298,572,0,426,23548,24562,0,0,5139,75,29701,0,0,-53,,0,5117,0,2378,21170,1,1231,0,13835,13433,0,0,0,0,0,5139,,,14454,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967,2677,0,274,24111,24365,0,0,2451,200,26816,0,0,1951,,0,300,0,6277,17834,4,1231,0,15509,15234,0,1314,0,0,0,2451,,,14650,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1806,0,140,29854,30302,0,0,3264,300,33566,0,0,649,,977,1277,0,5956,23898,1,1231,0,13210,12692,61,449,0,0,0,3264,,,14753,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4922,0,5769,181678,206623,0,0,21143,730,227766,0,0,9728,,0,10067,0,28400,153279,2,1231,0,180615,177205,618,0,0,2390,0,21143,,,14865,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17517,728,0,371,38454,38932,0,0,7079,0,46011,0,0,7054,,0,0,0,2901,35553,1,0630,0,20825,20512,25,0,0,0,0,7079,,,14977,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80656,48889,0,77071,3017642,4465100,0,0,388105,10593,4853205,0,0,130491,,0,278330,8176,200737,2816905,2,1209,0,4071265,4015401,-31309,5200,0,0,0,388105,,,15536,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4545,9066,0,20309,431415,470019,0,0,43864,350,513883,0,0,34366,,0,8500,0,46101,385314,1,1231,0,353189,349432,648,21226,0,0,6023,43864,,,16337,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25877,1418,0,10106,211796,213442,0,0,31209,941,244651,0,0,27055,,0,2059,1083,14882,196914,1,0930,0,142410,140398,1154,137,0,0,0,31209,,,16458,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621,3536,1023,3039,118325,142649,0,0,16406,175,159055,0,0,9446,,0,6576,0,14307,104018,5,0331,0,130041,127955,209,159,0,0,0,16406,,,16551,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1817,0,752,47963,50444,0,0,5424,400,55868,0,0,2205,,0,2600,88,10086,37877,2,1231,0,28709,28280,219,4720,0,0,0,5424,,,16748,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4571,0,124,28487,28686,0,0,4188,1000,32874,0,0,1635,,0,1500,0,4127,24360,4,1231,0,15296,15066,53,3000,0,0,0,4188,,,16944,2009-03-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,1800,0,110,25329,25510,0,0,5312,100,30822,0,0,2697,,0,2400,0,5519,19810,4,1231,0,11037,10837,115,2200,0,0,0,5312,,,16953,2009-03-31
