RCFD0071,RCFD0081,RCFD0426,RCFD2130,RCFD2145,RCFD2155,RCFD2920,RCFD2948,RCFD3000,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON2130,RCON2145,RCON2200,RCON2948,RCON3000,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,1578,0,105,25296,25668,0,0,3773,120,29441,0,0,2633,,0,1020,0,2805,22491,,,0,9111,9030,0,,,,,,,,12357,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937,16663,0,8109,853869,897871,0,0,78500,5867,976371,2419,0,47574,,0,22500,0,82023,771846,,,0,553251,544252,2559,,,,,,,,12405,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1591,0,770,38108,38516,0,0,4883,125,43399,0,0,633,,0,4125,229,5479,32629,,,0,31605,31204,0,,,,,,,,12647,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,811,0,240,9572,9650,0,0,797,72,10447,0,0,537,,0,188,0,2548,7024,,,0,8561,8448,0,,,,,,,,12656,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2852,3733,66,4537,96484,107106,0,0,12826,750,119932,0,0,6639,,0,5250,0,20634,75850,,,0,93990,93235,187,,,,,,,,12937,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12444,803,5410,335180,353769,0,0,38352,2500,392121,0,0,33053,,0,1250,0,32534,302646,,,0,190410,186790,1549,,,,,,,,12946,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,3469,0,3242,72634,78138,0,0,8714,1567,86852,0,0,3258,,0,3350,1423,12913,59721,,,0,56417,55548,539,,,,,,,,12955,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3789,0,2685,110228,111528,0,0,14380,900,125908,0,0,12920,,0,450,0,16214,94014,,,0,104576,103506,110,,,,,,,,13037,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,16984,0,9166,535176,570107,103,0,108862,500,679072,0,0,40859,,0,34018,0,20528,514648,,,0,390379,386523,33485,,,,,,,,13103,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,1105,0,66,26825,27096,0,0,3040,25,30136,0,0,1393,,0,1475,0,2485,24340,,,0,16696,16405,147,,,,,,,,13251,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607,57579,0,14885,1638317,1928709,0,0,180659,25321,2109368,0,0,125206,,0,23945,2331,166224,1472093,,,0,1539456,1482551,6187,,,,,,,,13309,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,453,0,68,16439,16529,0,0,4025,50,20554,0,0,3893,,0,50,0,1312,15127,,,0,14087,13738,32,,,,,,,,13457,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,3235,0,540,53280,53650,0,0,4026,1000,57676,0,0,1501,,0,1500,0,11761,41519,,,0,46212,45659,25,,,,,,,,14052,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1684,0,1855,56875,62441,0,0,7415,176,69856,0,0,6928,,0,160,0,7413,49462,,,0,54412,53641,151,,,,,,,,14155,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15325,0,5381,407574,448133,0,0,32563,500,480696,0,0,16470,,0,15088,4880,88259,319315,,,0,367104,362629,505,,,,,,,,14258,2001-09-30
32855,210010,116713,0,100850,2481,2481,14779397,148,300000,2608673,0,17388218,448164,,0,2095380,0,,0,10382701,10188310,65129,,,,,,0,286707,,,,,11843599,14779397,,,,,,,,,,,,,2235292,9608307,,,,,,,,,,,,,,14409,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,519,0,160,37058,41121,0,0,5166,75,46287,0,0,3111,,0,1775,0,2101,34957,,,0,28663,27964,205,,,,,,,,14454,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,1414,0,281,26651,26826,0,0,2565,200,29391,0,0,2053,,0,300,0,4787,21864,,,0,19084,18836,12,,,,,,,,14650,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,781,0,204,21060,21522,0,0,2740,300,24262,0,0,114,,977,1277,0,4540,16520,,,0,14187,13691,72,,,,,,,,14753,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346,1579,0,2392,68184,70761,0,0,6717,730,77478,0,0,2957,,0,2870,0,8990,59194,,,0,58296,57628,160,,,,,,,,14865,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1282,0,34,24609,24911,0,0,3387,1903,28298,0,0,-203,,0,1560,0,9876,14733,,,0,11947,11823,127,,,,,,,,14931,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1605,0,308,114311,119185,0,0,10485,500,129670,0,0,4031,,0,5397,0,8287,106024,,,0,78831,78041,557,,,,,,,,14940,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902,23794,0,24140,913627,924162,0,0,116096,356,1040258,0,0,3219,,0,112273,0,130867,782760,,,0,862669,854423,248,,,,,,,,15536,2001-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6148,0,1729,225227,229902,0,0,20292,1250,250194,0,0,3284,,0,15600,0,25919,199308,,,0,226087,223273,158,,,,,,,,15732,2001-09-30
