RCON0352,RCON2202,RCON2203,RCON2210,RCON2213,RCON2215,RCON2216,RCON2236,RCON2365,RCON2377,RCON2385,RCON2520,RCON2530,RCON5590,RCON6648,RCON6810,RCON6835,RCONB549,RCONB550,RCONB551,RCONB552,RCONF233,RCONHK05,RCONHK06,RCONHK07,RCONHK08,RCONHK09,RCONHK10,RCONHK11,RCONHK12,RCONHK13,RCONHK14,RCONHK15,RCONJ473,RCONJ474,RCONJH83,RCONK220,RCONK222,RCONK223,RCONMT87,RCONMT89,RCONMT91,RCONMT93,RCONMT95,RCONP752,RCONP753,RCONP754,RCONP756,RCONP757,RCONP758,RCONP759,IDRSSD,RCON9999
1569,0,196,2450,0,6273,0,0,0,0,21308,0,1588,,13556,3320,2177,6077,19720,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7157,2003-03-31
79917,73,1134,53286,0,60634,0,0,9000,0,308150,0,3883,,71147,51902,6409,59427,290596,0,13671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7166,2003-03-31
4225,3,2385,5578,0,11423,0,0,0,0,23253,0,1635,,16618,884,1874,9012,21618,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7456,2003-03-31
3107,1,1376,6650,0,10478,0,0,693,0,24537,0,137,,13173,1145,1897,8218,24400,883,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7634,2003-03-31
6880,2,1030,9930,0,15171,0,0,0,0,23562,0,2069,,11342,529,1466,14139,21493,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8033,2003-03-31
200000,0,0,966383,0,966383,0,0,0,0,558324,0,0,,0,358324,510,966383,558324,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8417,2003-03-31
259,2,943,8170,0,22908,0,0,0,0,33179,0,400,,11984,2796,2269,21963,32779,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8462,2003-03-31
33266,0,25845,24581,0,57345,0,0,2782,0,204309,0,9011,,105174,38599,17551,31500,195298,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8547,2003-03-31
10526,0,906,6315,0,11970,0,0,0,0,28463,0,189,,11842,3267,2710,11064,28274,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8631,2003-03-31
380733,245,43169,232186,0,312410,0,0,0,0,1719410,0,285330,,154764,1008339,25313,268996,1434080,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9115,2003-03-31
24060,24,63,26689,0,46434,0,0,0,0,77266,0,0,,35333,5816,4207,46347,77266,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9160,2003-03-31
0,473,0,138703,0,152171,0,0,29000,0,202566,4341,0,,1698,165913,1729,151698,198225,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9357,2003-03-31
0,2,1259,5246,0,12187,0,0,0,0,34824,0,4437,,22822,3948,6013,10926,30287,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9553,2003-03-31
151984,74,93346,60810,0,177097,0,0,0,0,1248464,0,200018,,183611,705885,78010,83677,1048446,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9807,2003-03-31
5278,12,2044,6523,0,22552,0,0,0,0,52800,1,18046,,19963,13531,3285,20496,34753,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9955,2003-03-31
4814,0,615,8717,0,14739,0,0,0,0,43533,0,8706,,23325,6812,2516,14124,34827,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10157,2003-03-31
0,13,5099,35867,0,75844,0,0,0,0,158169,0,7626,,87647,36695,29260,70732,150543,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10250,2003-03-31
8042,875,6811,20582,0,57670,0,0,0,0,100673,0,15167,,43049,15906,5868,49984,85506,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10849,2003-03-31
97962,39,6619,10014,0,12085,0,0,0,0,292471,0,24014,,125711,15981,8956,5391,266957,36,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10858,2003-03-31
14709,0,19363,14054,0,39766,0,0,0,0,76145,0,10974,,25240,26735,3422,20403,65171,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11145,2003-03-31
7233,4,19851,36385,0,68160,0,0,0,0,86917,0,24211,,33811,7869,5455,48239,62706,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11640,2003-03-31
5059,3,11182,5126,0,24257,0,0,0,0,39861,3,1113,,22507,2396,4043,13072,38745,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11837,2003-03-31
7748,3,3318,18511,0,34386,0,0,0,0,149199,0,2240,,87632,2288,13519,31065,145487,0,1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12030,2003-03-31
4634,3,1815,9371,0,16481,0,0,0,0,80445,0,9691,,42235,20922,4796,14663,70754,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12058,2003-03-31
18247,4,13401,26542,0,48843,0,0,0,0,116004,0,25,,32627,19013,9774,35438,115979,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12142,2003-03-31
14226,0,2631,13654,0,19775,0,0,2600,0,58131,0,8442,,21521,8635,4559,17144,49689,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12245,2003-03-31
2987316,212,111511,2258723,565,2599764,0,0,1207814,0,14838107,0,438641,,3444925,6321016,671291,2455531,14399466,31945,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12311,2003-03-31
1287,0,920,3727,0,7495,0,0,0,0,21072,0,1745,,13216,4021,1855,6575,19327,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12357,2003-03-31
5338,0,537,7713,0,10123,0,0,594,0,41176,0,3242,,16423,11641,5390,9586,37934,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12647,2003-03-31
934,0,591,1557,0,2974,0,0,0,0,6188,0,2164,,2676,1048,217,2383,4024,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12656,2003-03-31
9539,0,0,23445,0,33876,0,0,0,0,74741,0,370,,16753,16644,4232,33876,74371,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12937,2003-03-31
14067,15,4464,14901,0,24838,0,0,0,0,323148,0,42894,,121987,89271,22240,20359,280254,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12946,2003-03-31
7292,0,669,14212,0,21533,0,0,0,0,50794,0,10504,,19354,13292,5030,20864,40290,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12955,2003-03-31
17413,5,797,14423,0,22852,0,0,0,0,85055,0,345,,42819,14811,5559,22050,84611,0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13037,2003-03-31
