"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF588	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF600	RCFDF601	RCFDF608	RCFDF609	RCON1288	RCON1420	RCON1460	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF588	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF600	RCONF601	
985451																																													0	63	523		28		0	0			1504	822	2001	0	0	35512	0	0	0	17477	532	707	4750	899	325	1651	3130	4934	5963	3598	3931	1148	2897	3506	1446								0	477			0	0	5	1329	5844	4907			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
985554																																													0	6133	0		14		1087	0			1616	354	804	0	990	54254	0	240	0	9517	17	0	7736	822	2339	5584	570	202	0	5783	16089	16260	6105	459	0								207	0			0	0	182	855	3876	28362			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
985657																																													0	3290	273		10		1921	0			1403	166	744	0	0	13891	0	3456	0	1140	34	0	2710	0	165	227	675	73	0	1325	1755	4016	4380	1142	111								0	18			0	0	0	212	683	541			0			51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
986159																																													0	1306	0		72		10750	0			10268	1260	5607	0	44	47915	0	0	0	11683	5032	0	20564	3394	2540	2911	2004	707	127	7433	7197	13477	6127	1740	0								0	134			0	0	195	0	0	1564			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
986551																																													0	10060	977		222		8853	95			4746	754	2309	0	770	48801	0	0	0	10119	1196	0	14931	1003	824	4412	3468	298	0	5926	7400	10615	8777	4957	0								0	152			0	0	1721	862	3035	3025			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
986739																																													0	568	897		3		0	0			4737	377	1052	0	0	26869	0	0	0	9720	174	0	7458	103	253	1375	1327	5671	991	4132	3217	2976	6234	337	100								0	2			0	0	1360	1419	0	6560			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
986757																																													0	2496	260		11		4199	0			7418	400	830	0	0	17387	0	0	0	1141	24	0	9889	91	4	549	267	0	230	6847	2964	2287	3749	393	0								0	0			0	0	0	0	0	608			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
986935																																													0	6279	523		0		9325	0			15337	0	12985	0	1229	63364	0	0	3542	9257	1049	4361	35479	710	2434	2928	2294	741	109	4736	28305	11458	5362	3512	600								0	0		0	0	0	0	3542	0	3838			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
987053																																													0	166	10956	0	0	0	23	0	48698	0	48698	18685	4397	0	14835	266269	0	0	0	30383	15000	0	98034	6828	8346	7648	4796	1290	1475	42767	40093	56955	43622	30517	11529	0	0	0	0	0	0	0	417	183	0		0	0	2036	29275	37161	54054	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
987231																																													0	7183	0		200		5197	0			13155	502	2832	0	1213	56648	0	0	0	9853	731	342	16195	283	1798	3308	2034	826	1604	8568	11074	8822	13673	3424	262								0	0			0	0	59	0	13212	2511			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
987259																																													0	6150	0		7		11026	0			1471	0	1325	0	14	21245	0	0	0	508	0	0	5003	0	43	159	62	244	0	5038	2934	4923	3106	1457	337								0	0			0	0	0	0	744	0			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
987352																																													0	16372	13208		70		25396	0			35463	1113	3022	0	3054	158657	0	0	0	13879	2831	2670	41529	524	532	3730	8859	234	0	49803	17852	30024	35948	7346	2210								0	155			0	0	1291	7998	19695	15110			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
987651																																													0	830	0		12		128	0			8187	0	2496	0	0	34632	0	0	0	6977	1498	1025	14079	1042	1701	2391	906	650	287	10690	6287	3447	4835	1967	0								211	0			0	0	6874	2071	4695	653			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
987848																																													0	10382	0		0		13356	0			3619	1162	4983	0	0	60358	5	6214	0	17471	224	345	10962	225	79	129	444	15424	1170	9216	3079	5544	8613	12998	2811								0	0			0	0	443	0	490	2019			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
988144																																													0	3496	1652		354		7376	0			8312	0	7966	0	5044	113740	0	0	0	69220	256	4036	22126	2617	7491	16401	16554	25664	493	4788	8047	12137	8899	8093	2468								319	68			0	0	665	0	9012	0			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
988153																																													0	35746	15518	1632	1822	190	72039	0	52937	0	52937	5486	5615	0	1290	280731	0	1274	0	22320	979	18275	91601	2883	6085	4493	383	2767	5442	76840	83406	48553	30514	14551	772	0	0	0	0	0	0	0	0	169	0		0	0	1054	5147	35890	23445	0	1274	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
988256																																													0	1377	0		8		2107	0			1246	0	1119	0	68	8560	0	0	0	1737	682	117	2987	399	111	843	364	19	0	788	1972	2474	1590	0	0								0	66			0	0	0	0	0	150			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
988452																																													0	34	2329		2654		0	0			9162	679	3813	0	0	75632	53	179	2538	10606	1730	675	22449	759	1385	3745	4338	305	0	12726	13822	17763	17109	770	878								5	0			0	0	0	9266	17797	17431			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
988658																																													0	7552	404		18		8348	0			7512	449	2879	0	0	40902	0	0	135	6928	468	6599	7042	289	889	4249	1091	300	110	11222	3132	12437	5727	928	195								0	85			0	0	668	314	0	5277			0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
